=  Toulouse - French Ligue 1 2015/16

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Mauro Goicoechea, URU, G, 1.84, 81, 27-03-88, Montevideo, Arouca
2, Maxime Spano, FRA, D, 1.84, 79, 31-10-94, Aubagne, ES Pennoise
3, Jean-Armel Kana-Biyik, CMR, D, 1.83, 86, 03-07-89, Metz, Rennes
4, Tongo Doumbia, MLI, M, 1.90, 79, 06-08-89, Vernon, Wolverhampton W
5, Issa Diop, FRA, D, 1.93, 84, 09-01-97, Toulouse, None
6, William Matheus, BRA, D, 1.87, 85, 02-04-90, Rio de Janeiro, Palmeiras
7, Jean-Daniel Akpa Akpro, CIV, D, 1.80, 66, 11-10-92, Toulouse, None
8, Etienne Didot, FRA, M, 1.75, 65, 24-07-83, Paimpol, Rennes
9, Martin Braithwaite, DEN, F, 1.79, 77, 05-06-91, Esbjerg, Esbjerg
10, Wissam Ben Yedder, FRA, F, 1.70, 68, 12-08-90, Sarcelles, Alfortville
11, Aleksandar Pešić, SRB, F, 1.90, 83, 21-05-92, Niš, Jagodina
12, Youssef Ben Ali, FRA, F, 1.68, 63, 04-02-95, Albi, None
13, Zinédine Machach, FRA, M, 1.85, 74, 05-01-96, Marseille, Marseille
14, François Sirieix, FRA, M, 1.80, 72, 07-10-80, Bordeaux, Auxerre
15, Uroš Spajić, SRB, D, 1.86, 76, 13-02-93, Belgrade, Crvena Zvezda
16, Marc Vidal, FRA, G, 1.87, 80, 03-06-91, Saint-Affrique, None
17, Adrien Regattin, MAR, M, 1.66, 67, 22-08-91, Sète, Sète
18, Óscar Trejo, ARG, M, 1.80, 79, 26-04-88, Santiago del Estero, Sporting Gijón
19, Somália, BRA, M, 1.81, 76, 28-09-88, Rio de Janeiro, Ferencváros
20, Steeve Yago, BFA, D, 1.78, 75, 16-12-92, Sarcelles, None
23, Yann Bodiger, FRA, M, 1.88, 78, 09-02-95, Sète, None
24, Pavle Ninkov, SRB, D, 1.83, 81, 20-04-85, Belgrade, Crvena Zvezda
25, Sana Zaniou, BFA, F, 1.70, 65, 31-12-94, Cinsense, AS Sonabel
26, Marcel Tisserand, COD, D, 1.84, 70, 10-01-93, Meaux, Monaco
27, Alexis Blin, FRA, M, 1.84, 78, 16-09-96, Le Mans, None
28, Mihai Roman, ROU, M, 1.73, 70, 16-11-84, Suceava, Rapid Bucureşti
29, François Moubandje, SUI, D, 1.82, 76, 21-06-90, Geneva, Servette
40, Alban Lafont, FRA, G, 1.93, 80, 23-01-99, Ouagadougou, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
22, Dušan Veškovac, SRB, D, 1.87, 78, 16-03-86, Kruševac, Troyes (On Loan)
30, Ali Ahamada, FRA, G, 1.89, 83, 19-08-91, Martigues, Kayserispor
21, Abel Aguilar, COL, M, 1.85, 82, 06-01-85, Santa Fe de Bogota, Belenenses
