=  Créteil - French Ligue 2 2015/16

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Yann Kerboriou, FRA, G, 1.89, 88, 05-02-88, Clamart, Aubervilliers
2, Fabien Barillon, FRA, D, 1.81, 73, 09-04-88, Aubagne, Nîmes
3, Hugo Konongo, FRA, D, 1.86, 81, 14-02-92, Toulouse, Clermont
4, Sacha Petshi, FRA, M, 1.93, 80, 21-06-92, Caivano, Blackburn R
5, Abdelhak Benaniba, FRA, M, 1.83, 76, 10-06-95, , None
6, Hérita Ilunga, COD, D, 1.80, 76, 25-02-82, Kinshasa, Carquefou
7, Ben Sangaré, FRA, M, 1.75, 70, 12-11-90, Bondy, Arles-Avignon
8, Aurélien Montaroup, FRA, D, 1.73, 64, 19-12-85, Rennes, Caen
9, Sacha Clemence, FRA, F, 1.85, 82, 01-06-88, Dijon, Angers
10, Bagaly Dabo, FRA, F, 1.80, 75, 27-07-88, Clichy, Istres
11, Guillaume Loriot, FRA, M, 1.88, 79, 21-05-86, Le Mans, Orléans
12, Youssoufou Niakaté, FRA, F, 1.78, 73, 16-12-92, , Avranches
13, Maxime Bourgeois, FRA, M, 1.83, 77, 03-02-91, Brunoy, Laval
14, Mathieu Lafon, FRA, M, 1.70, 65, 01-03-84, Montpellier, Cannes
15, Pape Gassama, SEN, M, 1.80, 73, 01-09-96, , SIMA
16, Cyrille Merville, FRA, G, 1.80, 75, 14-04-82, Amiens, Nîmes
17, Christophe Hérelle, FRA, D, 1.88, 79, 22-08-92, Nice, Colmar
18, Christophe Diedhiou, SEN, D, 1.91, 76, 08-01-88, Rufisque, Épinal
19, Florent Mollet, FRA, M, 1.71, 67, 19-11-91, Fontaine-lès-Dijon, Dijon
20, Abdelrafik Gérard, FRA, M, 1.77, 72, 08-06-93, Ivry-sur-Seine, Paris St-Germain
21, Gaoussou Sackho, FRA, F, 1.85, 80, 08-02-95, , None
22, Jean-Michel Lesage, FRA, M, 1.76, 68, 01-05-77, Bourg la Reine, Le Havre
23, Marvin Esor, FRA, D, 1.83, 79, 21-07-89, Brive-la-Gaillarde, Châteauroux
24, Sidi Fofana, FRA, D, 1.83, 70, 11-01-92, , Lusitanos
25, Augusto Loureiro, POR, D, 1.80, 78, 30-08-87, Matosinhos, Moreirense
26, Boris Mahon de Monaghan, FRA, D, 1.76, 70, 11-02-86, Orléans, Orléans
27, Vincent Di Bartolomeo, FRA, D, 1.80, 76, 02-07-81, Montluçon, Cannes
28, Faneva Andriatsima, MAD, F, 1.84, 74, 03-06-84, Antananarivo, Beauvais
29, Rafael Dias, POR, M, 1.80, 71, 29-01-91, Covilhã, Sochaux
40, Maxime Bouveret, FRA, G, 1.85, 85, 11-02-95, Melun, Paris FC
