=  Rennes - French Ligue 1 2016/17

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Benoît Costil, FRA, G, 1.87, 83, 03-07-87, Caen, Sedan
2, Mehdi Zeffane, ALG, D, 1.74, 63, 19-05-92, Sainte-Foy-lès-Lyon, Lyon
4, Mexer, MOZ, D, 1.81, 75, 08-09-85, Maputo, Nacional [POR]
5, Pedro Mendes, POR, D, 1.87, 77, 01-10-90, Neuchâtel, Parma
6, Gelson Fernandes, SUI, M, 1.83, 70, 02-09-86, Praia, Freiburg
7, Firmin Ndombe Mubele, COD, F, 1.70, 67, 17-04-94, Kinshasa, Al-Ahli [QAT]
8, Clément Chantôme, FRA, M, 1.80, 71, 11-09-87, Sens, Bordeaux
11, Wesley Saïd, FRA, F, 1.71, 65, 19-04-95, Noisy-le-Grand, None
13, Giovanni Sio, CIV, F, 1.80, 72, 31-03-89, Nantes, Basel
14, Aldo Kalulu, FRA, F, 1.66, 65, 21-01-96, Lyon, Lyon
15, Ramy Bensebaini, ALG, D, 1.86, 75, 16-04-95, Constantine, Paradou AC
16, Raïs M'Bolhi, ALG, G, 1.88, 80, 25-04-86, Paris, Antalyaspor
17, Ermir Lenjani, ALB, D, 1.75, 65, 05-08-89, Pristina, St. Gallen
18, Morgan Amalfitano, FRA, M, 1.76, 68, 20-03-85, Nice, Lille
19, Dimitri Cavaré, FRA, D, 1.85, 84, 05-02-95, Pointe-à-Pitre, None
21, Benjamin André, FRA, D, 1.77, 68, 03-08-90, Nice, Ajaccio
22, Sylvain Armand, FRA, D, 1.82, 82, 01-08-80, Saint-Etienne, Paris St-Germain
23, Adrien Hunou, FRA, M, 1.78, 66, 19-01-94, Evry, None
24, Ludovic Baal, FRA, D, 1.76, 72, 24-05-86, Paris, Lens
25, Afonso Figueiredo, POR, D, 1.69, 63, 06-01-93, Oeiras, Boavista
26, Sanjin Prcić, BIH, M, 1.81, 73, 20-11-93, Belfort, Sochaux
28, Yoann Gourcuff, FRA, M, 1.85, 79, 11-07-86, Lorient, Lyon
29, Romain Danzé, FRA, D, 1.84, 72, 03-07-86, Douarnenez, None
30, Edvinas Gertmonas, LTU, G, 1.92, 91, 01-06-96, Šilalė, Atlantas Klaipėda
31, Adama Diakhaby, FRA, F, 1.84, 65, 05-07-96, Ajaccio, Caen
32, Joris Gnangnon, FRA, D, 1.82, 89, 13-01-97, Bondy, None
35, Nicolas Janvier, FRA, M, 1.71, 72, 11-08-98, Saint-Malo, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
20, Yacouba Sylla, MLI, M, 1.84, 80, 29-11-90, Étampes, Montpellier (On Loan)
40, Abdoulaye Diallo, SEN, G, 1.89, 80, 30-03-92, Reims, Rizespor (On Loan)
12, Steven Moreira, FRA, D, 1.76, 67, 13-08-94, Noisy-le-Grand, Lorient
16, Paul Nardi, FRA, G, 1.87, 77, 18-05-94, Vesoul, Monaco
7, Paul-Georges Ntep, FRA, F, 1.80, 75, 29-07-92, Douala, Wolfsburg
9, Kermit Erasmus, RSA, F, 1.71, 63, 08-07-90, Port Elizabeth, Lens (On Loan)
18, Pedro Henrique, BRA, M, 1.79, 72, 16-06-90, Novo Hamburgo, PAOK
27, Anthony Ribelin, FRA, F, 1.77, 73, 08-04-96, Nîmes, Paris FC (On Loan)
10, Kamil Grosicki, POL, M, 1.80, 78, 08-06-88, Szczecin, Hull C
37, Christian Brüls, BEL, M, 1.84, 70, 30-09-88, Malmedy, Eupen
38, Mahamadou Habib Habibou, CTA, F, 1.92, 80, 16-04-87, Bria, Lens
