=  Orléans - French Ligue 2 2016/17

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Thomas Renault, FRA, G, 1.84, 80, 05-03-84, Orléans, None
3, Joël Sami, COD, D, 1.90, 85, 13-11-84, Montfermeil, Zulte-Waregem
4, Mickaël Barreto, FRA, M, 1.74, 63, 18-01-91, Paris, Troyes
7, Adrien Pagerie, FRA, D, 1.80, 73, 08-05-92, Clermont-Ferrand, Clermont
9, Romain Armand, FRA, F, 1.81, 75, 27-02-87, Orange, Sedan
11, Kévin Dupuis, FRA, F, 1.88, 83, 14-01-87, Marseille, Lausanne-Sport
13, Khaled Ayari, TUN, F, 1.78, 68, 17-01-90, Ariana, Paris FC
14, Arthur Yannick Gomis, SEN, F, 1.80, 76, 03-02-92, Dakar, Olympique de Ngor
15, Benjaloud Youssouf, FRA, D, 1.76, 71, 11-02-94, Marseille, Nantes
16, Oumar Sissoko, MLI, G, 1.87, 84, 13-09-87, Montreuil-sous-Bois, Ajaccio
17, Pierre Bouby, FRA, M, 1.85, 75, 17-10-83, Vichy, Auxerre
18, Manassé Enza Yamissi, CTA, D, 1.90, 77, 28-09-89, Bangui, Gil Vicente
19, Ferris N'Goma, FRA, F, 1.75, 69, 15-06-93, Limoges, Limoges
20, Matthieu Ligoule, FRA, M, 1.79, 75, 06-03-83, Bordeaux, Libourne
21, Karim Ziani, ALG, M, 1.69, 66, 17-08-82, Sèvres, Petrolul Ploiești
22, Gauthier Pinaud, FRA, D, 1.77, 71, 08-01-88, Châteauroux, Strasbourg
23, Farid Beziouen, FRA, M, 1.67, 65, 17-10-86, Aubervilliers, Avranches
25, Edson Seidou, CIV, D, 1.82, 82, 06-10-91, Céret, Épinal
26, Essaïd Belkalem, ALG, D, 1.94, 90, 01-01-89, Mekla, Watford
27, Livio Nabab, FRA, F, 1.85, 72, 14-06-88, Guadeloupe, Waasland-Beveren
28, Matthieu Chemin, FRA, D, 1.81, 77, 20-04-86, Nantes, Vendée Luçon
30, Sébastien Mpeck-Makendi, FRA, G, 1.79, 70, 17-01-94, Paris, Monaco

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
24, Anther Yahia, ALG, D, 1.85, 79, 21-03-82, Mulhouse, Retired
5, Jean-Eudes Aholou, CIV, M, 1.86, 71, 20-03-94, Abidjan, Strasbourg
10, Jordi Delclos, FRA, M, 1.69, 63, 03-07-87, Perpignan, Bergerac Périgord
8, Greg Houla, FRA, M, 1.72, 64, 19-07-88, Amiens, Les Herbiers
