=  Dijon - French Ligue 2 2022/2023

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
3, Daniel Congré, FRA, D, 1.84, 79, 05-04-85, Toulouse, Montpellier
4, Reda Benchaa, ALG, D, 1.88, 78, 12-03-02, Le Blanc-Mesnil, None
5, Senou Coulibaly, MLI, D, 1.93, 79, 04-09-94, Pontoise, Mantes
6, Mattéo Ahlinvi, FRA, M, 1.83, 68, 02-07-99, Arcachon, Nîmes
7, Marley Aké, FRA, F, 1.77, 68, 05-01-01, Béziers, Juventus
8, Mickaël Le Bihan, FRA, F, 1.84, 74, 16-05-90, Ploemeur, Auxerre
9, Loum Tchaouna, FRA, F, 1.80, 67, 08-09-03, N'Djamena, Rennes
10, Xande Silva, POR, F, 1.77, 60, 16-03-97, Lisbon, Nottingham F
11, Valentin Jacob, FRA, M, 1.71, 67, 15-06-94, Paris, Niort
12, Adama Fofana, CIV, D, 1.70, 63, 11-10-99, Mankono, Varbergs BoIS
13, Christopher Rocchia, FRA, D, 1.72, 64, 01-02-98, Marseille, Marseille
14, Jordan Marié, FRA, M, 1.77, 69, 29-09-91, Épinal, None
15, Rayane El Khamali, FRA, M, 1.83, 68, 16-03-02, Quincy-sous-Sénart, Orléans
16, Saturnin Allagbé, BEN, G, 1.87, 71, 22-11-93, Assaba, Niort
17, Yanis Chahid, FRA, M, 1.62, 56, 18-09-04, Dole, None
18, Idrissa Camara, GNB, F, 1.79, 72, 18-06-98, Dakar, Ümraniyespor
20, Didier Ndong, GAB, M, 1.79, 75, 17-06-94, Lambaréné, Guingamp
22, Walid Nassi, FRA, M, 1.80, 62, 15-07-00, Le Blanc-Mesnil, Stade Briochin
25, Jessy Pi, FRA, M, 1.79, 72, 24-09-93, Manosque, Caen
26, Paul Joly, FRA, D, 1.82, 75, 07-06-00, Orléans, Auxerre
27, Cheick Traoré, FRA, D, 1.74, 76, 31-03-95, Paris, Lens
28, Bryan Soumaré, FRA, M, 1.80, 70, 11-02-99, Saint-Quentin, St-Quentin
29, Loïc Etoga, CMR, M, 1.77, 61, 01-04-03, Yaoundé, None
30, Baptiste Reynet, FRA, G, 1.85, 85, 28-10-90, Romans, Nîmes
32, Zargo Touré, SEN, D, 1.83, 73, 11-11-89, Pikine, Gençlerbirliği
40, Thomas Roche, FRA, G, 1.85, 82, 21-02-02, Meudon, None
77, Roger Assalé, CIV, F, 1.67, 65, 13-11-93, Abengourou, Young Boys
92, Ahmad Ngouyamsa, CMR, D, 1.76, 75, 21-12-00, Yaoundé, None
93, Ousseynou Thioune, SEN, M, 1.80, 68, 16-11-93, Kolda, Sochaux

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
21, Aurélien Scheidler, FRA, F, 1.92, 90, 04-06-98, Saint-Martin-Boulogne, Bari
7, Alex Dobre, ROU, M, 1.78, 71, 30-08-98, Bucharest, Famalicão (On Loan)
88, Lucas Deaux, FRA, M, 1.86, 77, 26-12-88, Reims, Nancy
31, Yassine Benzia, FRA, M, 1.79, 71, 08-09-94, Saint-Aubin Lès-Elbeuf, Qarabağ
