=  Lille - French Ligue 1 2023/2024

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Vito Mannone, ITA, G, 1.88, 77, 02-03-88, Desio, Lorient
4, Alexsandro, BRA, D, 1.89, 82, 09-08-99, Rio de Janeiro, Chaves
5, Gabriel Gudmundsson, SWE, D, 1.81, 74, 29-04-99, Malmö, FC Groningen
6, Nabil Bentaleb, ALG, M, 1.87, 68, 24-11-94, Lille, Angers
7, Hákon Arnar Haraldsson, ISL, M, 1.80, 73, 10-04-03, Raufoss, FC København
8, Angel Gomes, ENG, M, 1.68, 56, 31-08-00, Enfield, Manchester U
9, Jonathan David, CAN, F, 1.77, 77, 14-01-00, Brooklyn, KAA Gent
10, Rémy Cabella, FRA, M, 1.71, 62, 08-03-90, Ajaccio, Montpellier
11, Adam Ounas, ALG, M, 1.72, 65, 11-11-96, Chambray-les-Tours, Napoli
12, Yusuf Yazıcı, TUR, M, 1.83, 78, 29-01-97, Trabzon, Trabzonspor
14, Samuel Umtiti, FRA, D, 1.82, 75, 14-11-93, Yaoundé, Barcelona
15, Leny Yoro, FRA, D, 1.90, 73, 13-11-05, Saint-Maurice, None
16, Adam Jakubech, SVK, G, 1.90, 80, 02-01-97, Prešov, Spartak Trnava
17, Ivan Cavaleiro, POR, M, 1.75, 73, 18-10-93, Vialonga, Fulham
18, Bafodé Diakité, FRA, D, 1.82, 74, 06-01-01, Toulouse, Toulouse
19, Tiago Morais, POR, F, 1.71, 66, 03-09-03, Espinho, Boavista
20, Ignacio Miramón, ARG, M, 1.73, 68, 12-06-03, Bolívar, Gimnasia y Esgrima (LP)
21, Benjamin André, FRA, M, 1.77, 68, 03-08-90, Nice, Rennes
22, Tiago Santos, POR, D, 1.75, 71, 23-07-02, Lisbon, Estoril
23, Edon Zhegrova, KVX, M, 1.74, 69, 31-03-99, Herford, Basel
24, Andrej Ilić, SRB, F, 1.89, 86, 03-04-00, Belgrade, Vålerenga
28, Rafael Fernandes, POR, D, 1.91, 83, 28-06-02, Setúbal, Arouca
30, Lucas Chevalier, FRA, G, 1.92, 78, 06-11-01, Calais, None
31, Ismaily, BRA, D, 1.77, 78, 11-01-90, Ivinhema, Shakhtar Donetsk
32, Ayyoub Bouaddi, FRA, M, 1.75, 65, 02-10-07, Senlis, None
33, Vincent Burlet, BEL, D, 1.80, 71, 23-09-05, Liège, Schalke
34, Aaron Malouda, FRA, F, 1.83, 75, 30-11-05, Écully, Rennes
35, Adame Faïz, FRA, M, 1.76, 67, 10-06-05, Tours, None
36, Ousmane Touré, FRA, D, 1.87, 80, 18-02-05, Lille, None
38, Ichem Ferrah, FRA, F, 1.71, 70, 23-09-05, Tourcoing, None
39, Lilian Baret, FRA, M, -, -, 25-05-06, -, None
40, Tom Negrel, FRA, G, 1.92, 85, 13-04-03, Nîmes, Nîmes
42, Joffrey Bazié, BFA, M, 1.75, 68, 27-10-03, Ouagadougou, Salitas
43, Trevis Dago, FRA, F, 1.83, 76, 21-01-05, Villeneuve-Saint-Georges, None
50, Mohamed-Amine Ezzarhouni, MAR, G, -, -, 29-05-06, -, None
60, Lisandru Olmeta, FRA, G, 1.90, 75, 21-07-05, Ajaccio, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
35, Carlos Baleba, CMR, M, 1.79, 75, 03-01-04, Douala, Brighton & HA
27, Mohamed Bayo, GUI, F, 1.88, 76, 04-06-98, Clermont-Ferrand, Le Havre (On Loan)
26, Alan Virginius, FRA, F, 1.79, 57, 03-01-03, Soisy-sous-Montmorency, Clermont (On Loan)
3, Tiago Djaló, POR, D, 1.90, 85, 09-04-00, Amadora, Juventus
37, Amine Messoussa, FRA, F, 1.80, 77, 12-10-04, Lyon, Villefranche (On Loan)
13, Akim Zedadka, ALG, D, 1.73, 72, 30-05-95, Pertuis, Zaragoza (On Loan)
