=  1.FC Kaiserslautern - German Bundesliga 1995/96

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Andreas Reinke, G, 6'04'', 15 02, 10-01-69, Güstrow, St Pauli
2, Frank Greiner, D, 5'09", 12 01, 03-07-66, Fürth am Berg, Köln
4, Axel Roos, D, 5'09", 11 00, 19-08-64, Rodalben, None
5, Miroslav Kadlec, D, 6'02", 12 13, 22-06-64, Uherske, Vitkovice
6, Andreas Brehme, M, 5'09", 12 01, 09-11-60, Hamburg, Zaragoza
7, Uwe Wegmann, F, 5'10", 11 09, 14-01-64, , Bochum
8, Martin Wagner, M, 5'09", 11 00, 24-02-68, Offenburg, Nürnberg
9, Pavel Kuka, F, 5'11", 12 04, 19-07-68, Prague, Slavia Prague
10, Claus-Dieter Wollitz, M, 6'01", 12 01, 19-07-65, , Wolfsburg
11, Olaf Marschall, F, 6'01", 12 08, 19-03-66, Torgau an der Elbe, Dynamo Dresden
13, Roger Lutz, D, 6'00", 11 05, 15-07-64, , FK Clausen
14, Mario Kern, D, 6'01", 12 01, 16-08-69, , Dynamo Dresden
15, Thomas Hengen, D, 6'00'', 11 11, 22-09-74, Rülzheim, None
19, Dirk Flock, M, 6'01", 12 13, 23-05-72, Cologne, Stuttgarter Kickers
20, Oliver Schäfer, D, 5'10", 11 00, 27-02-69, Lahr, Freiburg
21, Harry Koch, D, 6'00'', 12 04, 15-11-69, Bamberg, TSV Vestenbergsgreuth
22, Gerald Ehrmann, G, 6'00", 14 02, 18-02-59, Tauberbischofsheim, Köln
23, Thomas Riedl, M, 5'09'', 11 05, 18-06-76, Kaiserslautern, None
24, Marco Reich, F, 6'00", 12 04, 30-12-77, Meisenheim, None
25, Cem Karaca, M, 5'07", 11 07, 08-05-76, Hofheim, None
26, Wolfgang Funkel, D, 6'04", 13 08, 10-08-58, , KFC Uerdingen
27, Marc Schwarzer, G, 6'05", 15 01, 06-10-72, Sydney, Dynamo Dresden

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
17, Matthias Hamann, D, 6'01", 12 08, 10-02-68, Waldsassen, 1860 Munich
3, Bernd Hollerbach, M, 5'10'', 12 13, 08-12-69, Würzburg, Hamburg
12, Thomas Ritter, D, 6'00", 11 09, 10-10-67, , Karlsruhe
16, Dirk Anders, M, 6'01", 12 04, 26-09-66, , Duisburg
