=  Werder Bremen - German Bundesliga 2003/04

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Andreas Reinke, G, 6'04'', 15 02, 10-01-69, Güstrow, Real Murcia
4, Fabian Ernst, M, 6'00'', 12 01, 30-05-79, Hannover, Hamburg
5, Umit Davala, M, 6'01'', 11 09, 30-07-73, Mannheim, Internazionale
6, Frank Baumann, D, 6'02'', 12 06, 29-10-75, Würzburg, Nürnberg
7, Paul Stalteri, M, 5'11'', 12 01, 18-10-77, Etobicoke, Toronto Lynx
8, Krisztian Lisztes, M, 5'10'', 11 05, 02-07-76, Budapest, Stuttgart
9, Angelos Charisteas, F, 6'03'', 12 13, 09-02-80, Serres, Aris Saloniki
10, Johan Micoud, M, 6'02'', 12 13, 24-07-73, Cannes, Parma
11, Ivica Banovic, M, 6'01'', 12 11, 02-08-80, Zagreb, NK Zagreb
15, Pekka Lagerblom, M, 5'11", 11 09, 19-10-82, Lahti, FC Lahti
16, Pascal Borel, G, 6'03'', 14 00, 26-09-78, Mannheim, Waldhof Mannheim
17, Ivan Klasnic, F, 6'00'', 12 00, 29-01-80, Hamburg, St Pauli
18, Markus Daun, F, 6'01'', 12 06, 10-09-80, Eschweiler, Bayer Leverkusen
19, Viktor Skripnik, D, 6'00'', 11 07, 19-11-69, Dnjepropetrovsk, Dnipro Dnipropetrovsk
20, Mladen Krstajic, D, 6'03'', 12 11, 04-03-74, Zenica, Partizan Belgrade
21, Holger Wehlage, M, 5'10'', 11 05, 03-07-76, Meppen, St Pauli
23, Ludovic Magnin, M, 6'01'', 12 00, 20-04-79, Lausanne, Lugano
24, Tim Borowski, D, 6'04'', 13 03, 02-05-80, Neubrandenburg, FC Neubrandenburg
25, Valerien Ismaël, D, 6'03'', 12 11, 28-09-75, Strasbourg, Strasbourg
26, Simon Rolfes, M, 6'02'', 12 06, 21-01-82, Ibbenbüren, None
27, Christian Schulz, M, 6'01'', 12 06, 01-04-83, Bassum, TSV Bassum
31, Alexander Walke, G, 6'02'', 11 11, 06-06-83, Ebberswalde, Energie Cottbus
32, Ailton, F, 5'10'', 11 09, 19-07-73, Mogeiro, UANL Tigres
35, Marco Stier, F, 5'10'', 11 07, 26-03-84, Hamburg, St Pauli
36, Stefan Beckert, M, 6'00'', 12 01, 03-05-82, Jena, Carl Zeiss Jena
38, Nelson Haedo Valdez, F, 5'10'', 11 03, 28-11-83, Caaguazú, Atlético Tembetary

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
29, Blaise Mamoun, F, 5'07'', 11 07, 25-12-79, Bamenda, Werder Bremen (A)
37, Christian Lenze, M, 6'00'', 11 05, 26-04-77, Magdeburg, Osnabrück
22, Marco Reich, F, 6'00'', 12 04, 30-12-77, Meisenheim, Derby Co
34, Manuel Friedrich, M, 6'02'', 12 04, 13-09-79, Bad Kreuznach, Mainz (On Loan)
