=  1.FC Saarbrücken - German 2.Bundesliga 2004/05

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Vinh Long Willemin, D, 6'00", 13 05, 08-01-82, Metz, FC Metz
3, Alessandro Caruso, D, 6'00", 12 04, 04-07-80, , Stuttgart
4, Sören Holz, D, 6'00", 11 09, 10-12-76, , Magdeburg
5, Marcel Rozgonyi, D, 6'01'', 12 11, 28-01-76, Hoyerswerden, Energie Cottbus
6, Torsten Reuter, D, 5'08'', 11 00, 15-09-82, Kaiserslautern, Kaiserslautern
7, Matthias Hagner, M, 6'01", 12 04, 15-08-74, , FSV Frankfurt
8, Thorsten Nehrbauer, M, 5'10", 12 04, 12-01-78, Stadthagen, Hannover 96
9, Tamandani Nsaliwa, M, 5'09'', 10 10, 28-01-82, , Jahn Regensburg
10, Faysal El Idrissi, F, 5'08", 10 03, 16-11-77, Lille, SK Ronse
11, Gunter Thiebaut, F, 6'00", 12 00, 12-01-77, , FC Denderleeuw
12, Peter Eich, G, 6'00", 12 08, 18-06-63, , FC Homburg
13, Tobias Rott, G, 6'04", 13 08, 29-01-81, Neuwied, Duisburg
14, Echendu Adiele, D, 6'01", 12 04, 17-11-78, Port Harcourt, Borussia Neunkirchen
15, Christian Stuff, D, 6'06", 14 07, 11-08-82, , SV Lichtenberg
16, Stephan Kling, D, 5'11'', 10 08, 22-03-81, Dachau, Hamburg
18, Henri Heeren, D, 5'09", 12 00, 25-10-74, Heerlen, Alemannia Aachen
19, Henrich Bencik, F, 6'02", 12 13, 04-10-78, Nitra, Artmedia Petrzalka
20, Marco Laping, M, 5'10", 11 05, 14-02-78, , FK Pirmasens
21, Aimen Demai, D, 5'10", 10 09, 10-12-82, Thionville, Metz
22, Sanel Nuhic, M, 5'08", 10 08, 04-06-77, , FC Homburg
23, Yilmaz Örtülü, F, 5'09", 11 00, 30-03-80, , Eintracht Frankfurt
24, Matej Sucurovic, M, 6'02", 11 09, 08-05-85, , HNK Cibalia
25, Peter Buljan, F, 6'01", 12 08, 14-07-78, Canberra, Melbourne Knights
27, Nico Weißmann, M, 5'09", 10 12, 10-04-80, , SV Wehen
28, Daniel Magno, M, 5'10", 10 10, 08-12-78, , US Forbach
31, Julian Lücke-Bauer, D, 6'00", , 15-06-85, , None
33, Christoph Holste, M, 5'09", 10 12, 24-05-84, , None
36, Taifour Diane, F, 6'00", 12 13, 01-11-72, , Alemannia Aachen
37, Harald Ebertz, G, 6'02", 13 03, 18-05-67, , Nürnberg

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
26, Sambo Choji, F, 5'08", 11 11, 13-03-77, , Pirouzi (On Loan)
1, Erol Sabanov, G, 6'00", 14 02, 16-05-74, , 
17, Björn Tarillon, F, 6'01", 12 11, 13-08-81, , RW Hasborn
30, Michael Oelkuch, M, 6'00", 12 00, 05-02-73, , 
