=  Alemannia Aachen - German Bundesliga 2006/07

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Stephan Straub, G, 6'00'', 12 13, 25-01-71, Saarbrücken, Saarbrücken
2, Nico Herzig, D, 6'02", 12 11, 10-12-83, Pößneck, Wacker Burghausen
3, Alexander Klitzpera, D, 6'00'', 12 08, 19-10-77, Munich, Arminia Bielefeld
4, Matthias Heidrich, M, 6'01'', 13 08, 10-12-77, Hoyerswerda, Erzgebirge Aue
5, Sascha Dum, D, 6'02", 12 08, 03-07-86, Leverkusen, Bayer Leverkusen
7, Reiner Plaßhenrich, M, 6'01'', 12 00, 12-12-76, Paderborn, Lübeck
8, Szilárd Németh, F, 5'10", 11 04, 08-08-77, Komárno, Middlesbrough
9, Vedad Ibišević, F, 6'02", 12 06, 06-08-84, Tuzla, Paris St-Germain
12, Moses Sichone, D, 6'02'', 12 04, 31-05-77, Mufulira, Köln
13, Emmanuel Krontiris, F, 6'00'', 11 09, 11-02-83, Hannover, 1860 Munich
15, Marcus Hesse, G, 6'01", 12 08, 22-03-84, Dresden, Dresden Nord
16, Marius Ebbers, F, 6'03'', 14 02, 04-01-78, Essen, Köln
17, Thomas Stehle, D, 5'11'', 12 00, 26-10-80, Uberlingen, Nürnberg
18, Sergio Pinto, F, 5'10'', 11 03, 16-10-80, Mafamude, Schalke
19, Jan Schlaudraff, M, 5'11'', 10 01, 18-07-83, Waldbröl, B Mönchengladbach
20, Mathias Lehmann, M, 5'10'', 10 10, 28-05-83, Ulm, 1860 Munich
21, Cristian Fiel, M, 5'11'', 12 00, 12-03-80, Esslingen, Bochum
22, Jeffrey Leiwakabessy, D, 5'08", 09 11, 23-02-81, Arnhem, NEC Nijmegen
23, Laurentiu-Aurelian Reghecampf, M, 5'09'', 10 12, 19-09-75, Tagroviste, Energie Cottbus
24, Kristian Nicht, G, 6'05'', 13 03, 03-04-82, Jena, Nürnberg
25, Manuel Junglas, F, 5'10", 11 11, 31-01-89, Cologne, None
28, Mirko Casper, D, 6'00", 12 01, 01-03-82, , Yurdumspor Köln
29, Yunus Balaban, M, 5'11", 12 00, 24-02-84, , None
30, Sascha Rösler, F, 6'00'', 13 01, 28-10-77, Meckenbeuren, Greuther Fürth
32, Daniel Schell, G, 6'03", 11 09, 01-06-84, , Wuppertal
33, Marco Quotschalla, F, 6'00", 11 07, 25-07-88, Cologne, None
38, Abdul Özgen, F, 6'01", 12 06, 08-09-86, , None
39, Tom Moosmayer, M, 5'10", 11 05, 01-10-79, , Roetgen
40, Mario Mutsch, M, 5'08", 11 09, 03-09-84, Luxembourg, La Calamine

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
14, Erwin Koen, F, 5'11", 12 01, 07-09-78, Den Helder, Paderborn
27, Emil Noll, M, 6'04", 12 08, 21-11-78, Kinshasa, Augsburg
