=  FC Ingolstadt 04 - German 2.Bundesliga 2008/09

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Michael Lutz, GER, G, 1.92, 90, 25-01-82, Nördlingen, MTV Ingolstadt
3, Heiko Gerber, GER, M, 1.81, 73, 11-07-72, Stollberg, Stuttgart
4, Matthias Schwarz, GER, M, 1.80, 72, 28-12-87, Mittenberg, Bayern Munich II
5, Sören Dreßler, GER, D, 1.84, 82, 26-12-75, Schleiz, Augsburg
6, Stefan Leitl, GER, M, 1.78, 69, 29-08-77, Munich, Darmstadt
7, Ersin Demir, GER, F, 1.75, 69, 08-12-77, Cologne, Erzgebirge Aue
8, Markus Karl, GER, M, 1.91, 87, 14-02-86, Vilsbiburg, Greuther Fürth
9, Vratislav Lokvenc, CZE, F, 1.92, 88, 27-09-73, Náchod, Red Bull Salzburg
10, Daniel Jungwirth, GER, M, 1.77, 73, 15-01-82, Munich, Erzgebirge Aue
11, Andreas "Zecke" Neuendorf, GER, M, 1.78, 72, 09-02-75, Berlin, Hertha Berlin
13, Michael Wenczel, GER, D, 1.91, 87, 23-11-77, Heilbronn, Augsburg
14, Jakob Dallevedove, GER, M, 1.83, 80, 21-11-87, Trier, Schalke II
15, Tobias Fink, GER, D, 1.78, 76, 11-12-83, Hirschau, Jahn Regensburg
16, Andreas Buchner, GER, M, 1.68, 61, 15-05-85, Kösching, MTV Ingolstadt
17, Mario Neunaber, GER, D, 1.84, 78, 17-03-82, Bremen, Kickers Emden
18, Marcel Hagmann, GER, M, 1.84, 78, 07-01-83, Gießen, Wilhelmshaven
19, Malte Metzelder, GER, D, 1.95, 95, 19-05-82, Halten, Aalen
20, Ralf Keidel, GER, M, 1.80, 80, 06-03-77, Würzburg, LR Ahlen
21, Marco Sejna, GER, G, 1.90, 91, 20-03-72, Berlin, Yeşilyurt Berlin
22, Daniel Lemos, BRA, M, 1.78, 70, 05-01-90, Sobradinho, Fluminense
23, Steffen Wohlfarth, GER, F, 1.86, 84, 14-09-83, Friedrichshafen, Freiburg
25, Jaime Bragança, POR, M, 1.83, 78, 09-06-83, Lisbon, Al Riffa
26, Alexander Buch, GER, M, 1.72, 67, 12-05-88, Munich, Bayern Munich II
27, Valdet Rama, GER, M, 1.82, 79, 20-11-87, Kosovska Mitrovica, Wolfsburg
30, Christopher Reinhard, GER, D, 1.85, 74, 19-05-85, Offenbach, Karlsruhe
33, Necat Aygün, TUR, D, 1.92, 85, 26-02-80, Munich, Duisburg
34, Ivan Santini, CRO, F, 1.90, 86, 21-05-89, Zadar, Red Bull Salzburg

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
31, Nils Schmadtke, GER, G, 1.95, 88, 16-03-89, Düsseldorf, 
24, Steffen Schneider, GER, F, 1.89, 83, 09-06-88, Haiger, Aalen (On Loan)
