=  Erzgebirge Aue - German 2.Bundesliga 2012/13

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Martin Männel, GER, G, 1.84, 79, 16-03-88, Henningsdorf, Energie Cottbus
3, Tobias Nickenig, GER, D, 1.90, 87, 01-08-84, Neuwied, Orduspor
4, Thomas Paulus, GER, D, 1.92, 88, 14-03-82, Kelheim, Nürnberg
5, Ronald Gërçaliu, AUT, D, 1.81, 76, 12-02-86, Tirana, ŁKS Łódź
6, Kevin Schlitte, GER, M, 1.84, 79, 04-11-81, Haldensleben, Hansa Rostock
7, Ronny König, GER, F, 1.90, 93, 02-06-83, Lichtenstein/Sa, RW Oberhausen
8, Mike Könnecke, GER, F, 1.74, 70, 23-08-88, Wolfsburg, Wolfsburg II
9, Flamur Kastrati, NOR, F, 1.85, 78, 14-11-91, Oslo, Duisburg
10, Michael Fink, GER, M, 1.83, 76, 01-02-82, Waiblingen, Samsunspor
11, Halil Savran, GER, F, 1.83, 82, 20-06-85, Wiesbaden, Union Berlin
12, Jakub Sylvestr, SVK, F, 1.78, 80, 02-02-89, Banská Bystrica, Dinamo Zagreb
13, Nils Miatke, GER, M, 1.76, 73, 30-01-90, Drachhausen, Carl Zeiss Jena
15, René Klingbeil, GER, D, 1.79, 76, 02-04-81, Berlin, Viking
16, Vlad Munteanu, ROU, M, 1.82, 73, 16-01-81, Bacău, Concordia Chiajna
17, Jan Hochscheidt, GER, M, 1.80, 78, 04-10-87, Trier, Energie Cottbus II
18, Enrico Kern, GER, F, 1.89, 83, 12-03-79, Schlema, Hansa Rostock
19, Andreas Wiegel, GER, F, 1.79, 67, 21-07-91, Paderborn, Schalke
20, Oliver Schröder, GER, M, 1.83, 83, 11-06-80, Berlin, Hansa Rostock
21, Dominic Rau, GER, D, 1.87, 74, 29-11-90, Schlema, None
22, Marc Hensel, GER, M, 1.88, 83, 17-04-86, Dresden, Energie Cottbus II
23, Nicolas Höfler, GER, M, 1.81, 78, 09-03-90, Überlingen, Freiburg
24, Philipp Müller, GER, D, 1.83, 73, 16-06-92, , None
25, Guido Kocer, GER, F, 1.79, 75, 15-09-88, Worms, Babelsberg
26, Stephan Flauder, GER, G, 1.97, 85, 30-05-86, Frankfurt (Oder), None
27, Tom Neukam, GER, G, 1.90, 86, 06-07-93, Grimma, Werder Bremen
28, Max Gehrmann, GER, F, 1.82, 78, 17-05-95, , None
30, Fabian Müller, GER, D, 1.73, 68, 06-11-86, Bad Reichenhall, Kaiserslautern
31, Kevin Pezzoni, GER, D, 1.93, 91, 22-03-89, Frankfurt am Main, Köln

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
2, Pierre le Beau, FRA, D, 1.88, 75, 08-03-86, Chemnitz, Chemnitzer FC
9, Christian Cappek, GER, M, 1.86, 86, 25-07-90, Augsburg, Augsburg II
