=  Hertha Berlin - German 2.Bundesliga 2012/13

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Thomas Kraft, GER, G, 1.85, 78, 22-07-88, Kirchen (Sieg), Bayern Munich
2, Peter Pekarik, SVK, D, 1.76, 69, 30-10-86, Žilina, Wolfsburg
3, Levan Kobiashvili, GEO, M, 1.83, 78, 10-07-77, Tbilisi, Schalke
4, Roman Hubník, CZE, D, 1.91, 84, 06-06-84, Vsetín, FC Moscow
5, Maik Franz, GER, D, 1.90, 88, 05-08-81, Merseburg, Eintracht Frankfurt
6, Christoph Janker, GER, D, 1.85, 78, 14-02-85, Cham, 1899 Hoffenheim
8, Marcel Ndjeng, GER, M, 1.80, 72, 06-05-82, Bonn, Augsburg
9, Adrián Ramos, COL, F, 1.85, 72, 22-01-86, Santander de Quilichao, América de Cali
10, Änis Ben-Hatira, TUN, M, 1.81, 78, 18-07-88, Berlin, Hamburg
11, Sami Allagui, TUN, F, 1.82, 77, 28-05-86, Düsseldorf, Mainz
12, Ronny, BRA, D, 1.75, 74, 11-05-86, Fortaleza, Sporting CP
16, Ben Sahar, ISR, F, 1.78, 79, 10-08-89, Holon, Espanyol
18, Peter Niemeyer, GER, M, 1.91, 83, 22-11-83, Hörstel, Werder Bremen
19, Pierre-Michel Lasogga, GER, F, 1.89, 88, 15-12-91, Gladbeck, Bayer Leverkusen
21, Sascha Burchert, GER, G, 1.85, 68, 30-10-89, Berlin, None
22, Felix Bastians, GER, M, 1.88, 76, 09-05-88, Bochum, Freiburg
23, Robert Andrich, GER, M, 1.85, 78, 22-09-94, Potsdam, None
24, Peer Kluge, GER, M, 1.79, 68, 22-11-80, Frankenberg, Schalke
25, John Brooks, USA, D, 1.93, 78, 28-01-93, Berlin, None
26, Nico Schulz, GER, D, 1.80, 78, 01-04-93, Berlin, None
27, Alfredo Morales, USA, D, 1.83, 74, 12-05-90, Berlin, None
28, Fabian Lustenberger, SUI, M, 1.80, 63, 02-05-88, Nebikon, Luzern
29, Marvin Knoll, GER, M, 1.86, 79, 05-02-90, Berlin, None
31, Shervin Radjabali-Fardi, GER, D, 1.75, 65, 17-05-91, Berlin, None
32, Fabian Holland, GER, M, 1.72, 71, 11-07-90, Berlin, None
33, Sandro Wagner, GER, F, 1.94, 87, 29-11-87, Munich, Werder Bremen
34, Hany Mukhtar, GER, M, 1.67, 60, 21-03-95, Berlin, None
35, Marius Gersbeck, GER, G, 1.87, 79, 20-06-95, Berlin, None
37, Philip Sprint, GER, G, 1.96, 98, 27-06-93, Berlin, None
38, Dorian Diring, FRA, M, 1.79, 70, 11-04-92, Mulhouse, Mulhouse
39, Benjamin Lundt, GER, G, 1.97, 88, 24-09-95, , None
40, Anthony Syhre, GER, D, 1.87, 83, 18-03-95, Berlin, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
20, Marco Djuricin, AUT, F, 1.81, 72, 12-12-92, Vienna, Jahn Regensburg (On Loan)
13, Nikita Rukavytsya, AUS, F, 1.83, 74, 22-06-87, Mykolaiv, Mainz
23, Fanol Perdedaj, GER, M, 1.72, 66, 16-07-91, Gjakova, Lyngby (On Loan)
15, Elias Kachunga, GER, F, 1.76, 64, 22-04-92, Cologne, B Mönchengladbach
7, Daniel Beichler, AUT, M, 1.83, 75, 13-10-88, Graz, Sandhausen (On Loan)
