=  SC Freiburg - German Bundesliga 2016/17

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Alexander Schwolow, GER, G, 1.89, 83, 02-06-92, Wiesbaden, Wehen-Wiesbaden
2, Aleksandar Ignjovski, SRB, D, 1.75, 69, 27-01-91, Belgrade, Eintracht Frankfurt
3, Marc Torrejón, ESP, D, 1.87, 87, 18-02-86, Barcelona, Kaiserslautern
4, Çağlar Söyüncü, TUR, D, 1.87, 80, 23-05-96, İzmir, Altınordu
5, Manuel Gulde, GER, D, 1.83, 73, 12-02-91, Mannheim, Karlsruhe
6, Amir Abrashi, ALB, M, 1.72, 70, 27-03-90, Bischofszell, Grasshoppers
7, Florian Niederlechner, GER, F, 1.87, 84, 24-10-90, Ebersberg, Mainz
8, Mike Frantz, GER, M, 1.81, 76, 14-10-86, Saarbrücken, Nürnberg
11, Onur Bulut, GER, M, 1.81, 70, 16-04-94, Werdohl, Bochum
14, Håvard Nielsen, NOR, F, 1.87, 80, 15-07-93, Oslo, Red Bull Salzburg
15, Pascal Stenzel, GER, M, 1.84, 74, 20-03-96, Bünde, Borussia Dortmund
17, Lukas Kübler, GER, D, 1.83, 73, 30-08-92, Bonn, Sandhausen
18, Nils Petersen, GER, F, 1.86, 80, 06-12-88, Wernigerode, Werder Bremen
19, Janik Haberer, GER, M, 1.87, 71, 02-04-94, Wangen im Allgäu, 1899 Hoffenheim
20, Marc-Oliver Kempf, GER, D, 1.86, 88, 28-01-95, Lich, Eintracht Frankfurt
21, Patric Klandt, GER, G, 1.85, 78, 29-09-83, Frankfurt am Main, FSV Frankfurt
22, Vincent Sierro, SUI, M, 1.84, 74, 08-10-95, Sierre, Sion
23, Julian Schuster, GER, M, 1.90, 77, 15-04-85, Bietigheim-Bissingen, Stuttgart
24, Georg Niedermeier, GER, D, 1.88, 74, 26-02-86, Munich, Stuttgart
25, Jonas Föhrenbach, GER, D, 1.85, 74, 26-01-96, Freiburg, None
26, Maximilian Philipp, GER, M, 1.79, 74, 01-03-94, Berlin, Energie Cottbus
27, Nicolas Höfler, GER, M, 1.81, 78, 09-03-90, Überlingen, Pfullendorf
30, Christian Günter, GER, D, 1.84, 81, 28-02-93, Villingen, None
31, Karim Guédé, SVK, M, 1.84, 77, 07-01-85, Hamburg, Slovan Bratislava
32, Vincenzo Grifo, ITA, M, 1.80, 75, 07-04-93, Pforzheim, 1899 Hoffenheim
34, Amir Falahen, PLE, F, 1.93, 84, 15-03-93, Freiburg, Jahn Freiburg
44, Rafał Gikiewicz, POL, G, 1.90, 82, 26-10-87, Olsztyn, Eintracht Braunschweig

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
24, Mensur Mujdža, BIH, D, 1.84, 74, 28-03-84, Zagreb, Kaiserslautern
9, Sebastian Kerk, GER, M, 1.85, 70, 17-04-94, Bad Wurzach, Kaiserslautern (On Loan)
45, Philipp Zulechner, AUT, F, 1.82, 73, 12-04-90, Vienna, Sturm Graz
29, Charles-Elie Laprevotte, FRA, M, 1.79, 73, 05-10-92, Nancy, Magdeburg
16, Mats Møller Dæhli, NOR, M, 1.77, 72, 02-03-95, Oslo, St Pauli (On Loan)
22, Jonas Meffert, GER, M, 1.86, 77, 04-09-94, Cologne, Karlsruhe (On Loan)
35, Lucas Hufnagel, GEO, M, 1.82, 71, 29-01-94, Munich, Nürnberg (On Loan)
