=  Bayern Munich - German Bundesliga 2019/2020

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Manuel Neuer, GER, G, 1.92, 90, 27-03-86, Gelsenkirchen, Schalke
2, Álvaro Odriozola, ESP, D, 1.75, 66, 14-12-95, San Sebastián, Real Madrid
4, Niklas Süle, GER, D, 1.94, 91, 03-09-95, Frankfurt am Main, 1899 Hoffenheim
5, Benjamin Pavard, FRA, D, 1.82, 67, 28-03-96, Maubeuge, Stuttgart
6, Thiago Alcántara, ESP, M, 1.65, 60, 11-04-91, Bari, Barcelona
8, Javi Martínez, ESP, D, 1.90, 81, 02-09-88, Lizarra, Athletic Bilbao
9, Robert Lewandowski, POL, F, 1.81, 79, 21-08-88, Warsaw, Borussia Dortmund
10, Philippe Coutinho, BRA, M, 1.71, 71, 12-06-92, Rio de Janeiro, Barcelona
11, Mickaël Cuisance, FRA, M, 1.81, 74, 16-08-99, Strasbourg, B Mönchengladbach
14, Ivan Perišić, CRO, F, 1.86, 79, 02-02-89, Split, Internazionale
15, Jann-Fiete Arp, GER, F, 1.84, 78, 06-01-00, Bad Segeberg, Hamburg
16, Leon Dajaku, GER, M, 1.80, 72, 12-04-01, Waibingen, Stuttgart
17, Jérôme Boateng, GER, D, 1.92, 90, 03-09-88, Berlin, Manchester C
18, Leon Goretzka, GER, M, 1.89, 76, 06-02-95, Bochum, Schalke
19, Alphonso Davies, CAN, D, 1.83, 75, 02-11-00, Buduburam, Vancouver Whitecaps
21, Lucas Hernández, FRA, D, 1.84, 76, 14-02-96, Marseille, Atlético Madrid
22, Serge Gnabry, GER, M, 1.73, 73, 14-07-95, Stuttgart, Werder Bremen
24, Corentin Tolisso, FRA, M, 1.65, 54, 03-08-94, Tarare, Lyon
25, Thomas Müller, GER, F, 1.86, 74, 13-09-89, Weilheim in Oberbayern, None
26, Sven Ulreich, GER, G, 1.92, 84, 03-08-88, Schorndorf, Stuttgart
27, David Alaba, AUT, D, 1.75, 70, 24-06-92, Vienna, Austria Vienna (A)
28, Sarpreet Singh, NZL, M, 1.72, 65, 20-02-99, Auckland, Wellington Phoenix
29, Kingsley Coman, FRA, M, 1.78, 71, 13-06-96, Paris, Juventus
30, Jeong Woo-Yeong, KOR, M, 1.79, 72, 20-09-99, Ulsan, Freiburg
32, Joshua Kimmich, GER, D, 1.76, 68, 08-02-95, Rottweil, Stuttgart
33, Lars Lukas Mai, GER, D, 1.90, 80, 31-03-00, Dresden, Dynamo Dresden
34, Oliver Batista Meier, GER, M, 1.80, 67, 16-02-01, Kaiserslautern, Kaiserslautern
35, Joshua Zirkzee, NED, F, 1.93, 84, 22-05-01, Schiedam, Feyenoord
36, Christian Früchtl, GER, G, 1.93, 71, 28-01-00, Bischofsmais, None
37, Paul Will, GER, M, 1.85, 77, 01-03-99, Biedenkopf, Kaiserslautern
38, Kwasi Okyere Wriedt, GHA, F, 1.88, 80, 10-07-94, Hamburg, Osnabrück
39, Ron Thorben Hoffmann, GER, G, 1.92, 84, 04-04-99, Rostock, RB Leipzig
41, Chris Richards, USA, D, 1.88, 86, 28-03-00, Birmingham, AL, FC Dallas
42, Jamal Musiala, ENG, M, 1.81, 65, 26-02-03, Stuttgart, Chelsea

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
35, Renato Sanches, POR, M, 1.76, 75, 18-08-97, Lisbon, Lille
