=  Veria - Greek Super League 2015/16

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Giorgos Kantimiris, GRE, G, 1.87, 77, 19-09-82, Rhodes, Fokikos
2, Neto, BRA, D, 1.75, 67, 07-02-81, São José do Rio Preto, Bahia
3, Cyril Kali, FRA, D, 1.82, 75, 21-01-84, Besançon, Panetolikos
4, Raúl Bravo, ESP, D, 1.76, 62, 14-04-81, Gandia, Aris
5, Stelios Marangos, GRE, D, 1.78, 69, 04-05-89, Veria, Kerkyra
6, Roberto Battión, ARG, M, 1.88, 83, 01-03-82, Santa Fe, All Boys
7, Georgios Georgiadis, GRE, F, 1.78, 63, 14-11-87, Mitroussi Serron, PAOK
8, Branko Ostojić, BIH, M, 1.86, 80, 03-01-84, Goražde, Javor Ivanjica
9, Thomas Nazlidis, GRE, F, 1.85, 85, 23-10-87, Thessaloniki, Platanias
10, Dimitris Anakoglou, GRE, M, 1.75, 62, 06-09-91, Serres, AEK
13, Mohamed Youssouf, FRA, M, 1.68, 64, 26-03-88, Paris, Ergotelis
14, Rodgers Kola, ZAM, F, 1.82, 74, 04-07-89, Lusaka, KAA Gent
15, Pedro Arce, MEX, M, 1.73, 65, 25-11-91, Saltillo, Kavala
18, Iván Malón, ESP, D, 1.87, 76, 26-08-86, Gandía, Mirandés
19, Anestis Karakostas, GRE, D, , , 15-06-91, , Iraklis
20, Dimitris Melikiotis, GRE, F, 1.84, 75, 10-07-96, Veria, None
21, Alexandros Vergonis, GRE, M, 1.88, 80, 01-12-85, Veria, Rodos
22, Stefanos Siontis, GRE, D, 1.79, 73, 04-09-87, Ioannina, Kerkyra
23, William Edjenguélé, FRA, D, 1.86, 80, 07-05-87, Paris, Panetolikos
25, Sotiris Balafas, GRE, M, 1.88, 78, 19-08-86, Arta, Hoverla Uzhhorod
28, Evangelos Nastos, GRE, D, 1.87, 83, 13-09-80, Salonika, Atromitos
31, Dimitris Giannoulis, GRE, M, 1.75, 70, 17-10-96, Katerini, PAOK
33, Dimitris Manos, GRE, F, 1.79, 79, 16-09-94, Trikala, None
44, Achilleas Pouggouras, GRE, D, 1.87, 77, 13-12-95, Thessaloniki, PAOK
55, Jonathan, ESP, G, 1.82, 83, 16-04-81, Langreo, Getafe
77, Saša Kajkut, BIH, F, 1.88, 80, 07-07-84, Banja Luka, Kerkyra
80, Panagiotis Xoblios, GRE, F, , , 27-02-96, , Niki Volos
86, Radosław Majewski, POL, M, 1.70, 66, 15-12-86, Pruszków, Nottingham F
93, Djamel Abdoun, ALG, M, 1.80, 65, 14-02-86, Montreuil-sous-Bois, Nottingham F
96, Giorgos Vassiliadis, GRE, G, , , 10-06-96, , None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
10, Andreas Tatos, GRE, M, 1.74, 68, 11-05-89, Himara, Aris
12, Nikos Tsoumanis, GRE, D, 1.78, 75, 08-06-90, Ioannina, Aris
32, Charalambos Pavlidis, GRE, M, 1.79, 74, 06-05-91, Veria, Aris
11, Giorgi Merebashvili, GEO, M, 1.78, 74, 15-08-86, Tbilisi, Levadiakos
24, Abdisalam Ibrahim, NOR, M, 1.85, 73, 01-05-91, Mogadishu, Viking
