=  Volos - Greek Super League 2019/2020

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Thanassis Garavelis, GRE, G, 1.90, 83, 06-08-92, Kozani, Xanthi
2, Antonis Dentakis, GRE, D, 1.79, 72, 13-03-95, Chania, AEEK SYN.KA
3, Franco Ferrari, ARG, D, 1.67, 67, 09-05-92, Rosario, Mitre
4, Liassine Cadamuro, ALG, D, 1.86, 76, 05-03-88, Toulouse, Concordia Chiajna
5, Augusto Max, ARG, M, 1.68, 69, 10-08-92, San Miguel de Tucumán, Quilmes
6, Tasos Tsokanis, GRE, M, 1.82, 78, 02-05-91, Chalkida, Panetolikos
8, Juan Muñiz, ESP, M, 1.78, 74, 13-03-92, Gijón, Lugo
9, Vasilis Mantzis, GRE, F, 1.81, 75, 04-12-91, Grammatiko, Chania Kissamikos
10, Iker Guarrotxena, ESP, M, 1.77, 67, 06-12-92, Bilbao, Pogoń Szczecin
13, Anastasios Karagiozis, GRE, G, 1.95, 85, 20-06-97, Katerini, Aiginiakos
14, Nacho Cases, ESP, M, 1.74, 64, 22-12-87, Gijón, AEK Larnaca
18, Joaquín Torres, ARG, M, 1.77, 67, 28-01-97, Neuquén, Newell's Old Boys
19, Konstantinos Korelas, GRE, M, , , 01-03-00, , Anagennisi Karditsa
20, Marios Tsaousis, GRE, D, 1.75, 74, 11-05-00, Thessaloniki, PAOK
21, Vaggelis Oikonomou, GRE, D, 1.85, 80, 18-07-87, Corinth, Panathinaikos
22, Lefteris Lyratzis, GRE, D, 1.75, 65, 22-02-00, Kavala, PAOK
23, Fernando Joao, ARG, M, 1.62, 61, 26-05-94, Caseros, Estudiantes (BA)
24, Gerasimos Mitoglou, GRE, D, 1.95, 85, 20-10-99, , Agrotikos Asteras
25, Giorgios Ballas, GRE, F, , , 07-04-01, , PAOK
26, Erik Jendrišek, SVK, F, 1.76, 74, 26-10-86, Trstená, Xanthi
30, Nikos Melissas, GRE, G, 1.82, 75, 24-02-93, Thessaloniki, PAOK
33, Stergios Dimopoulos, GRE, D, 1.80, 77, 25-05-90, Karditsa, Anagennisi Karditsa
44, Sergio Chica, ESP, D, 1.86, 80, 11-07-96, Leganés, Málaga B
67, Apostolos Diamantis, GRE, D, 1.87, 73, 20-05-00, Serres, PAOK
71, Vasilis Kravaritis, GRE, G, , , 03-04-02, , None
89, Alexandros Kyziridis, GRE, F, 1.79, 70, 16-09-00, Skydra, Iraklis
99, Konstantinos Balogiannis, GRE, M, 1.79, 71, 08-02-99, Thessaloniki, PAOK

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
10, Brian Sarmiento, ARG, M, 1.65, 60, 22-04-90, Rosario, All Boys
27, Giannis Mystakidis, GRE, F, 1.81, 75, 07-12-94, Thessaloniki, PAOK
4, Sébastien Bassong, CMR, D, 1.87, 73, 09-07-86, Paris, 
11, Konstantinos Iliopoulos, GRE, F, 1.84, 74, 15-03-89, Kalamata, Kalamata
14, Yahia Attiyat Allah, MAR, F, 1.76, 70, 02-03-95, Safi, Wydad Casablanca
45, Giorgos Kornezos, GRE, D, 1.91, 85, 23-02-98, Athens, AEK
