=  FC Den Bosch - Dutch Eredivisie 2001/02

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
, Max de Jong, G, , , 11-12-68, Den Haag, ADO Den Haag
, Kris Mampaey, G, 6'02", 13 03, 02-11-70, Mortsel, Royal Antwerp
, Martijn van Strien, G, 6'03", 13 01, 21-05-79, Amersfoort, Vitesse
, Winston Faerber, D, , , 27-03-71, Den Haag, Cardiff C
, Fred van der Hoorn, D, , , 12-10-63, Den Bosch, Eendracht Aalst
, Ryan Jagroep, D, , , 17-08-82, Eindhoven, FC Den Bosch Youth
, Geoffrey Meye, D, 5'09", 10 12, 12-12-82, Nieuwegein, FC Den Bosch Youth
, Patrick Peelen, D, , , 23-01-68, Utrecht, Go Ahead Eagles
, Rick Plum, D, , , 12-06-73, Kerkrade, MVV
, Peter Uneken, D, 6'03", 12 13, 04-02-72, Sleen, Emmen
, Jan Veenhof, D, , , 28-01-69, Leeuwarden, NTT Kanto
, Jan Burg, M, , , 19-10-80, Kerkdriel, FC Den Bosch Youth
, Patrick Deckers, M, , , 09-10-71, Maastricht, FC Eindhoven
, Hes van Kapel, M, , , 29-12-77, Waalwijk, Willem II
, Jan Michels, M, 5'08", 11 07, 08-09-70, Deventer, Motherwell
, Bart van den Eede, F, 6'04", 14 07, 03-11-73, Hamme, Beveren
, Fabian de Freitas, F, 6'01", 12 09, 28-07-72, Paramaribo, Cambuur Leeuwarden
, Paul Koppers, F, , , 02-05-80, Houten, FC Den Bosch Youth
, Koen van de Laak, F, 6'00", 11 07, 03-09-82, Vught, FC Den Bosch Youth
, Bilin Maximiano, F, , , 02-04-74, São Nicolão, FC Groningen
, Mourad Mghizrat, F, 6'03", 11 09, 07-09-74, Fez, Sparta Rotterdam
, Etienne Olf, F, , , , , FC Den Bosch Youth
, Bas Peijs, F, , , 24-08-77, Deurne, FC Den Bosch Youth
, Esad Razic, F, 6'01", 12 06, 27-07-82, Doboj, Elfsborg
