=  Feyenoord - Dutch Eredivisie 2001/02

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Edwin Zoetebier, G, 6'02", 13 08, 07-05-70, Purmerend, Vitesse
2, Christian Gyan, D, 5'09", 11 11, 02-11-78, Tema, Gapoha
3, Tomasz Rzasa, D, 5'11", 12 00, 11-03-73, Kraków, De Graafschap
4, Mauricio Aros, D, , , 09-03-76, , Universidad de Chile
6, Paul Bosvelt, M, 6'00", 12 04, 26-03-70, Doetinchem, FC Twente
7, Bonaventure Kalou, F, 5'11", 12 01, 12-01-78, Oumé, ASEC Abidjan
8, Kees van Wonderen, D, , , 04-01-69, Bergen, NAC Breda
9, Pierre van Hooijdonk, F, 6'04", 13 03, 29-11-69, Steenbergen-Welberg, Benfica
10, Jon Dahl Tomasson, F, 6'00", 11 09, 29-08-76, Roskilde, Newcastle U
11, Leonardo, F, 5'08", 11 05, 09-03-83, Rio de Janeiro, Feyenoord Youth
14, Shinji Ono, M, 5'09", 11 09, 27-09-79, Numazu, Urawa Red Diamonds
15, Johan Elmander, F, 6'02", 12 06, 27-05-81, Alingsas, Örgryte IS
16, Ebi Smolarek, F, 5'09", 10 06, 09-01-81, Łódź, Feyenoord Youth
17, Patrick Paauwe, D, 6'00", 11 09, 27-12-75, ’t Harde, Fortuna Sittard
18, Igor Korneev, F, , , 04-09-67, Moscow, SC Heerenveen
19, Jan de Visser, M, , , 01-01-68, Hoorn, SC Heerenveen
20, Ferry de Haan, M, 6'03", 13 05, 12-09-72, Capelle aan den IJssel, Excelsior
22, Ulrich van Gobbel, D, 6'00", 15 00, 16-01-71, Paramaribo, Southampton
23, Brett Emerton, M, 6'02", 12 01, 22-02-79, Bankstown, Sydney Olympic
24, Leonardo dos Santos, M, 5'09", 11 09, 21-08-76, Rio de Janeiro, FC Groningen
25, Ramon van Haaren, D, 5'11", 11 07, 16-09-72, Waalwijk, Roda JC
26, Pieter Collen, D, 6'00", 11 09, 20-06-80, Gent, NEC
27, Glenn Loovens, D, 6'01", 12 11, 22-09-83, Doetinchem, Feyenoord Youth
28, Civard Sprockel, D, 6'01", 12 06, 10-05-83, Willemstad, Feyenoord Youth
29, Said Boutahar, M, 5'08", 11 05, 12-08-82, Rotterdam, Feyenoord Youth
30, Henk Timmer, G, 6'02", 14 02, 03-12-71, Hierden, AZ
31, Carlo L’Ami, G, , , 20-07-66, Leiden, Excelsior
32, Robin van Persie, F, 6'00", 11 02, 06-08-83, Rotterdam, Feyenoord Youth
