=  NAC Breda - Dutch Eredivisie 2001/02

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
, Gábor Babos, G, 6'05", 12 13, 24-10-74, Sopron, MTK
, Casper Ketting, G, , , 18-05-79, Rotterdam, NAC Youth
, Peter Zoïs, G, 5'11", 12 04, 21-04-78, Melbourne, South Melbourne
, Jeffrey van As, D, , , 09-04-72, Leiden, MVV
, Jean Philip Becht, D, , , 26-09-80, Terneuzen, NAC Youth
, Nebojsa Gudelj, D, 6'00", 12 00, 23-09-69, Trebinje, Logroñes
, Kofi Mensah, D, , , 08-03-78, Koforiddua, Ajax
, Rob Penders, D, 5'11", 11 11, 31-12-75, Zaandam, RBC Roosendaal
, Levi Risamasu, D, 5'10", 12 00, 23-11-82, Nieuwerkerk aan den Ijssel, NAC Youth
, Mark Schenning, D, 6'04", 14 02, 18-10-70, Apeldoorn, FC Den Bosch
, Chedric Seedorf, D, , , 20-04-83, Naarden, Internazionale Youth
, Orlando Engelaar, M, 6'06", 13 12, 24-08-79, Rotterdam, Feyenoord Youth
, Csaba Fehèr, M, 5'11", 11 09, 02-09-75, Szekszard, MTK
, Tamás Petö, M, 6'00", 12 01, 08-06-74, Ajka, Vasas Budapest
, Alfred Schreuder, M, 5'10", 12 01, 02-11-72, Barneveld, RKC Waalwijk
, Sergio, M, 5'08", 10 01, 06-07-81, Rio de Janeiro, NAC Youth
, Maurice Steyn, M, , , 20-11-73, Den Haag, ADO Den Haag
, Rick Versteeg, M, , , 30-07-76, Zwijndrecht, VVGZ
, Kevin Bobson, F, 5'09", 12 04, 13-11-80, Amsterdam, Ajax
, Cristiano, F, 5'10", 11 09, 03-06-81, Rio de Janeiro, NAC Youth
, Youssouf Hersi, F, 5'11", 12 00, 20-08-02, Diredawa, Ajax
, Glen Salmon, F, 5'11", 12 00, 24-12-77, Harare, Supersport United
, Earnie Stewart, F, 5'09", 11 08, 28-03-69, Veghel, Willem II
