=  PSV Eindhoven - Dutch Eredivisie 2006/07

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Heurelho da Silva Gomes, G, 6'03", 12 13, 15-02-81, João Pinheiro, Cruzeiro
2, Jan Kromkamp, D, 6'00", 13 01, 17-08-80, Makkinga, Liverpool
3, Michael Reiziger, D, 5'10'', 11 11, 03-05-73, Amstelveen, Middlesbrough
4, Alex, D, 6'02", 14 00, 17-06-82, Niterói, Santos
6, Timmy Simons, M, 6'01", 12 06, 11-12-76, Diest, Club Brugge
7, Mika Väyrynen, M, 5'10", 11 03, 28-12-81, Eskilstuna, SC Heerenveen
8, Phillip Cocu, M, 6'00", 11 09, 29-10-70, Eindhoven, Barcelona
9, Patrick Kluivert, F, 6'02'', 12 11, 01-09-76, Amsterdam, Valencia
10, Arouna Koné, F, 5'11", 12 11, 11-11-83, Anyama, Roda JC
11, Édison Méndez, M, 5'09", 10 10, 16-03-79, Valle del Chota, LDU Quito
13, Alcides, D, 6'03", 13 01, 13-03-85, São José do Rio Preto, Chelsea
14, Manuel Da Costa, D, 6'02", 12 04, 06-05-86, Nancy, Nancy
15, Jason Culina, M, 5'09", 11 05, 05-08-80, Sydney, FC Twente
17, Jefferson Farfán, F, 5'09", 11 05, 26-10-84, Lima, Alianza Lima
18, Eric Addo, D, 6'00", 10 10, 12-11-78, Accra, Club Brugge
19, Michael Lamey, D, 6'01", 12 06, 29-11-79, Amsterdam, RKC Waalwijk
20, Ibrahim Afellay, M, 5'11", 12 04, 02-04-86, Utrecht, Elinkwijk
21, Oscar Moens, G, 6'03", 14 00, 01-04-73, s' Gravenzande, Willem II
22, Csaba Fehér, M, 5'11", 11 09, 02-09-75, Szekszard, NAC Breda
23, Carlos Salcido, D, 5'07", 09 11, 02-04-80, Ocotlán, Guadalajara
24, Lee Nguyen, M, 5'08", 10 10, 07-10-86, Richardson, Dallas Texans
25, John de Jong, M, 6'00", 11 09, 08-03-77, Den Haag, FC Utrecht
26, Diego Tardelli, F, 5'10", 11 05, 10-05-85, Santa Barbara d'Oeste, São Caetano
27, Género Zeefuik, F, , , 05-04-90, Amsterdam, None
28, Sun Xiang, M, 5'11", 11 05, 15-01-82, Shanghai, Shanghai Shenhua
30, Pepe Plá, D, 6'00", 12 08, 25-01-87, Valencia, Valencia
31, Ruud Boffin, G, , , 05-11-87, Sint-Truiden, KRC Genk
38, Rens van Eijden, D, , , 03-03-88, Oss, None
39, Dirk Marcellis, D, 5'10", 11 11, 13-04-88, Horst, None
40, Bilal El Jacoubi, M, , , 17-01-85, Tangier, NAC Breda
44, Olivier ter Horst, D, , , 06-04-89, , None
52, Tijani Belaid, M, 5'11", 12 00, 06-09-87, Paris, Internazionale

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
2, André Ooijer, D, 6'00", 12 00, 11-07-74, Amsterdam, Blackburn R
9, Jan Vennegoor of Hesselink, F, 6'02", 13 05, 07-11-78, Oldenzaal, Celtic
11, DaMarcus Beasley, M, 5'07'', 09 00, 24-05-82, Fort Wayne, Manchester C (On Loan)
33, Roy Beerens, F, 5'08", 09 13, 22-12-87, Bladel, NEC Nijmegem (On Loan)
5, Michael Ball, D, 6'01", 11 09, 02-10-79, Liverpool, Manchester C
16, Ismail Aissati, M, , , 16-08-88, Utrecht, FC Twente (On Loan)
32, Jelle de Bock, D, , , 04-05-88, Sint-Niklaas, RS Waasland (On Loan)
29, Arvid Smit, M, 6'00", 12 01, 12-12-80, Heerhugowaard, Marítimo
