=  Roda JC - Dutch Eredivisie 2007/08

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Ger Senden, D, 6'00", 11 05, 09-07-71, Heerlen, Chèvremont
3, Jan-Paul Saeijs, D, 6'02", 11 07, 20-06-78, Den Haag, ADO Den Haag
4, Pa-Modou Kah, D, 6'00", 11 11, 30-07-80, Banjul, AIK
5, Vincent Lachambre, D, 5'10", 11 03, 06-11-80, Brussel, RC Harelbeke
6, Marcel Meeuwis, M, 5'08", 11 00, 31-10-80, Goirle, VVV Venlo
8, Willem Janssen, M, 6'01", 11 11, 04-07-86, Nijmegen, VVV Venlo
9, Dieter Van Tornhout, F, 6'03", 13 12, 18-03-85, Gent, Club Brugge
10, Anouar Hadouir, F, 5'07", 10 10, 14-09-82, Den Bosch, Willem II
11, Andres Oper, F, 6'01", 11 11, 07-11-77, Tallinn, Torpedo Moscow
12, Davy De Fauw, D, 6'00", 11 03, 08-07-81, Gent, Sparta Rotterdam
14, Frank van Kouwen, D, 5'10", 10 08, 02-07-80, Weert, VVV Venlo
15, Nuelson Wau, D, 5'10", 10 03, 17-12-80, Geldrop, Willem II
16, Jamaïque Vandamme, F, 6'00", 12 01, 01-08-85, Oostende, KSV Roeselare
17, Marcel de Jong, F, 5'09", 10 10, 15-10-86, New Market, Helmond Sport
18, Cheik Ismael Tioté, M, 5'11", 12 00, 21-06-86, Yamoussoukro, Anderlecht
19, Sekou Cissé, F, 6'01", 11 07, 23-05-85, Dabou, None
20, Roland Lamah, M, 5'11", 11 03, 31-12-87, Liège, Anderlecht
21, Olaf Rompelberg, D, 6'00", 12 00, 30-01-87, Heerlen, None
22, Bram Castro, G, 6'03", 12 08, 30-09-82, Hasselt, Sint-Truiden
23, Kjell Knops, D, , , 21-08-87, , None
24, Fatih Sonkaya, D, 5'11", 13 05, 01-07-81, Oitu, FC Porto
25, Slama Solou, F, , , 29-03-83, Hoensbroek, PSV
27, Boldizsár Bödör, M, 5'11", 12 00, 27-04-82, Pécs, Germinal Beerschot
29, Przemysław Tytoń, G, 6'05", 12 08, 23-05-87, Zamość, Górnik Łęczna
30, Cliff Mardulier, G, 6'00", 12 04, 22-09-82, Edegem, Schoten
34, Jeanvion Yulu-Matondo, F, 5'10", 11 00, 05-01-86, Kinshasa, Club Brugge

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
15, Elbekay Bouchiba, M, 5'09", 11 03, 01-11-78, Weert, Al Wakrah
7, Bas Sibum, M, 5'11", 12 06, 26-12-82, Nieuw-Amsterdam, NEC Nijmegen
