=  Újpest - Hungarian Nemzeti Bajnokság I 2021/2022

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Filip Pajović, SRB, G, 1.83, 74, 30-07-93, Zrenjanin, Čukarički
2, Lirim Kastrati, KVX, D, 1.77, 59, 02-02-99, Mališevo, Bologna
3, Csanád Fehér, HUN, D, 1.87, 75, 13-06-02, Szeged, Kecskemét
4, Abdoulaye Diaby, MLI, D, 1.95, 85, 04-07-00, Bamako, Royal Antwerp
5, Petrus Boumal, CMR, M, 1.76, 74, 20-04-93, Yaoundé, FC Nizhny Novgorod
6, Luca Mack, GER, D, 1.86, 76, 25-05-00, Bietigheim-Bissingen, Stuttgart
7, Krisztián Simon, HUN, M, 1.83, 72, 10-06-91, Budapest, 1860 Munich
8, Budu Zivzivadze, GEO, F, 1.89, 81, 10-03-94, Kutaisi, MOL Fehérvár
9, Fernando Viana, BRA, F, 1.77, 75, 20-02-92, Brasília, Kisvárda
10, Yohan Croizet, FRA, M, 1.78, 70, 15-02-92, Sarrebourg, OH Leuven
11, Nemanja Antonov, SRB, D, 1.82, 75, 06-05-95, Pančevo, Excel Mouscron
13, Giorgios Koutroubis, GRE, D, 1.85, 78, 10-02-91, Athens, OFI
14, Áron Csongvai, HUN, M, 1.86, 76, 31-10-00, Budapest, Vasas
15, Miroslav Bjeloš, SRB, M, 1.77, 75, 29-10-90, Novi Sad, Napredak Kruševac
17, Giorgi Beridze, GEO, M, 1.74, 71, 12-05-97, Mestia, KAA Gent
19, Abdoulaye Yahaya, CMR, F, 1.70, 65, 07-10-01, Bertoua, Lokomotiva Zagreb
20, Märten Kuusk, EST, D, 1.81, 76, 05-04-96, Tallinn, Flora Tallinn
21, György Varga, HUN, M, -, -, 23-10-03, -, Vasas
22, Nikola Mitrović, SRB, M, 1.80, 78, 02-01-87, Kruševac, Zalaegerszeg
23, Dávid Banai, HUN, G, 1.86, 81, 09-05-94, Budapest, None
25, Patrik Eckl, HUN, D, -, -, 21-09-01, -, Főnix-Gold
27, Mátyás Katona, HUN, M, 1.73, 65, 30-12-99, Budapest, II. Kerület
28, Ognjen Radošević, SRB, M, -, -, 01-08-03, -, None
29, Vincent Onovo, NGA, M, 1.71, 74, 10-12-95, Agbani, Randers
34, Zoltán Tomori, HUN, G, 1.94, 77, 06-05-99, Budapest, Honvéd
44, Tamás Kádár, HUN, D, 1.88, 74, 14-03-90, Veszprém, Shandong Taishan
45, Stefan Jevtoski, MKD, M, 1.80, 73, 02-09-97, Skopje, Rabotnički
49, Branko Pauljević, SRB, D, 1.80, 72, 12-06-89, Kusići, Puskás Akadémia
55, Péter Szakály, HUN, M, 1.82, 70, 17-08-86, Nagyatád, Puskás Akadémia
62, Dominik Kovács, HUN, D, -, -, 18-02-01, -, Vasas
77, Zsombor Kálnoki-Kis, HUN, F, 1.87, 70, 23-09-01, Budapest, Vasas
98, Mory Kone, CIV, F, 1.78, 70, 13-07-95, San Pedro, Ararat Yerevan
99, Tamás Hámori, HUN, G, -, -, 21-09-92, -, Vác

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
20, Vincent Onovo, NGA, M, 1.71, 74, 10-12-95, Agbani, Randers
8, Gadji Celi Junior Tallo, CIV, F, 1.87, 77, 21-12-92, Ouragahio, Samsunspor (On Loan)
5, Zsolt Máté, HUN, D, 1.93, 85, 14-09-97, Kecskemét, Tiszakécske (On Loan)
10, Zoltán Stieber, HUN, M, 1.83, 78, 16-10-88, Budapest, MTK
24, Yohan Croizet, FRA, M, 1.78, 70, 15-02-92, Sarrebourg, Re-Registered (10)
33, Márk Mucsányi, HUN, M, 1.85, 74, 16-11-01, -, Szentlőrinc (On Loan)
