=  MOL Fehérvár - Hungarian Nemzeti Bajnokság I 2022/2023

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Dániel Kovács, HUN, G, 1.90, 82, 16-01-94, Gyula, Soroksár
3, Kasper Larsen, DEN, D, 1.90, 80, 25-01-93, Odense, Odense
5, Attila Fiola, HUN, D, 1.82, 74, 17-02-90, Paks, Puskás Akadémia
6, Peter Pokorný, SVK, M, 1.83, 69, 08-08-01, Trenčín, Real Sociedad B
7, Szabolcs Schön, HUN, F, 1.74, 71, 27-09-00, Budapest, FC Dallas
8, Yevhen Makarenko, UKR, M, 1.82, 73, 21-05-91, Kyiv, Anderlecht
10, Lirim Kastrati, KVX, F, 1.76, 63, 16-01-99, Ogošte, Legia Warszawa
11, Loïc Nego, HUN, D, 1.79, 64, 15-01-91, Paris, Charlton Ath
12, Deybi Flores, HON, M, 1.83, 68, 16-06-96, San Pedro Sula, Panetolikos
13, Artem Shabanov, UKR, D, 1.84, 74, 07-03-92, Kyiv, Dynamo Kyiv
14, Áron Csongvai, HUN, M, 1.86, 76, 31-10-00, Budapest, Újpest
19, Kenan Kodro, BIH, F, 1.90, 77, 19-08-93, San Sebastián, Athletic Bilbao
20, Tobias Christensen, NOR, M, 1.78, 73, 11-05-00, Kristiansand, Vålerenga
21, Rúben Pinto, POR, M, 1.81, 69, 24-04-92, Odivelas, CSKA Sofia
22, Stopira, CPV, D, 1.80, 74, 20-05-88, Praia, Feirense
23, Pál Dárdai, HUN, M, 1.79, 65, 24-04-99, Berlin, Hertha Berlin
27, Levente Szabó, HUN, F, 1.84, 75, 06-06-99, Székesfehérvár, Genoa
29, Zsolt Kojnok, HUN, D, 1.82, 69, 15-02-01, Mór, None
31, Nikola Serafimov, MKD, D, 1.93, 79, 11-08-99, Skopje, Zalaegerszeg
33, Barnabás Bese, HUN, D, 1.83, 77, 06-05-94, Budapest, OH Leuven
42, Emil Rockov, SRB, G, 1.88, 83, 27-01-95, Novi Sad, Vojvodina
55, Marcel Heister, GER, D, 1.82, 74, 29-07-92, Albstadt, Ferencváros
57, Martin Dala, HUN, G, 1.90, 83, 26-04-04, Székesfehérvár, None
65, Szilveszter Hangya, HUN, D, 1.87, 83, 02-01-94, Baja, Vasas
77, Mátyás Katona, HUN, M, 1.73, 65, 30-12-99, Budapest, Újpest
82, Zsombor Menyhárt, HUN, M, 1.84, 75, 24-06-04, Székesfehérvár, None
84, Roland Gergely, HUN, G, 1.90, 85, 06-04-05, Odorheiu Secuiesc, None
88, Milán Pető, HUN, M, 1.75, 67, 25-01-05, Breda, None
94, Claudiu Bumba, ROU, M, 1.75, 67, 05-01-94, Baia Mare, Kisvárda
95, Alef, BRA, M, 1.86, 71, 28-01-95, Nova Odessa, Sporting Braga
96, Lyes Houri, FRA, M, 1.75, 75, 19-01-96, Lomme, Viitorul Constanța

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
4, Adrián Rus, HUN, D, 1.88, 84, 18-03-96, Satu Mare, Pisa
10, Ádám István Kovács, HUN, M, 1.84, 75, 27-03-92, Szombathely, Győr
77, Kevin Csoboth, HUN, F, 1.78, 69, 20-06-00, Pécs, Újpest
7, Ivan Petryak, UKR, M, 1.71, 63, 13-03-94, Smila, Shakhtar Donetsk
15, Armin Hodžić, BIH, F, 1.81, 76, 17-11-94, Sarajevo, Željezničar
26, Michael Lüftner, CZE, D, 1.90, 85, 14-03-94, Chabařovice, 
20, Evandro, BRA, F, 1.74, 71, 14-01-97, Messias, Radnički 1923
14, Ákos Szendrei, HUN, F, 1.80, 72, 23-01-03, Szekszárd, DAC Dunajská Streda
80, Bohdan Lyednyev, UKR, M, 1.73, 70, 07-04-98, Skvyra, Dynamo Kyiv
9, Budu Zivzivadze, GEO, F, 1.89, 81, 10-03-94, Kutaisi, Karlsruhe
70, Funsho Bamgboye, NGA, F, 1.72, 68, 09-01-99, Ibadan, Rapid București
