=  Finn Harps - FAI Premier Division 2008

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
, Gavin Cullen, IRL, G, 1.88, 79, 21-11-80, Buncrana, Omagh T
, James Gallagher, IRL, G, 1.85, 84, 13-02-80, Falcarragh, St Patrick's Ath
, Declan Boyle, IRL, D, 1.83, 80, 12-02-74, Killybegs, Letterkenny R
, James Doherty, IRL, D, 1.70, 62, 22-07-88, Fanad, None
, Corny Gallagher, IRL, D, , , 09-05-87, Donegal, Gweedore Celtic
, Johnny Havlin, IRL, D, , , 04-03-88, Donegal, None
, Shaun Holmes, NIR, D, 1.75, 67, 27-12-80, Derry, Derry C
, Aaron Labonte, ENG, D, 1.78, 68, 27-11-83, Middlesbrough, Dunfermline Ath
, Stuart Malcolm, SCO, D, 1.85, 78, 20-08-79, Edinburgh, Shelbourne
, Shaun McGowan, IRL, D, 1.76, 75, 01-12-84, Ballybofey, Ballybofey U
, John Minnock, IRL, D, 1.77, 75, 08-12-76, Convoy, Shelbourne
, Marc Mukendi, IRL, D, 1.94, 75, 25-06-87, Derry, Derry C
, Finton Bonner, IRL, M, 1.70, 62, 25-10-86, Letterkenny, Derry C
, Paddy Bonner, IRL, M, , , 28-05-88, Donegal, Derry C
, Chris Breen, IRL, M, 1.79, 75, 07-03-85, Stranorlar, None
, Marc Brolly, IRL, M, 1.83, 76, 11-09-86, Strabane, Derry C
, Davy Byrne, IRL, M, 1.83, 80, 14-11-79, Dublin, Longford T
, Austin Friel, NIR, M, 1.68, 62, 16-07-81, Derry, Dungannon Swifts
, Mickey Funston, IRL, M, 1.75, 70, 13-05-85, Letterkenny, Bonagee U
, Gerry Gill, IRL, M, 1.78, 75, 10-10-86, Letterkenny, Moville Celtic
, Neil McCafferty, IRL, M, 1.70, 64, 19-07-84, Derry, Grays Ath
, David Tyrell, IRL, M, 1.80, 70, 06-05-85, Terenure, Shamrock R
, Gary Beckett, NIR, F, 1.78, 71, 24-07-73, Enniskillen, Derry C
, Conor Gethins, IRL, F, 1.71, 58, 01-11-83, Lifford, Stirling Alb
, Stephen Parkhouse, IRL, F, 1.88, 85, 01-08-82, Derry, Limavady U
, Kevin Ramsey, NIR, F, 1.83, 82, 06-03-81, , Institute
, Barry Tourish, IRL, F, 1.70, 65, 06-01-90, Castlefin, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
, Shaun Williams, IRL, M, 1.76, 75, 19-10-86, Malahide, Drogheda U
, Séan Roddy, IRL, M, , , 02-10-85, Derry, Institute
, Tony Shields, NIR, M, 1.73, 64, 04-06-80, Derry, Coleraine
