=  Waterford - League of Ireland Premier Division 2019

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Matthew Connor, IRL, G, 1.92, 82, 08-04-97, Waterford, Cork C
2, Rory Feely, IRL, D, 1.71, 66, 03-01-97, Dublin, St Patrick's Ath
3, Kevin Lynch, IRL, D, 1.75, 76, 21-03-92, Dublin, Bray W
4, Shane Duggan, IRL, M, 1.70, 70, 03-01-89, Limerick, Limerick
5, Kenny Browne, IRL, D, 1.90, 86, 07-08-86, Waterford, Cork C
6, Maxim Kouogun, IRL, D, 1.91, 82, 14-03-97, Douala, Warrenpoint T
7, Karolis Chvedukas, LTU, M, 1.74, 69, 21-04-91, Marijampolė, Dundalk
8, Jonathan Lunney, IRL, M, 1.75, 70, 02-02-98, Dublin, Bohemians
11, Zak Elbouzedi, IRL, M, 1.80, 70, 05-04-98, Dublin, Inverness CT
12, John Martin, IRL, M, 1.85, 70, 05-01-99, Kilkenny, St Patrick's Ath
14, Dean O'Halloran, IRL, M, 1.73, 70, 02-01-96, Waterford, Bohemians
15, Dean Walsh, IRL, F, 1.85, 76, 23-04-97, Waterford, Villa FC
16, Cory Galvin, IRL, M, 1.72, 66, 10-01-96, Cork, Bray W
17, Damien Delaney, IRL, D, 1.91, 89, 29-07-81, Cork, Cork C
18, Georgie Poynton, IRL, M, 1.78, 75, 08-09-97, Dublin, St Patrick's Ath
23, Shane Griffin, IRL, M, 1.73, 64, 31-12-99, Waterford, None
24, Ismahil Akinade, IRL, F, 1.91, 82, 11-02-94, Ibadan, Bohemians
25, Hugo Keto, FIN, G, 1.91, 70, 09-02-98, Helsinki, Brighton & HA
26, Colm Whelan, IRL, F, 1.80, 60, 29-06-00, Kilkenny, None
27, Regix Madika, COD, F, , , 13-02-00, Kinshasa, None
28, Jack Larkin, IRL, M, , , 29-07-00, , None
29, Darryl Walsh, IRL, D, , , 14-06-00, , None
30, Paul Martin, IRL, G, 1.88, 84, 05-01-99, Kilkenny, St Patrick's Ath
33, Darragh Power, IRL, D, 1.79, 73, 29-12-00, Waterford, None
, Sam Bone, ENG, D, 1.83, 85, 06-02-98, Kuching, Shamrock R

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
9, Aaron Drinan, IRL, F, 1.82, 73, 06-05-98, Cork, Ipswich T
10, Scott Twine, ENG, F, 1.74, 69, 14-07-99, Swindon, Swindon T
19, Aaron Simpson, ENG, D, , , 04-07-97, Canterbury, Dover Ath
21, Bastien Héry, FRA, M, 1.75, 65, 23-03-92, Brou-sur-Chantereine, Linfield
