=  Longford Town - League of Ireland Premier Division 2021

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Lee Steacy, IRL, G, 1.80, 77, 18-01-93, Dublin, Shelbourne
2, Shane Elworthy, IRL, D, 1.75, 65, 06-08-97, Dublin, Drogheda U
3, Paddy Kirk, IRL, D, 1.78, 62, 02-06-98, Dublin, Bohemians
4, Aaron Robinson, IRL, M, -, -, 28-04-97, -, Bluebell U
5, Michael McDonnell, IRL, D, -, -, 23-03-92, -, Newbridge T
6, Dean Zambra, IRL, M, 1.77, 73, 30-07-88, Dublin, Bray W
7, Dylan Grimes, IRL, M, -, -, 10-03-98, -, Sheriff YC
8, Rob Manley, IRL, F, 1.87, 65, 24-08-97, Dublin, Cabinteely
9, Aaron Dobbs, IRL, F, 1.80, 80, 06-01-99, Enniscorthy, Shelbourne
10, Dean Williams, IRL, F, 1.73, 58, 09-02-00, Dublin, Shamrock R
12, Aaron O'Driscoll, IRL, M, 1.88, 80, 04-04-99, Dublin, Mansfield T
14, Darragh Nugent, IRL, M, 1.83, 72, 01-03-01, Dublin, Shamrock R
15, Aaron McCabe, IRL, F, -, -, 23-02-01, Cavan, None
16, Aodh Dervin, IRL, M, 1.79, 71, 21-07-99, Longford, None
17, Matthew O'Brien, IRL, M, 1.76, 71, 24-01-03, Louth, None
19, Karl Chambers, IRL, F, 1.79, 70, 07-06-96, Dublin, Sacred Heart
20, Dean Byrne, IRL, M, -, -, 18-01-96, -, Hardwicke
21, Aaron McNally, IRL, D, -, -, 31-08-00, -, Dundalk
22, Joe Manley, IRL, D, 1.94, 82, 26-06-99, Dublin, UCD
23, Ben Lynch, IRL, D, -, -, 09-11-01, -, None
24, Callum Warfield, IRL, F, -, -, 20-03-01, -, None
25, Conor Davis, IRL, F, 1.65, 68, 03-06-98, Dublin, Cork C
26, Thomas McLaughlin, IRL, M, -, -, -, -, Athlone T
30, Michael Kelly, IRL, G, 1.96, 80, 13-07-96, Dublin, Cabinteely

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
14, Aaron Bolger, IRL, M, 1.70, 65, 02-02-00, Dublin, Cardiff C
10, Sam Verdon, IRL, F, 1.80, 71, 03-09-95, Dublin, Bray W
32, Joe Gorman, IRL, D, 1.83, 74, 01-09-94, Dublin, Galway U
18, Luke Dennison, USA, G, 1.91, 84, 21-08-96, San Francisco, Galway U (On Loan)
11, Callum Thompson, IRL, M, 1.77, 66, 20-04-01, Dublin, Bray W (On Loan)
