=  Internazionale - Italian Serie A 1998/99

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Gianluca Pagliuca, G, 6'02", 13 10, 18-12-66, Bologna, Sampdoria
2, Guiseppe Bergomi, D, 6'00", 12 13, 22-12-63, Milan, None
3, Francesco Colonnese, D, 5'10", 12 00, 10-08-71, Potenza, Roma
4, Javier Zanetti, D, 5'10", 11 11, 10-08-73, Buenos Aires, Banfield
5, Fabio Galante, D, 6'01", 12 08, 20-11-73, Montecatini Terme, Genoa
6, Youri Djorkaeff, M, 5'10", 11 07, 09-03-68, Lyon, Paris St-Germain
7, Salvatore Fresi, D, 6'00", 11 05, 16-01-73, La Maddalena, Salernitana
8, Aron Winter, M, 5'10", 10 12, 01-03-67, Paramaribo, Lazio
9, Ronaldo, F, 6'00", 12 13, 22-09-76, Rio de Janeiro, Barcelona
10, Roberto Baggio, F, 5'09", 11 07, 18-02-67, Caldogno, Bologna
11, Nicola Ventola, F, 6'01", 12 08, 24-05-78, Grumo Appula, Bari
13, Zé Elias, M, 5'10'', 10 12, 25-09-76, São Paolo, Bayer Leverkusen
14, Diego Simeone, M, 5'10'', 12 00, 28-04-70, Capital Federal, Atlético Madrid
15, Benoît Cauet, M, 5'08", 10 12, 02-05-69, Chatellerault, Paris St-Germain
16, Taribo West, D, 6'03", 12 08, 26-03-74, Port Harcourt, Auxerre
17, Francesco Moriero, M, 5'09", 10 12, 31-03-69, Lecce, Roma
18, Iván Zamorano, F, 5'10", 11 05, 18-01-67, Santiago, Real Madrid
19, Paulo Sousa, M, 5'10", 12 00, 30-08-70, Viseu, Borussia Dortmund
20, Gilberto, M, 5'11", 12 04, 28-02-77, Rio de Janeiro, Cruzeiro
21, Andrea Pirlo, M, 5'10", 10 10, 19-05-79, Brescia, Brescia
22, Sebastien Frey, G, 6'02", 13 05, 18-03-80, Thonon les Bain, Cannes
23, Dario Simic, D, 5'11", 12 00, 12-11-75, Zagreb, Dinamo Zagreb
24, Mikaël Silvestre, D, 6'00", 13 01, 09-08-77, Chambray-Les-Tours, Rennes
25, Mauro Milanese, D, 6'01", 13 08, 17-09-71, Trieste, Parma

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
12, Andrea Mazzantini, G, 6'00", 12 01, 11-07-68, La Spezia, Perugia
20, Álvaro Recoba, F, 5'10", 12 06, 13-03-76, Montevideo, Venezia (On Loan)
