=  Brescia - Italian Serie A 2003/04

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Luca Castellazzi, G, 6'03", 13 05, 19-07-75, Gorgonzola, Catania
2, Marius Stankevicius, D, 6'03", 13 01, 15-07-81, Vilnius, Ekranas Panevezys
3, Dario Dainelli, D, 6'00", 11 11, 06-09-79, Pontedera, Verona
4, Fabio Petruzzi, D, 5'09", 11 07, 24-10-70, Rome, Roma
5, Gilberto Martinez, D, 5'09", 11 05, 01-10-79, Golfito, Saprissa
6, Stefano Mauri, M, 6'00", 11 09, 08-01-80, Monza, Modena
7, Matteo Brighi, M, 5'10", 12 04, 14-02-81, Rimini, Parma
8, Matuzalem, M, 5'07", 10 01, 10-06-80, Natal, Parma
9, Filippo Maniero, F, 6'01", 13 05, 11-09-72, Padova, Palermo
10, Roberto Baggio, F, 5'09", 11 07, 18-02-67, Caldogno, Internazionale
11, Simone Del Nero, F, 6'00", 12 01, 04-08-81, Ortonovo, Empoli
14, Rodriguez Alejandro Correa, M, 6'00", 11 07, 26-10-79, Montevideo, Martina
15, Marco Zambelli, D, 5'11", 12 01, 22-08-85, Gavardo, None
16, Victor Hugo Mareco, D, 6'02", 12 01, 26-02-84, Asuncion, Olimpia [PAR]
17, Roberto Guana, M, 5'10", 11 05, 21-01-81, Brescia, Cagliari
19, Markus Schopp, M, 6'02", 12 13, 22-02-74, Graz, Sturm Graz
20, Paolo Castellini, D, 5'10", 11 05, 25-03-79, Brescia, Torino
21, Giuseppe Colucci, M, 5'09", 11 03, 24-08-80, Foggia, Modena
22, Federico Agliardi, G, 6'03", 12 08, 11-02-83, Brescia, None
23, Simone Dallamano, D, 5'11", 10 10, 25-11-83, Brescia, None
24, Mattia Turetta, F, , , 26-02-84, Brescia, None
25, Ciryl Gona, M, 5'08", 11 00, 25-09-84, Lagos, Udinese
26, Jonathan Bachini, M, 5'09", 10 10, 05-06-75, Livorno, Parma
27, Francesco Marfia, M, , , 10-06-85, Iseo, None
28, Giordano Paganotto, D, 5'11", 12 08, 29-05-85, Brescia, None
29, Andrea Caracciolo, F, 6'04", 11 11, 18-09-81, Milan, Perugia
30, Marco Pisano, D, 5'09", 11 11, 13-08-81, Rome, None
31, Diego Pedrocca, M, , , 26-01-84, Brescia, None
32, Luigi Di Biagio, M, 5'09", 11 09, 03-06-71, Rome, Internazionale
33, Emliano Viviano, G, 6'05", 13 12, 01-12-85, Fiesole, Fiorentina
34, Raul Alberto Gonzalez, F, 5'07", 10 03, 09-06-76, Venado Tuerto, Cosenza
35, Andrea Alberti, F, 6'01", 11 11, 15-01-85, Desenzano, None

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
20, Giuseppe Colucci, M, 5'09", 11 03, 24-08-80, Foggia, Re-Registered (21)
13, Abderrazzak Jadid, M, 5'09", 10 10, 01-06-83, Beni Amir, 
21, Mario Salgado, F, 6'01", 12 04, 03-06-81, Talcahuano, Verona
22, Tiziano Ramon, G, 6'02", 11 09, 24-09-71, San Biagio di Collalta, 
18, Antonio Filippini, M, 5'07", 10 01, 03-07-73, Brescia, Palermo
12, Sebastián Saja, G, 6'02", 13 03, 05-06-79, La Plata, San Lorenzo
