=  Avellino - Italian Serie B 2003/04

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Domenico Cecere, G, 6'01", 13 05, 14-12-72, Caserta, Pescara
2, Gaetano Vastola, D, 6'00", 11 07, 10-05-78, Pompei, Maceratese
3, Vincenzo Moretti, D, 5'11", 12 00, 19-11-76, Caserta, Martina
4, Valerio di Cesare, D, 6'02'', 11 13, 23-05-83, Rome, Chelsea
5, Fabio Ferraresi, M, 5'11", 11 03, 24-05-79, Fano, Cesena
6, Simone Paolo Puleo, D, 5'10", 11 03, 02-11-79, Milan, Foggia
7, Marco Capparella, M, 5'07", 10 03, 24-03-75, Rome, Varese
8, Daniele Cinelli, M, 5'08", 10 08, 05-10-75, Isola Liri, L'Aquila
9, Vitalyi Kutuzov, F, 6'00", 13 01, 20-03-80, Pinsk, Milan
10, Ivan Tisci, M, 5'09", 11 00, 22-03-75, Genova, Pescara
11, Tonino Sorrentino, M, 5'11", 11 11, 12-03-85, Avellino, Parma
12, Luca Anania, G, 6'02", 12 00, 21-06-80, Milan, Inter
13, Francesco Millesi, F, 5'11", 11 00, 24-07-80, Catania, Igea Virtus
14, Matteo Contini, D, 6'00", 12 00, 16-04-80, Gemonio, MIlan
15, Vincenzo Fusco, M, 5'08", 10 03, 11-01-80, Salerno, Battipagliese
16, Gerardo Alfano, D, 5'09", 10 12, 16-09-82, Castellamare di Stabia, Gladiator
17, Alessio D'Andrea, D, 5'10", 10 10, 09-09-81, Rome, Viterbese
18, Stefano Bagalini, M, 5'07", 10 06, 18-03-81, Porto Sant'Elpidio, Teramo
19, Tiziano Carnevali, D, 6'01", 12 08, 22-02-78, Rome, Nocerina
20, Massimo Manca, F, 5'08", 10 10, 18-04-77, Monteroni di Lecce, Teramo
21, Antonio Palo, D, 5'08", 10 12, 26-02-79, Potenza, Nocerina
23, Giovanni Stroppa, M, 6'00", 12 08, 24-01-68, Mulazzano, Genoa
24, Gennaro Sardo, D, 5'11", 11 07, 03-05-79, Pozzuoli, Salernitana
25, Antonio Nocerino, M, 5'10", 12 00, 09-04-85, Naples, None
26, Claudio Fiorentino, D, , , 27-01-86, , None
27, Rocco Placentino, F, 5'09", 11 07, 25-02-82, Hamilton, Montreal Impact
28, Luca Pini, F, , , 26-09-84, Naples, Ancona
29, Ciro Sirignano, D, 5'11", 12 00, 27-01-85, Pomigliano D'Arco, None
30, Saverio Loffredo, G, , , , , None
31, Giuseppe Rustico, F, , , 14-06-85, , None
32, Vincenzo Scarpato, F, , , 12-05-85, , None

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
21, Gennaro Sardo, D, 5'11", 11 07, 03-05-79, Pozzuoli, Re-registered
21, Domenico Maietta, D, 5'11", 12 01, 03-08-82, Cariati, Juventus
11, Marco Vianello, F, 5'10", 11 00, 30-08-83, Turin, Milan
22, Raffaele Biancolino, F, 6'02", 13 08, 14-08-77, Naples, Venezia
26, Michele Zullo, G, , , 25-05-85, Fivizzano, 
4, Michele De Simone, M, 5'11", 12 00, 09-02-77, Naples, 
20, Giuseppe Morfù, F, 5'09", 10 12, 18-11-77, Rossano Scalo, Chieti
27, Ferdinando Campione, D, , , 01-04-84, , 
