=  Rimini - Italian Serie B 2005/06

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Maurizio Pugliesi, G, 6'02", 12 06, 21-12-76, Capannoli, Pescara
2, Alessandro Mastronicola, D, 6'00", 11 03, 29-06-74, Pontecorvo, Sangiovannese
3, Paolo Bravo, D, 5'10", 11 09, 12-02-74, Brescia, Cesena
4, Luca D'Angelo, D, 6'02", 13 08, 26-07-71, Pescara, Giulianova
5, Gianluca Di Giulio, M, 5'10", 11 00, 17-02-72, Brindisi, Sporting Benevento
6, Sandro Porchia, M, 5'11", 11 07, 14-06-77, Olpe, Crotone
8, Renzo Tasso, M, 5'08", 11 03, 24-02-73, Gubbio, Padova
10, Adrian Ricchiuti, M, 5'06", 10 06, 30-06-78, Lanús, Arezzo
12, Filippo Sanchi, G, , , , , 
14, Emiliano Dei, G, 6'01", 12 04, 13-01-71, Rome, Varese
16, Emiliano Milone, D, 6'00", 11 11, 13-06-76, Arcola, Catanzaro
17, Enea Righetti, M, 6'01", 11 00, 08-10-86, Rimini, None
18, Alex Ambrosini, F, 5'11", 11 07, 04-10-86, Fano, None
20, Francesco Valiani, M, 5'08", 10 10, 29-10-80, Pistoia, Pistoiese
21, Maurizio Peccarisi, D, 6'04", 14 02, 17-02-78, Bordighera, Triestina
22, Lorenzo Di Loreto, M, 5'11", 11 00, 05-10-78, Lanciano, Sassuolo
23, Simone Motta, F, 6'00", 11 07, 26-08-77, Udine, Bari
25, Andrea Rabito, F, 5'10", 11 05, 11-05-80, Vicenza, Milan
27, Thomas Manfredini, D, 5'11", 11 05, 27-05-80, Ferrara, Udinese
30, Fabrizio Caracciolo, M, 5'11", 12 08, 09-03-74, Lecce, Ascoli
33, Rodrigo Digao, D, 6'04", 14 09, 14-08-85, Brasília, Milan
46, Stefano Di Fiordo, D, 6'00", 12 04, 05-02-80, Civitavecchia, Sora
77, Dario Baccin, D, 6'00", 11 00, 27-08-76, Verona, Ascoli
87, Emmanuel Cascione, M, 5'11", 11 00, 22-09-83, Catanzaro, Pistoiese
99, Davide Moscardelli, M, 5'11", 12 01, 03-02-80, Mons, Triestina

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
11, Emilio Benito Docente, F, 5'10", 11 00, 11-12-83, Comiso, Avellino (On Loan)
9, Sergio Floccari, F, 5'10", 11 09, 12-11-81, Vibo Valentia, Messina
, Emilio Benito Docente, F, 5'10", 11 00, 11-12-83, Comiso, Sambenedettese (On Loan)
7, Ivano Trotta, M, 5'10", 11 05, 12-10-77, Rome, Napoli
