=  Pisa - Italian Serie B 2007/08

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Davide Morello, G, 5'10", 11 00, 22-06-78, Palermo, Ancona
2, Gaël Genevier, M, 5'09", 11 03, 26-06-82, Saint-Martin-d'Hères, Sangiovennese
3, Alessandro Zoppetti, D, 5'11", 11 11, 28-03-79, Casalpusterlengo, Pescara
4, Lorenzo Biagini, D, , , , , None
5, Diego Gabriel Raimondi, D, 6'01", 12 06, 27-09-77, Clavaria, Gallipoli
6, Trevor Trevisan, D, 6'01", 12 06, 21-12-83, Cassino, Vicenza
7, Emanuele D'Anna, M, 5'10", 11 09, 23-05-82, Baiano, Arezzo
8, Daniele Buzzegoli, M, 5'10", 11 05, 07-05-83, Florence, Empoli
9, José Ignacio Castillo, F, 6'00", 12 11, 04-11-75, Capital Federal, Frosinone
10, Nicola Ciotola, F, 5'09", 10 10, 28-03-84, Benevento, Giugliano
11, Alessio Cerci, F, 5'11", 12 04, 23-07-87, Rome, Roma
13, Vitali Kutuzov, F, 6'00", 13 01, 20-03-80, Pinsk, Parma
14, Stefano Vezzosi, M, , , 26-10-88, , None
15, Stefano Lorenzi, D, 6'04", 12 13, 18-01-77, Calcinate, Treviso
16, Luciano Zavagno, D, 6'00", 12 13, 06-08-77, Rosario, Ionikos
17, Mario Titone, F, 5'08", 10 10, 14-10-88, Erice, Sansovino
18, Corrado Colombo, F, 6'02", 12 04, 03-08-79, Vimercate, Spezia
19, Denilson Gabionetta, F, 5'10", 10 03, 05-10-85, Sousas, SEV-Hortolândia
20, Edoardo Braiati, M, 5'10", 10 10, 25-03-80, Ferrara, Novara
21, Daniele Padelli, G, 6'03", 12 13, 29-10-85, Lecco, Sampdoria
22, Eros Pisano, D, 6'01", 13 01, 31-03-87, , Varese
23, Lorenzo Spanu, F, , , , , None
26, Simone Caciagli, M, 5'11", 10 10, 05-09-86, Pontedera, None
27, Juliano, M, 5'10", 11 00, 26-08-81, São José do Rio Preto, Lecce
29, Andrea Nieri, M, , , , , None
32, Federico Viviani, D, 6'00", 12 06, 19-10-81, Pisa, Lanciano
34, Adriano Sartorio Mezavilla, M, 6'01", 12 04, 14-01-83, Maringà, Cesena
41, Péter Rajczi, F, 6'00", 12 01, 03-04-81, Lengyeltóti, Újpest
64, Patrice Feussi, M, 5'08", 11 07, 03-10-86, Yaoundé, Perugia
77, Carlo Luisi, M, 5'10", 11 00, 20-03-77, Pescara, Modena
87, Alessio Battini, G, 6'00", 11 03, 24-08-87, Pisa, None
90, Tommaso Cosi, F, , , , , None

== Past Players

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, New Club
32, Christian Tiboni, F, 6'02", 12 04, 06-04-88, Bergamo, Udinese
55, Daniele Chiarini, D, 6'02", 10 10, 11-04-79, Arezzi, Lucchese
30, Giovanni Passiglia, M, 5'10", 12 01, 28-08-81, Castelvetrano, Vicenza
82, Alessandro Carrozza, M, 5'09", 11 07, 01-02-82, Gallipoli, Taranto (On Loan)
