=  Crotone - Italian Serie B 2009/10

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Simone Farelli, ITA, G, 1.86, 82, 19-02-83, Rome, Lanciano
3, Archimede Morleo, ITA, D, 1.83, 78, 26-06-83, Mesagne, Udinese
4, Antonio Galardo, ITA, M, 1.73, 72, 18-09-76, Crotone, Rossanese
5, Federico Viviani, ITA, D, 1.82, 79, 19-10-81, Pisa, Taranto
6, Nicola Beati, ITA, M, 1.81, 76, 13-02-83, Perugia, Arezzo
7, Antonio Zito, ITA, M, 1.84, 75, 06-06-86, Naples, Siena
8, Andrea Mazzarani, ITA, M, 1.74, 66, 06-11-89, Rome, Udinese
9, Denilson Gabionetta, BRA, F, 1.78, 65, 05-10-85, Sousas, SEV-Hortolândia
11, Nicola Petrilli, ITA, M, 1.75, 71, 13-04-87, Turin, Juventus
13, Elia Legati, ITA, D, 1.88, 84, 03-01-86, Fidenza, Milan
14, Paolino Mercurio, ITA, D, , , , , None
15, Andrea Briglia, ITA, M, 1.72, 65, 02-06-86, Turin, Sambenedettese
20, Aniello Cutolo, ITA, F, 1.78, 70, 20-10-83, Benevento, Perugia
22, Francesco Galeoto, ITA, D, 1.76, 70, 17-03-72, Palermo, Messina
23, Daniele Degano, ITA, F, 1.80, 74, 21-09-82, Crema, Pergocrema
25, Ciro Ginestra, ITA, F, 1.80, 72, 03-08-79, Pozzuoli, Gallipoli
27, Andrea Russotto, ITA, F, 1.74, 70, 25-05-88, Rome, Bellinzona
28, Paolo Castelli, ITA, G, 1.92, 87, 03-01-80, Cittiglio, Modena
29, Raffaele De Martino, ITA, M, 1.81, 76, 08-04-86, Nocera Inferiore, Avellino
30, Fabrizio Grillo, ITA, D, 1.77, 72, 02-02-87, Rome, Arezzo
31, Digão, BRA, D, 1.94, 93, 14-08-85, Brasília, Milan
36, Giuseppe Abruzzese, ITA, D, 1.80, 77, 17-05-81, Andria, Grosseto
85, Antonino Bonvissuto, ITA, F, 1.85, 75, 08-08-85, Palermo, Bari
88, Riccardo Perpetuini, ITA, M, 1.77, 70, 04-08-90, Latina, Lazio
90, Ettore Mendicino, ITA, F, 1.84, 78, 11-02-90, Milan, Lazio
91, Danilo Grano, ITA, F, 1.84, 80, 25-08-91, Catanzaro, None
99, Emanuele Concetti, ITA, G, 1.93, 85, 03-06-78, Rome, Monza

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
9, Luca Paponetti, ITA, F, 1.92, 88, 05-11-84, Avezzano, Pro Patria (On Loan)
77, Olivier N'Siabamfumu, FRA, M, 1.84, 77, 17-03-86, Meaux, Carrarese
5, Gennaro Scognamiglio, ITA, D, 1.83, 73, 24-04-87, Gragnano, Cosenza (On Loan)
81, Valerio Quondamatteo, ITA, D, 1.78, 71, 24-07-81, San Benedetto del Tronto, Ternana
17, Andrea Mei, ITA, D, 1.84, 78, 18-05-89, Urbino, Internazionale
21, Ayub Daud, SOM, F, 1.72, 62, 24-02-90, Mogadishu, Juventus
16, Luca Di Matteo, ITA, M, 1.81, 70, 25-02-88, Pescara, Palermo
10, Matteo Coresi, ITA, M, 1.78, 69, 05-08-80, Foligno, Foligno
12, Massimo Fornoni, ITA, G, , , 03-02-89, Rome, Siracusa (On Loan)
33, Marco Pedotti, ITA, D, 1.85, 80, 20-04-77, Cuggiano, Lecco
