=  Torino - Italian Serie B 2011/12

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Davide Morello, ITA, G, 1.78, 70, 22-06-78, Palermo, Pisa
3, Danilo D'Ambrosio, ITA, D, 1.85, 75, 09-09-88, Naples, Juve Stabia
4, Migjen Basha, SUI, M, 1.80, 72, 05-01-87, Lausanne, Atalanta
5, Valerio Di Cesare, ITA, D, 1.87, 75, 23-05-83, Rome, Vicenza
6, Angelo Ogbonna Obinze, ITA, D, 1.89, 86, 23-05-88, Cassino, None
7, Mirco Antenucci, ITA, F, 1.78, 65, 08-09-84, Termoli, Catania
9, Rolando Bianchi, ITA, F, 1.88, 78, 15-02-83, Albano Sant'Alessandro, Manchester C
10, Alessandro Sgrigna, ITA, F, 1.79, 71, 24-04-80, Rome, Vicenza
11, Manuel Iori, ITA, M, 1.82, 70, 12-03-82, Varese, Livorno
16, Luciano Zavagno, ARG, D, 1.82, 82, 06-08-77, Rosario, Ancona
18, Marco Chiosa, ITA, D, 1.78, 70, 20-06-93, Ciriè, None
19, Alen Stevanović, SRB, M, 1.86, 75, 07-01-91, Zürich, Internazionale
20, Giuseppe Vives, ITA, M, 1.78, 70, 14-07-80, Sant'Anastasia, Lecce
22, Stefano Guberti, ITA, M, 1.80, 68, 06-11-84, Cagliari, Roma
23, Sergiu Suciu, ROU, M, 1.84, 75, 08-05-90, Satu Mare, None
25, Kamil Glik, POL, D, 1.90, 80, 03-02-88, Jastrzębie Zdrój, Palermo
27, Giuseppe De Feudis, ITA, M, 1.74, 66, 10-07-83, Bollate, Cesena
28, Alessandro Parisi, ITA, D, 1.84, 70, 15-04-77, Palermo, Bari
30, Salvatore Masiello, ITA, M, 1.78, 70, 31-01-82, Naples, Bari
33, Juan Surraco, URU, M, 1.76, 77, 14-08-87, Montevideo, Udinese
34, Ferdinando Coppola, ITA, G, 1.88, 86, 10-06-78, Naples, Milan
36, Matteo Darmian, ITA, D, 1.82, 70, 02-12-89, Legnano, Palermo
50, Francesco Pratali, ITA, D, 1.80, 79, 17-01-79, Pontedera, Empoli
69, Riccardo Meggiorini, ITA, F, 1.83, 75, 04-09-85, Isola Della Scala, Genoa
77, Christian Pasquato, ITA, M, 1.72, 70, 20-07-89, Padua, Juventus
89, Lys Gomis, SEN, G, 1.86, 78, 06-10-89, Cuneo, None
90, Nnamdi Oduamadi, NGA, F, 1.75, 65, 17-10-90, Lagos, Milan
92, Simone Verdi, ITA, F, 1.72, 62, 12-07-92, Broni, Milan
93, Abou Diop, SEN, F, 1.85, 76, 06-10-93, Dakar, None
94, Emanuele Gatto, ITA, M, 1.77, , 11-08-94, Turin, None
99, Francesco Benussi, ITA, G, 1.88, 80, 15-10-81, Mestre, Palermo

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
8, Biagio Pagano, ITA, M, 1.80, 71, 29-01-83, Naples, Nocerina (On Loan)
21, Osariemen Ebagua, NGA, F, 1.85, 80, 06-06-86, Benin City, Catania (On Loan)
