=  Roma - Italian Serie A 2013/14

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Bogdan Lobonţ, ROU, G, 1.84, 78, 18-01-78, Hunedoara, Dinamo Bucureşti
2, Rafael Tolói, BRA, D, 1.85, 75, 10-10-90, Gloria d'Oeste, São Paulo
3, Dodô, BRA, D, 1.77, 69, 06-02-92, Campinas, Corinthians
5, Leandro Castán, BRA, D, 1.85, 78, 05-11-86, Jaú, Corinthians
6, Kevin Strootman, NED, M, 1.86, 78, 13-02-90, Ridderkerk, PSV Eindhoven
8, Adem Ljajić, SRB, M, 1.81, 74, 29-09-91, Novi Pazar, Fiorentina
10, Francesco Totti, ITA, F, 1.80, 80, 27-09-76, Rome, None
11, Rodrigo Taddei, BRA, M, 1.77, 70, 06-03-80, São Paulo, Siena
13, Maicon, BRA, D, 1.84, 77, 26-07-81, Novo Hamburgo, Manchester C
15, Miralem Pjanić, BIH, M, 1.80, 68, 02-04-90, Tuzla, Lyon
16, Daniele De Rossi, ITA, M, 1.84, 83, 24-07-83, Rome, None
17, Mehdi Benatia, MAR, D, 1.90, 88, 17-04-87, Courcouronnes, Udinese
20, Michel Bastos, BRA, M, 1.78, 74, 02-08-83, Pelotas, Al-Ain
22, Mattia Destro, ITA, F, 1.81, 73, 20-03-91, Ascoli Piceno, Genoa
24, Alessandro Florenzi, ITA, M, 1.73, 66, 11-03-91, Rome, None
26, Morgan De Sanctis, ITA, G, 1.90, 82, 26-03-77, Guardiagrele, Napoli
27, Kouassi Gervais "Gervinho" Yao, CIV, F, 1.79, 68, 27-05-87, Anyama, Arsenal
28, Łukasz Skorupski, POL, G, 1.87, 84, 05-05-91, Zabrze, Górnik Zabrze
33, Tin Jedvaj, CRO, D, 1.88, 78, 28-11-95, Zagreb, Dinamo Zagreb
35, Vasilis Torosidis, GRE, D, 1.85, 80, 10-06-85, Xanthi, Olympiakos
42, Federico Balzaretti, ITA, D, 1.80, 74, 06-12-81, Turin, Palermo
44, Radja Nainggolan, BEL, M, 1.75, 65, 04-05-88, Antwerp, Cagliari
46, Alessio Romagnoli, ITA, D, 1.85, 75, 12-01-95, Anzio, None
50, Matteo Adamo, ITA, M, 1.75, , 29-07-96, Frosinone, None
51, Francesco Proietti Gaffi, ITA, G, 1.87, 82, 21-05-94, Rome, None
77, Jacopo Ferri, ITA, M, 1.71, 63, 05-04-95, Rome, None
91, Deian Boldor, ROU, D, 1.89, 79, 03-02-95, Timişoara, Banatul Timişoara
92, Mihai Bălaşa, ROU, D, 1.75, 69, 14-01-95, Târgoviște, Viitorul Constanța
93, Lorenzo Pellegrini, ITA, M, 1.86, 82, 19-06-96, Rome, None
94, Federico Ricci, ITA, M, 1.75, 68, 27-05-94, Rome, None
95, Luca Mazzitelli, ITA, M, 1.84, 76, 15-11-95, Rome, None
96, Francesco Di Mariano, ITA, F, 1.77, 70, 20-04-96, Palermo, Lecce
97, Simone Battaglia, ITA, M, 1.70, 60, 18-03-95, Rome, None
98, Vlad Marin, ROU, D, 1.79, 72, 15-05-95, Râmnicu Vâlcea, Juventus
99, Valmir Berisha, SWE, F, 1.82, 78, 06-06-96, Deçan, Halmstads BK

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
8, Erik Lamela, ARG, F, 1.83, 73, 25-03-92, Florida, Tottenham H
20, Gadji Celi Junior Tallo, CIV, M, 1.87, 77, 21-12-92, Ouragahio, Ajaccio (On Loan)
12, Júlio Sérgio, BRA, G, 1.87, 82, 08-11-78, Ribeirão Preto, Comercial-SP
4, Michael Bradley, USA, M, 1.85, 75, 31-07-87, Princeton, Toronto FC
29, Nicolás Burdisso, ARG, D, 1.82, 81, 12-04-81, Altos de Chipión, Genoa
18, Gianluca Caprari, ITA, F, 1.76, 72, 30-07-93, Rome, Pescara
91, Alessandro Crescenzi, ITA, D, 1.78, 71, 25-09-91, Marino, Novara (On Loan)
88, Marco Borriello, ITA, F, 1.85, 76, 18-06-82, Naples, West Ham U (On Loan)
7, Marquinho, BRA, M, 1.82, 79, 03-07-86, Passo Fundo, Verona (On Loan)
