=  Livorno - Italian Serie B 2015/16

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Guido Pulidori, ITA, G, 1.83, 74, 23-03-97, Livorno, None
2, Emerson, BRA, D, 1.87, 70, 16-08-80, Joinville, Reggina
3, Paolo Regoli, ITA, M, 1.81, 72, 24-04-91, Pontedera, Latina
4, Andrea Schiavone, ITA, M, 1.80, 76, 23-02-93, Turin, Juventus
5, Lorenzo Gonnelli, ITA, D, 1.83, 72, 28-06-93, Livorno, Pontedera
6, Andrea Gasbarro, ITA, D, 1.82, 72, 07-01-95, Pisa, Pontedera
7, Marco Moscati, ITA, M, 1.79, 73, 01-11-92, Livorno, None
8, Andrea Luci, ITA, M, 1.72, 68, 30-03-85, Piombino, Ascoli
9, Gianmario Comi, ITA, F, 1.86, 80, 05-03-92, Turin, Milan
10, Daniele Vantaggiato, ITA, F, 1.77, 84, 10-10-84, Brindisi, Padova
11, Alessandro Lambrughi, ITA, D, 1.83, 77, 19-05-87, Cernusco sul Naviglio, Mantova
12, Carlo Pinsoglio, ITA, G, 1.88, 77, 16-03-90, Moncalieri, Juventus
13, Manuele Macera, ITA, D, 1.86, 79, 16-04-97, Livorno, None
14, Armando Vajushi, ALB, M, 1.80, 72, 03-12-91, Shkodër, Chievo Verona
15, Martino Borghese, ITA, D, 1.98, 88, 05-06-87, Basel, Como
16, Jaime Báez, URU, F, 1.81, 73, 24-04-95, Montevideo, Fiorentina
17, Federico Ceccherini, ITA, D, 1.86, 72, 11-05-92, Livorno, None
18, Andrea Cragno, ITA, F, , , 08-11-97, Fiesole, None
19, Francesco Fedato, ITA, F, 1.84, 72, 15-10-92, Mirano, Sampdoria
20, Mattia Valoti, ITA, M, 1.85, 74, 06-09-93, Vicenza, Verona
21, Enej Jelenič, SVN, M, 1.81, 74, 11-12-92, Koper, Padova
22, Matteo Ricci, ITA, G, 1.95, 80, 04-02-94, Lucca, Empoli
23, Luca Antonini, ITA, D, 1.82, 79, 04-08-82, Milan, Ascoli
24, Gabriele Morelli, ITA, D, 1.77, 71, 12-12-96, Livorno, None
26, Jami Rafati, ITA, M, 1.78, 67, 26-04-94, Florence, Genoa
27, Marco Biagianti, ITA, M, 1.80, 74, 19-04-84, Florence, Catania
28, Andrea Palazzi, ITA, M, 1.78, 73, 24-02-96, Milan, Internazionale
29, Alberto Testa, ITA, F, 1.75, , 05-04-98, Livorno, None
30, Mattia Aramu, ITA, F, 1.80, 70, 14-05-95, Ciriè, Torino
31, Samuele Buselli, ITA, D, , , 30-10-97, Cecina, None
32, Cristian Bunino, ITA, F, 1.87, 74, 27-08-96, Pinerolo, Juventus
33, Jherson Vergara, COL, D, 1.90, 83, 26-05-94, Florida, Milan
34, Gianmarco Moriconi, ITA, D, , , 13-01-98, Pietrasanta, None
35, Filippo Gemmi, ITA, M, 1.78, 70, 21-06-97, Pontedera, Fiorentina
36, Andrea Brizzi, ITA, M, , , 22-05-97, Pisa, None
39, Francesco Benassai, ITA, D, , , 19-05-98, Livorno, None
40, Edoardo Nigiotti, ITA, D, , , 03-08-97, Livorno, Viareggio
41, Tommaso Piantini, ITA, D, , , 01-04-97, Bagno a Ripoli, Siena
42, Thomas Romboli, ITA, G, 1.92, 80, 21-01-99, Pontedera, None
43, Andrea Bani, ITA, M, , , 19-03-98, Livorno, None
44, Riccardo Cazzola, ITA, M, 1.88, 84, 08-10-85, Verona, Atalanta
45, Andrés Schetino, URU, M, 1.83, 73, 26-05-94, Montevideo, Fiorentina

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
3, Riccardo Regno, ITA, D, 1.80, 72, 12-08-92, Bologna, Pro Patria
20, Mirko Bigazzi, ITA, M, 1.83, 72, 03-04-89, Cecina, Pro Patria
15, Andrea Molinelli, ITA, M, 1.80, 71, 06-05-93, Castel San Giovanni, Pergolettese
38, Alessio Auteri, ITA, M, , , 25-01-97, , 
16, Arturo Calabresi, ITA, D, 1.86, 75, 17-03-96, Rome, Roma
23, Maicon da Silva, BRA, M, 1.84, 72, 10-03-93, Cachoeira do Sul, Sport Recife (On Loan)
45, Tonći Kukoč, CRO, D, 1.89, 83, 25-09-90, Split, Como
37, Christian Pasquato, ITA, M, 1.72, 70, 20-07-89, Padua, Juventus
