=  Modena - Italian Serie B 2015/16

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Ivan Provedel, ITA, G, 1.92, 84, 17-03-94, Pordenone, Chievo Verona
2, Luca Calapai, ITA, D, 1.79, 76, 20-05-93, Messina, Catania
3, Ştefan Popescu, ROU, D, 1.80, 75, 05-05-93, Iaşi, Cagliari
4, Riccardo Nardini, ITA, M, 1.85, 78, 27-06-83, Pavullo nel Frignano, Empoli
5, Luca Belingheri, ITA, M, 1.83, 70, 06-04-83, Lovere, Livorno
6, Lino Marzorati, ITA, D, 1.81, 75, 12-10-86, Rho, Sassuolo
7, Luca Crecco, ITA, M, 1.83, 77, 06-09-95, Rome, Lazio
8, Wilfred Osuji, NGA, M, 1.65, 67, 05-08-90, Lagos, Padova
10, Andrea Mazzarani, ITA, M, 1.80, 74, 06-11-89, Rome, Udinese
11, Fabio Sakaj, ALB, M, 1.80, 75, 02-02-98, Alatri, None
12, Nicolò Manfredini, ITA, G, 1.90, 80, 20-05-88, Ferrara, Fiorentina
13, Simone Gozzi, ITA, D, 1.88, 78, 13-04-86, Reggio Emilia, Cagliari
14, Andrea Doninelli, ITA, M, 1.85, 77, 29-04-91, Cosenza, Benevento
15, Davide Bertoncini, ITA, D, 1.85, 69, 09-05-91, Fiorenzuola, Frosinone
17, Lorenzo Marchionni, ITA, M, 1.74, 78, 17-08-94, Grottazzolina, Chievo Verona
18, Simone Bentivoglio, ITA, M, 1.84, 75, 29-05-85, Pinerolo, Chievo Verona
19, Daniele Galloppa, ITA, M, 1.80, 74, 15-05-85, Rome, Parma
20, Simone Aldrovandi, ITA, D, 1.86, 77, 02-04-94, Carpi, Chievo Verona
21, Davide Luppi, ITA, M, 1.80, 71, 19-07-90, Trescore Balneario, Correggese
22, Davide Schiuma, ITA, G, , , 21-10-99, Matera, None
23, Leonardo Franco, ITA, M, 1.80, 72, 26-04-97, Hagen, Siena
24, Daniele Giorico, ITA, M, 1.78, 70, 01-01-92, Alghero, Cagliari
25, Gaston Camara, GUI, M, 1.76, 70, 31-03-96, Kamsar, Internazionale
26, Marco Costantino, ITA, G, 1.92, 79, 08-05-91, Cento, Juventus
28, Davide Zoboli, ITA, D, 1.90, 78, 08-10-81, Parma, Brescia
29, Filippo Minarini, ITA, D, 1.84, 80, 06-03-94, Modena, None
30, Emmanuel Besea, GHA, M, 1.80, 75, 15-04-97, Wenchi, None
31, Francesco Stanco, ITA, F, 1.91, 80, 26-02-87, Pavullo nel Frignano, None
32, Pablo Granoche, URU, F, 1.82, 82, 05-09-83, Montevideo, Chievo Verona
33, Matteo Rubin, ITA, D, 1.83, 75, 09-07-87, Bassano del Grappa, Siena
34, Simone Benedettini, SMR, G, , , 21-01-97, San Marino, San Marino

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
7, Luca Nizzetto, ITA, M, 1.70, 64, 08-03-86, Verona, Trapani
15, Thiago Rangel Cionek, POL, D, 1.84, 81, 21-04-86, Curitiba, Palermo
9, Ali Sowe, GAM, F, 1.86, 80, 14-06-94, Banjul, Chievo Verona
25, Tomáš Vestenický, SVK, F, 1.75, 75, 06-04-96, Topoľčany, Roma
27, Agustín Olivera, URU, M, 1.82, 78, 02-03-92, Montevideo, Catanzaro (On Loan)
16, Gianluca Zucchini, ITA, D, , , 01-03-95, Modena, Reggiana (On Loan)
