=  Cittadella - Italian Serie B 2023/2024

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Filippo Veneran, ITA, G, 1.84, 72, 18-03-05, Treviso, Giorgione
2, Alessandro Salvi, ITA, D, 1.81, 76, 05-06-88, Bergamo, Ascoli
4, Matteo Angeli, ITA, D, 1.85, 76, 30-12-02, Cuneo, Bologna
5, Valerio Mastrantonio, ITA, M, 1.80, 75, 22-06-99, Rome, Frosinone
6, Edoardo Sottini, ITA, D, 1.80, 70, 18-08-02, Brescia, Internazionale
7, Luca Pandolfi, ITA, F, 1.86, 75, 14-03-98, Naples, Cosenza
8, Francesco Amatucci, ITA, M, 1.82, 79, 15-06-01, Montevarchi, Montevarchi
9, Andrea Magrassi, ITA, F, 1.93, 85, 06-02-93, Dolo, Virtus Entella
10, Claudio Cassano, ITA, F, 1.65, 70, 22-07-03, Trani, Roma
11, Filippo Pittarello, ITA, F, 1.92, 88, 09-10-96, Padua, Cesena
12, Edoardo Scquizzato, ITA, G, -, -, 22-10-06, -, None
15, Domenico Frare, ITA, D, 1.87, 80, 10-05-96, Conegliano, Pontedera
16, Alessio Vita, ITA, M, 1.78, 67, 16-03-93, Rome, Feralpisalò
18, Andrea Tessiore, ITA, M, 1.77, 63, 01-10-99, Pietra Ligure, Triestina
20, Giuseppe Carriero, ITA, M, 1.77, 73, 04-09-97, Desio, Avellino
21, Nicholas Saggionetto, ITA, M, 1.86, 76, 05-12-02, Camposampiero, None
23, Simone Branca, ITA, M, 1.79, 70, 25-03-92, Busto Arsizio, Vejle
24, Lorenzo Carissoni, ITA, D, 1.77, 70, 07-02-97, San Giovanni Bianco, Latina
26, Nicola Pavan, ITA, M, 1.86, 80, 15-06-93, Thiene, Renate
27, Andrea Danzi, ITA, M, 1.75, 75, 25-02-99, San Martino Buon Albergo, Verona
28, Alessio Rizza, ITA, D, 1.73, 60, 07-03-03, Livorno, Empoli
29, Akim Djibril, ITA, M, -, -, 22-01-06, -, Internazionale
30, Stefano Negro, ITA, D, 1.92, 79, 28-06-95, Biella, Pordenone
32, Tommy Maistrello, ITA, F, 1.93, 80, 24-06-93, Correggio, Renate
33, Luca Piras, ITA, D, 1.77, -, 09-04-04, Mappano, Parma
36, Elhan Kastrati, ALB, G, 1.89, 82, 02-02-97, Has, Trapani
64, Andrea Cecchetto, ITA, D, 1.80, 80, 13-02-03, Vicenza, None
74, Ahmed Sanogo, ITA, F, 1.75, 67, 09-10-04, Milan, Vis Pesaro
77, Luca Maniero, ITA, G, 1.88, 80, 12-06-95, Padua, Palermo
92, Enrico Baldini, ITA, F, 1.80, 75, 13-11-96, Massa, Fano
98, Federico Giraudo, ITA, D, 1.77, 81, 11-08-98, Cuneo, Reggina

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
90, Raúl Asencio, ESP, F, 1.87, 78, 20-05-98, Villarreal, Potenza
3, Gianfilippo Felicioli, ITA, D, 1.80, 77, 30-09-97, San Severino Marche, Pergolettese
25, Alessandro Mattioli, ITA, D, 1.81, 80, 13-02-98, Reggio Emilia, Vis Pesaro
95, Carlos Embalo, GNB, F, 1.75, 74, 25-11-94, Bissau, Foggia
17, Emil Kornvig, DEN, M, 1.89, 75, 28-04-00, Søborg, Brann
