=  Urawa Red Diamonds - Japanese J1 League 2021

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Shusaku Nishikawa, JPN, G, 1.83, 79, 18-06-86, Usa, Sanfrecce Hiroshima
2, Hiroki Sakai, JPN, D, 1.83, 70, 12-04-90, Nagano, Marseille
3, Tomoya Ugajin, JPN, M, 1.71, 71, 23-03-88, Toda, None
4, Takuya Iwanami, JPN, D, 1.86, 72, 18-06-94, Kobe, Vissel Kobe
5, Tomoaki Makino, JPN, D, 1.82, 77, 11-05-87, Hiroshima, Köln
6, Ryosuke Yamanaka, JPN, M, 1.68, 58, 20-04-93, Kashiwa, Yokohama F Marinos
7, Kasper Junker, DEN, F, 1.86, 70, 05-03-94, Vinding, Bodø/Glimt
8, Daigo Nishi, JPN, M, 1.75, 64, 28-08-87, Sapporo, Vissel Kobe
11, Tatsuya Tanaka, JPN, M, 1.72, 69, 09-06-92, Fukuoka, Oita Trinita
12, Zion Suzuki, JPN, G, 1.90, 91, 21-08-02, Little Rock, None
15, Takahiro Akimoto, JPN, M, 1.70, 65, 31-01-98, Utsunomiya, Tochigi SC
16, Kosuke Kinoshita, JPN, F, 1.82, 77, 03-10-94, Tokyo, Stabæk
17, Atsuki Ito, JPN, M, 1.82, 78, 11-08-98, Saitama, Ryutsu Keizai Univ
18, Yoshio Koizumi, JPN, M, 1.72, 63, 05-10-96, Tokyo, FC Ryukyu
19, Daiki Kaneko, JPN, M, 1.76, 66, 28-08-98, Tokyo, Shonan Bellmare
20, Thomas Deng, AUS, D, 1.85, 75, 20-03-97, Nairobi, Melbourne Victory
21, Tomoaki Okubo, JPN, M, 1.70, 62, 23-07-98, Tokyo, Chuo Univ
22, Yuki Abe, JPN, M, 1.77, 77, 06-09-81, Ichikawa, Leicester C
24, Koya Yuruki, JPN, M, 1.82, 63, 03-07-95, Kanagawa, Montedio Yamagata
25, Hitoshi Shiota, JPN, G, 1.85, 80, 28-05-81, Hitachi, Tochigi SC
28, Alexander Scholz, DEN, D, 1.89, 87, 24-10-92, Copenhagen, FC Midtjylland
29, Kai Shibato, JPN, M, 1.80, 70, 24-11-95, Kanagawa, Meiji Univ
30, Shinzo Koroki, JPN, M, 1.75, 67, 31-07-86, Miyazaki, Kashima Antlers
33, Ataru Esaka, JPN, M, 1.75, 67, 31-05-92, Sanda, Kashiwa Reysol
35, Yuta Miyamoto, JPN, M, 1.70, 70, 15-12-99, Tokyo, Ryutsu Keizai Univ
36, Ryuya Fukushima, JPN, D, 1.75, 73, 08-06-02, Miyazaki, None
40, Yuichi Hirano, JPN, M, 1.74, 68, 11-03-96, Tokyo, Mito HollyHock
41, Takahiro Sekine, JPN, M, 1.67, 61, 19-04-95, Tsurugashima, Ingolstadt
42, Kota Kudo, JPN, D, 1.80, 72, 13-08-03, Wakayama, None
43, Atsushi Kawasaki, JPN, G, 1.93, 77, 05-07-03, Toyama, None
44, Yota Higuchi, JPN, G, 1.86, 84, 28-08-03, Miyazaki, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
10, Yosuke Kashiwagi, JPN, M, 1.75, 68, 15-12-87, Kobe, FC Gifu
34, Yudai Fujiwara, JPN, D, 1.80, 74, 29-06-02, Hirosaki, SC Sagamihara (On Loan)
13, Ryotaro Ito, JPN, M, 1.74, 62, 06-02-98, Osaka, Mito HollyHock (On Loan)
9, Yuki Muto, JPN, F, 1.70, 68, 07-11-88, Zama, Kashiwa Reysol
14, Kenyu Sugimoto, JPN, F, 1.81, 67, 18-11-92, Osaka, Yokohama F Marinos (On Loan)
37, Hidetoshi Takeda, JPN, M, 1.78, 68, 15-09-01, Sendai, FC Ryukyu (On Loan)
