=  Monterrey - Mexican Primera División 2007 Apertura

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Jonathan Orozco, G, 5'09", 09 06, 12-05-86, Monterrey, None
2, Severo Meza, M, 5'08", 11 07, 09-07-86, Naranjos, None
3, Pierre Ibarra, D, 5'09", 11 07, 18-01-83, Los Mochis, Cobras de Ciudad Juárez
4, Diego Ramírez, D, 5'05", 10 03, 10-04-81, Mexico City, Atlante
5, Egidio Arévalo, M, 5'07", 10 10, 01-01-82, Paysandú, Peñarol
6, Arturo Alvarado, F, 5'11", 12 00, 17-08-87, Monterrey, None
7, Manuel Pérez, M, 5'07", 10 12, 22-01-80, Guadalajara, Atlas
8, Luis Ernesto Pérez, F, 5'05", 10 06, 12-01-81, Mexico City, Necaxa
9, Carlos Ochoa, F, 5'09", 11 05, 05-03-78, Apatzingan, Jaguares de Chiapas
10, Alex Fernandes, F, 5'09", 11 09, 01-04-73, Recife, Morelia
13, Alejandro Arredondo, G, 5'09", 10 06, 28-08-85, Mexico City, Atlante
14, Joel Arturo Morales, D, 5'08", 09 11, 23-02-84, San Nicolás de los Garza, None
15, Irving Rubirosa, M, 5'09", 10 10, 03-05-79, Mexico City, Jaguares de Chiapas
16, Christian Martínez, G, 5'11", 12 01, 16-10-79, Mexico City, San Luis
17, Jesús Eduardo Zavala, F, 6'02", 13 05, 21-07-87, Monterrey, None
18, Walter Erviti, M, 5'07", 10 01, 12-01-80, Mar de la Plata, San Lorenzo
19, Ignacio Ithurralde, M, 6'01", 13 01, 30-05-83, Montevideo, Defensor Sporting
20, Paulo Serafín, D, 5'10", 09 06, 20-04-75, Mexico City, Atlante
21, Diego Ordaz, D, 5'10", 10 10, 07-05-84, Guadalajara, None
22, William Paredes, M, 5'04", 09 11, 09-09-85, Mérida, None
23, Felipe Baloy, D, 6'01", 13 03, 24-02-81, Panama City, Atlético Paranaense
24, Rodolfo Basilio del Real, F, 5'05", 09 06, 05-04-87, Monterrey, None
25, Tomás Banda, F, 5'06", 10 10, 11-01-84, León, Puebla
26, Humberto Suazo, F, 5'07", 12 06, 10-05-81, San Antonio, Colo Colo
27, Carlos Alberto Vela, F, 5'09", 11 11, 14-03-84, Monterrey, None
28, Jesús Arellano, M, 5'09", 10 12, 08-05-73, Monterrey, Guadalajara
30, Ernesto Serrato, D, 5'08", 11 05, 01-02-85, Monterrey, None
