=  Atlante - Mexican Liga MX 2014 Clausura

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Yosgart Gutiérrez, MEX, G, 1.87, 75, 15-03-81, Ruiz Cortines, Cruz Azul
2, Omar Domínguez, MEX, D, 1.76, 72, 13-04-88, San Andrés Tuxtla, Atlético San Luis
3, Miguel Morales, MEX, M, 1.88, 84, 03-05-85, Monterrey, Monterrey
4, Luis Gerardo Venegas, MEX, D, 1.85, 81, 21-06-84, San Luis Potosí, Alacranes de Durango
5, José Guerrero, MEX, M, 1.74, 69, 18-11-87, Guadalajara, None
7, Jorge Hernández, MEX, M, 1.76, 74, 22-02-88, Guadalajara, Veracruz
8, Martín Galmarini, ARG, M, 1.80, 77, 28-02-82, San Isidro, Tigre
9, Michael Arroyo, ECU, M, 1.67, 63, 23-04-87, Guayaquil, San Luis
10, Walter Erviti, ARG, M, 1.72, 68, 12-01-80, Mar de la Plata, Boca Juniors
11, Alejandro Vela, MEX, F, 1.72, 69, 28-03-84, Cancún, Cruz Azul
13, Ricardo Jiménez, MEX, D, 1.86, 77, 17-11-84, Guadalajara, San Luis
14, Alonso Zamora, MEX, D, 1.81, 70, 07-11-91, Guadalajara, UANL Tigres
15, Ángel Sepulveda, MEX, F, 1.79, 73, 15-02-91, Apatzingán, Morelia
17, Narciso Mina, ECU, F, 1.79, 80, 25-11-82, San Lorenzo [ECU], América
18, Jonathan Bornstein, USA, D, 1.75, 66, 07-11-84, Torrance, UANL Tigres
19, Salustiano Candía, PAR, D, 1.83, 82, 08-07-83, Asunción, Olimpia [PAR]
20, Luis Guillermo Madrigal, MEX, F, 1.88, 76, 10-02-93, Ahome, Monterrey
21, Gerardo Ruíz, MEX, G, 1.82, 72, 05-09-85, Mexico City, None
22, Carlos Calvo, MEX, D, 1.91, 85, 02-12-92, Mérida [MEX], None
23, Manuel Viniegra, MEX, M, 1.80, 60, 26-04-88, Monterrey, UANL Tigres
24, Sergio Pérez, MEX, D, 1.82, 67, 13-10-86, Puebla, Querétaro
25, Gael Acosta, MEX, M, 1.65, 64, 26-03-92, Ahome, Monterrey
26, Éder Patiño, MEX, G, 1.77, 81, 11-03-84, Mexico City, León
27, Francisco Uscanga, MEX, F, 1.68, 65, 25-03-91, Coatzacoalcos, None
28, Alberto García, MEX, F, 1.71, 60, 26-09-93, Guadalajara, Querétaro
29, Arturo Muñóz, MEX, M, 1.74, 70, 31-12-84, Mexico City, Colima
30, Saúl Sandoval, MEX, F, 1.76, 71, 11-09-90, Veracruz, Guadalajara
31, Mauricio Romero, ARG, D, 1.84, 84, 13-01-83, La Pampa, Colón (Santa Fe)
33, Luis Rodríguez, MEX, F, 1.83, 72, 14-09-91, Saltillo, None
