=  Pachuca - Mexican Liga MX 2015/16 Apertura

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Francisco Flores, MEX, D, 1.77, 67, 17-01-94, Mexico City, Guadalajara
3, Aquivaldo Mosquera, COL, D, 1.84, 76, 22-06-81, Apartadó, América
4, Hugo Rodríguez, MEX, D, 1.83, 77, 08-06-90, Mazatlán, UANL Tigres
5, Víctor Guzmán, MEX, M, 1.73, 72, 03-02-95, Guadalajara, Guadalajara
6, Omar Esparza, MEX, D, 1.74, 64, 21-05-88, Guadalajara, Guadalajara
7, Rodolfo Pizarro, MEX, M, 1.77, 65, 15-02-94, Tampico, None
8, Hirving Lozano, MEX, M, 1.77, 70, 30-07-95, Mexico City, None
9, Ariel Nahuelpán, ARG, F, 1.90, 87, 15-10-87, Capital Federal, UNAM
10, Jonathan Urretavizcaya, URU, F, 1.74, 62, 19-03-90, Montevideo, Paços de Ferreira
11, Rubén Botta, ARG, M, 1.76, 66, 31-01-90, San Juan, Internazionale
12, Heriberto Olvera, MEX, D, 1.75, 69, 13-05-90, Pachuca, None
13, Alfonso Blanco, MEX, G, 1.82, 80, 31-07-87, Tamiahua, None
15, Érick Gutiérrez, MEX, M, 1.77, 69, 15-06-95, Ahome, None
16, Jorge Hernández, MEX, D, 1.70, 72, 10-06-89, San Luis Potosí, Jaguares de Chiapas
18, Joaquín Martínez, MEX, M, 1.75, 65, 23-02-87, Mexico City, Necaxa
21, Óscar Pérez, MEX, G, 1.71, 72, 01-02-73, Mexico City, Cruz Azul
22, Guillermo Martínez, MEX, F, 1.90, 83, 15-03-95, Celaya, None
23, Cristian Penilla, ECU, F, 1.73, 79, 02-05-91, Esmeraldas, Barcelona [ECU]
24, Miguel Herrera, MEX, D, 1.82, 76, 03-04-89, Uruapan, None
25, Manuel Pérez, MEX, M, 1.71, 63, 18-03-93, Mexico City, UNAM
26, Fernando Madrigal, MEX, M, 1.76, 67, 12-11-91, León, Oaxaca
29, Franco Jara, ARG, F, 1.82, 77, 15-07-88, Villa María, Olympiakos
31, Sebastián Sosa, URU, G, 1.80, 77, 19-08-86, Montevideo, Vélez Sarsfield
33, José Villegas, MEX, D, 1.77, 70, 06-04-96, Aguascalientes, None
34, Osvaldo Rodríguez, MEX, D, 1.74, 73, 10-09-96, San Luis Potosí, None
282, Héctor López, MEX, D, 1.69, 62, 17-12-95, Guadalajara, None
284, Alexis Peña, MEX, D, 1.87, 71, 13-01-96, Culiacán, None
296, Marco Rojas, MEX, M, 1.70, 72, 01-02-95, Mexico City, None
339, Juan José Calero, COL, F, 1.84, 79, 05-11-98, Ginebra, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
19, Darío Cvitanich, ARG, F, 1.75, 67, 16-05-84, Baradero, 
