=  Puebla - Mexican Liga MX 2022/2023 Clausura

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Antony Silva, PAR, G, 1.90, 90, 27-02-84, Asunción, Nacional [PAR]
2, Gustavo Ferrareis, BRA, M, 1.77, 69, 02-01-96, Bauru, Internacional
3, Juan Pablo Gómez, MEX, G, 1.84, 68, 26-04-01, Guadalajara, None
4, George Corral, MEX, D, 1.74, 64, 18-07-90, Ecatepec, Querétaro
5, Diego de Buen, MEX, M, 1.73, 61, 03-07-91, Mexico City, Santos Laguna
6, Pablo González, MEX, M, 1.70, 75, 07-07-92, Puebla, Toluca
7, Daniel Álvarez, MEX, M, 1.76, 60, 22-07-94, Guadalajara, Necaxa
8, Fernando Arce, USA, M, 1.84, 78, 27-11-96, Chula Vista, Juárez
10, Federico Mancuello, ARG, M, 1.77, 75, 26-03-89, Reconquista, Vélez Sarsfield
11, Kevin Ramírez, URU, M, 1.79, 71, 01-04-94, Rivera, Querétaro
12, Facundo Waller, URU, M, 1.73, 65, 09-04-97, Colonia del Sacramento, Atlético San Luis
14, Pablo Parra, CHI, M, 1.76, 70, 23-07-94, Chillán, Curicó Unido
15, Guillermo Martínez, BRA, F, 1.91, 93, 15-03-95, Celaya, Cancún
16, Alberto Herrera, MEX, M, 1.73, 80, 23-02-01, Ciudad Madero, None
17, Emanuel Gularte, URU, D, 1.89, 83, 30-09-97, Montevideo, Montevideo Wanderers
18, Luis García, MEX, M, 1.77, 71, 25-03-93, Mazatlán, Necaxa
19, Ángel Robles, MEX, F, 1.75, 69, 18-11-01, Puerto Vallarta, None
21, Gastón Silva, URU, D, 1.83, 74, 05-03-94, Salto, Cartagena
22, Carlos Baltazar, MEX, M, 1.67, 62, 24-02-97, Guadalajara, Universidad de Guadalajara
23, Daniel Aguilar, MEX, M, 1.75, 76, 06-02-98, Guadalajara, Atlas
24, Raúl Castillo, MEX, M, 1.74, 71, 30-05-01, Victoria, Pachuca
25, Omar Fernández, COL, F, 1.66, 60, 11-02-93, Zipaquirá, León
26, Ivo Vázquez, MEX, D, 1.74, 69, 16-10-00, Toluca, Morelia
27, Lucas Maia, BRA, D, 1.92, 80, 23-02-93, Porto Alegre, Cancún
28, Martín Barragán, MEX, F, 1.79, 75, 14-07-91, Tizapán El Alto, Atlético Morelia
29, Emiliano García, MEX, F, 1.79, 75, 25-11-03, Álvaro Obregón, None
30, Jesús Rodríguez, MEX, G, 1.86, 80, 21-05-93, Tuxtla Gutiérrez, None
