=  Nigeria - African Cup of Nations 2004

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Vincent Enyeama, G, 5'11", 12 08, 29-08-82, , Enyimba Aba
2, Joseph Yobo, D, 6'02", 11 00, 06-09-80, Kano, Everton
3, Celestine Babayaro, D, 5'09", 10 12, 29-08-78, Kaduna, Chelsea
4, Nwankwo Kanu, F, 6'06", 12 08, 01-08-76, Owerri, Arsenal
5, Isaac Okoronkwo, D, 6'00", 11 09, 01-05-78, Abia, Wolverhampton W
6, Joseph Enakarhire, D, 6'00", 12 00, 06-11-82, Warri, Standard Liège
7, John Utaka, F, 5'10", 12 12, 08-01-82, Legugnu, Lens
8, Yakubu Aiyegbeni, F, 6'00", 13 01, 22-11-82, Benin City, Portsmouth
9, Victor Agali, F, 6'04", 13 03, 29-12-78, Lagos, Schalke
10, Jay Jay Okocha, M, 5'08", 11 00, 14-08-73, Enugu, Bolton W
11, Garba Lawal, M, 6'03", 12 13, 22-05-74, Kaduna, Levski Sofia
12, Greg Etafia, G, 5'11", 11 03, 30-09-82, Auchi, Moroka Swallows
13, Pius Ikedia, M, 5'05", 09 06, 11-07-80, Lagos, RBC Roosendaal
14, Seyi Olofinjana, M, 6'02", 13 05, 30-06-80, Lagos, Brann
15, George Abbey, D, 5'09", 10 08, 20-10-78, Port Harcourt, Macclesfield T
16, Ifeanyi Udeze, D, 6'00", 11 11, 21-07-80, Lagos, PAOK
17, Julius Aghahowa, F, 5'10", 11 07, 12-02-82, Benin City, Shakhtar Donetsk
18, Romanus Orjienta, D, 5'09", 11 11, 12-08-81, , Lillestrøm
19, Ikpe Ekong, M, 5'10", 12 00, 05-10-78, Lagos, Shenyang Ginde
20, Peter Odemwingie, F, 5'11", 11 11, 15-07-81, Moscow, La Louvière
21, Ifeanyi Ekwueme, M, 5'10", 11 11, 22-11-79, M'Baise, Wisła Płock
22, Austin Ejide, G, 6'02", 15 12, 08-04-84, Onitsha, Étoile du Sahel
