=  Zambia - African Cup of Nations 2006

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Kennedy Mweene, G, , , 11-12-84, Lusaka, Free State Stars
2, Misheck Lungu, D, , , 02-05-80, , Pápa
3, Clive Hachilensa, D, , , 17-09-79, Mazabuka, Free State Stars
4, Mark Sinyangwe, D, , , 29-12-75, , Green Buffaloes
5, Joseph Musonda, D, , , 30-05-77, , Free State Stars
6, Clifford Mulenga, F, 5'06", 10 01, 05-08-87, , Örgryte
7, Billy Mwanza, M, , , 01-01-83, Lusaka, Golden Arrows
8, Adubelo Phiri, F, , , 16-01-83, , Red Arrows
9, Rainford Kalaba, F, , , 14-08-86, , Nice
10, Linos Chalwe, F, , , 17-09-80, , ESS 16
11, Andrew Sinkala, D, 5'09'', 10 12, 18-06-79, Chingola, Köln
12, Ian Bakala, M, , , 01-11-80, , YD Agosto
13, Isaac Chansa, M, 5'07", 11 00, 23-03-84, Kitwe, Orlando Pirates
14, James Chamanga, F, 5'07", 11 11, 02-02-80, Luanshya, Umtata Bush Bucks
15, Harry Milanzi, F, , , 13-03-78, , YD Agosto
16, George Kolala, G, , , 03-03-76, , Zanaco
17, Mumamba Numba, M, , , 21-03-78, , Zanaco
18, Lameck Njobvu, F, , , 27-04-87, , Lusaka Dynamos
19, Félix Katongo, M, 5'07", 09 13, 18-04-84, Mufulira, Jomo Cosmos
20, Elijah Tana, D, , , 28-02-75, , Atletico Petrolde
21, Chris Katongo, F, 5'10", 10 12, 31-08-82, Mufulira, Jomo Cosmos
22, Collins Mbesuma, F, 6'00", 12 05, 03-02-84, Luanshya, Portsmouth
23, Kennedy Nketani, D, , , 25-11-84, , Zanaco
