=  Libya - African Cup of Nations 2012

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Samir Aboud, LBY, G, 1.80, 77, 29-09-72, Tripoli, Al-Ittihad [LBY]
2, Rabee'a Al-Laafi, LBY, D, , , 01-12-90, , Club Africain
3, Abdulaziz Belreesh, LBY, D, 1.79, 75, 12-07-90, Tripoli, Al-Ittihad [LBY]
4, Ahmed Al-Alwaani, LBY, D, , , 19-08-81, , Al-Madina
5, Younes Al-Shibaani, LBY, D, 1.80, 70, 27-06-81, MIsratah, Olympique Khouribga
6, Mohammad Esnaani, LBY, M, 1.71, 70, 13-05-84, Tripoli, US Monastir
7, Osama Chtiba, LBY, D, , , 27-09-88, Tripoli, Nejmeh SC
8, Abdallah Al-Cherif, LBY, M, , , 30-03-85, , Al-Madina
9, Mohamed Ghanudi, LBY, F, , , 22-11-92, , Al-Ahly [LBY]
10, Ahmed Saad, LBY, F, 1.83, 73, 07-08-79, Benghazi, Club Africain
11, Muhammad Al-Maghrabi, LBY, D, , , 19-04-85, , Olympique Khouribga
12, Jum'aa Q'tait, LBY, G, , , 01-12-78, , Al-Ahly Tripoli
13, Mohamed Elmonir, LBY, M, 1.77, 75, 08-04-92, Tripoli, Jagodina
14, Ali Salama, LBY, D, , , 18-09-87, , Olympique Béja
15, Marwan Al-Mabrouk, LBY, M, , , 15-12-89, , Al-Ittihad [LBY]
16, Abubakr Al-Abaidy, LBY, M, , , 27-10-81, , Al-Nasr Benghazi
17, Walid El-Khatroushi, LBY, M, 1.75, 70, 06-11-85, Tripoli, Al-Ittihad [LBY]
18, Faicel Al-Badri, LBY, M, , , 04-06-90, , Al-Ahly Benghazi
19, Ahmed Zuway, LBY, F, 1.88, 78, 28-12-82, Benghazi, CA Bizertin
20, Ihaab Al-Boussefi, LBY, F, , , 23-06-85, Tripoli, Al-Ittihad [LBY]
21, Moataz Ben Amer, LBY, M, , , 02-02-81, , Al-Ahly Benghazi
22, Muhammad Neshnoush, LBY, G, , , 15-06-88, , Al-Ittihad [LBY]
23, Djamal Mahamat, LBY, M, 1.88, 78, 26-04-83, Tripoli, Sporting Braga
