=  Algeria - African Cup of Nations 2015

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Azzedine Doukha, ALG, G, 1.88, 78, 05-08-86, Chettia, JS Kabylie
2, Madjid Bougherra, ALG, D, 1.88, 89, 07-10-82, Longvic, Al-Fujairah
3, Faouzi Ghoulam, ALG, D, 1.86, 78, 01-02-91, Saint-Priest-en-Jarez, Napoli
4, Liassine Cadamuro, ALG, D, 1.86, 76, 05-03-88, Toulouse, Osasuna (On Loan)
5, Rafik Halliche, ALG, D, 1.87, 77, 02-09-86, Algiers, Qatar SC
6, Djamel Mesbah, ALG, D, 1.79, 72, 09-10-84, Zighoud Youcef, Sampdoria
7, Riyad Mahrez, ALG, M, 1.78, 62, 21-02-91, Sarcelles, Leicester C
8, Mehdi Lacen, ALG, M, 1.76, 74, 15-03-84, Versailles, Getafe
9, Ishak Belfodil, ALG, F, 1.91, 86, 12-01-92, Mostaganem, Parma
10, Sofiane Feghouli, ALG, M, 1.78, 71, 26-12-89, Levallois-Perret, Valencia
11, Yacine Brahimi, ALG, M, 1.75, 65, 08-02-90, Paris, FC Porto
12, Carl Medjani, ALG, D, 1.84, 84, 15-05-85, Lyon, Trabzonspor
13, Islam Slimani, ALG, F, 1.86, 75, 18-06-88, Algiers, Sporting CP
14, Nabil Bentaleb, ALG, M, 1.87, 68, 24-11-94, Lille, Tottenham H
15, El Arbi Soudani, ALG, F, 1.82, 75, 25-11-87, Chlef, Dinamo Zagreb
16, Mohamed Zemmamouche, ALG, G, 1.86, 82, 02-01-85, Mila, USM Alger
17, Foued Kadir, ALG, M, 1.79, 68, 05-12-83, Martigues, Betis (On Loan)
18, Abdelmoumene Djabou, ALG, M, 1.65, 70, 31-01-87, Sétif, Club Africain
19, Saphir Taïder, ALG, M, 1.80, 73, 29-02-92, Castres, Sassuolo (On Loan)
20, Aïssa Mandi, ALG, D, 1.86, 78, 22-10-91, Châlons-en-Champagne, Reims
21, Ahmed Kashi, ALG, M, 1.78, 76, 18-11-88, Aubervilliers, Metz
22, Mehdi Zeffane, ALG, D, 1.74, 63, 19-05-92, Sainte-Foy-lès-Lyon, Lyon
23, Raïs M'Bolhi, ALG, G, 1.88, 80, 25-04-86, Paris, Philadelphia Union
