=  Zimbabwe - Africa Cup of Nations 2017

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Bernard Donovan, ZIM, G, , , 12-07-95, , How Mine
2, Costa Nhamoinesu, ZIM, D, 1.87, 74, 06-01-86, Harare, Sparta Prague
3, Danny Phiri, ZIM, M, 1.74, 65, 22-04-89, Bulawayo, Golden Arrows
4, Hardlife Zvirekwi, ZIM, D, 1.75, 65, 05-05-87, Fort Charter, CAPS U
5, Elisha Muroiwa, ZIM, D, , , 28-01-89, , Dynamos
6, Onismor Bhasera, ZIM, D, 1.73, 76, 07-12-86, Mutare, SuperSport U
7, Matthew Rusike, ZIM, F, 1.81, 77, 28-06-90, Harare, Helsingborgs IF
8, Evans Rusike, ZIM, F, 1.70, 73, 13-06-90, Chitungwiza, Maritzburg U
9, Nyasha Mushekwi, ZIM, F, 1.88, 80, 21-08-87, Harare, Dalian Yifang
10, Kudakwashe Mahachi, ZIM, M, 1.77, 70, 29-09-93, Bulawayo, Golden Arrows
11, Tendai Ndoro, ZIM, F, 1.72, 67, 15-05-85, Luveve, Orlando Pirates
12, Bruce Kangwa, ZIM, D, 1.65, 65, 24-07-88, Bulawayo, Azam
13, Cuthbert Malajila, ZIM, F, 1.79, 65, 03-10-85, Eiffel Flats, Bidvest Wits
14, Willard Katsande, ZIM, M, 1.78, 78, 15-01-86, Mutoko, Kaizer Chiefs
15, Teenage Hadebe, ZIM, D, 1.80, 74, 17-09-95, Bulawayo, Kaizer Chiefs
16, Tatenda Mkuruva, ZIM, G, , , 04-01-96, Harare, Dynamos
17, Knowledge Musona, ZIM, F, 1.74, 68, 21-06-90, Harare, Oostende
18, Marvelous Nakamba, ZIM, M, 1.77, 71, 19-01-94, Hwange, Vitesse
19, Lawrence Mhlanga, ZIM, D, 1.97, , 20-12-93, , Chicken Inn
20, Khama Billiat, ZIM, M, 1.70, 60, 19-08-90, Harare, Mamelodi Sundowns
21, Tinotenda Kadewere, ZIM, F, 1.83, 72, 05-01-96, Harare, Djurgårdens IF
22, Oscar Machapa, ZIM, D, 1.86, 82, 01-06-87, Harare, AS Vita Club
23, Takabva Mawaya, ZIM, G, , , 02-03-93, , Hwange Colliery
