=  Australia - Confederations Cup 2017

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Matthew Ryan, AUS, G, 1.81, 73, 08-04-92, Plumpton, KRC Genk (On Loan)
2, Miloš Degenek, AUS, D, 1.87, 80, 28-04-94, Knin, Yokohama F Marinos
3, Alex Gersbach, AUS, D, 1.83, 72, 08-05-97, Sydney, Rosenborg
4, Tim Cahill, AUS, M, 1.78, 69, 06-12-79, Sydney, Melbourne C
5, Mark Milligan, AUS, M, 1.80, 78, 04-08-85, Auburn, Baniyas
6, Dylan McGowan, AUS, D, 1.88, 80, 06-08-91, Adelaide, Adelaide U
7, Matthew Leckie, AUS, F, 1.80, 79, 04-02-91, Melbourne, Ingolstadt
8, Bailey Wright, AUS, D, 1.75, 85, 28-07-92, Melbourne, Bristol C
9, Tomi Jurić, AUS, F, 1.89, 83, 22-07-91, Sydney, Luzern
10, Robbie Kruse, AUS, F, 1.79, 72, 05-10-88, Brisbane, Liaoning Whowin
11, Jamie Maclaren, AUS, F, 1.77, 73, 29-07-93, Melbourne, Brisbane Roar
12, Mitchell Langerak, AUS, G, 1.91, 77, 22-08-88, Emerald, Stuttgart
13, Aaron Mooy, AUS, M, 1.73, 68, 15-09-90, Sydney, Huddersfield T (On Loan)
14, James Troisi, AUS, F, 1.78, 77, 03-07-88, Adelaide, Melbourne Victory
15, James Jeggo, AUS, M, 1.79, 66, 12-02-92, Vienna, Sturm Graz
16, Aziz Behich, AUS, M, 1.72, 66, 16-12-90, Moonee Ponds, Bursaspor
17, Ajdin Hrustić, AUS, M, 1.83, 74, 05-07-96, Melbourne, FC Groningen
18, Danny Vukovic, AUS, G, 1.87, 96, 27-03-85, Sydney, Sydney FC
19, Ryan McGowan, AUS, D, 1.88, 75, 15-08-89, Adelaide, Guizhou Hengfeng Zhicheng
20, Trent Sainsbury, AUS, D, 1.85, 61, 05-01-92, Perth [AUS], Internazionale (On Loan)
21, Massimo Luongo, AUS, M, 1.74, 75, 25-09-92, Sydney, QPR
22, Jackson Irvine, AUS, M, 1.79, 70, 07-03-93, Melbourne, Burton Alb
23, Tomas Rogić, AUS, M, 1.89, 85, 16-12-92, Griffith, Celtic
