=  Argentina - Copa América 2015

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Sergio Romero, ARG, G, 1.92, 87, 22-02-87, Bernardo de Irigoyen, Sampdoria
2, Ezequiel Garay, ARG, D, 1.89, 83, 10-10-86, Rosario, Zenit St Petersburg
3, Facundo Roncaglia, ARG, D, 1.79, 76, 10-02-87, Chajarí, Genoa (On Loan)
4, Pablo Zabaleta, ARG, D, 1.74, 74, 16-01-85, Capital Federal, Manchester C
5, Fernando Gago, ARG, M, 1.78, 69, 10-04-86, Ciudadela, Boca Juniors
6, Lucas Biglia, ARG, M, 1.78, 74, 30-01-86, Mercedes, Lazio
7, Ángel Di Maria, ARG, M, 1.78, 75, 14-02-88, Rosario, Manchester U
8, Roberto Pereyra, ARG, M, 1.82, 80, 07-01-91, San Miguel de Tucumán, Juventus (On Loan)
9, Gonzalo Higuaín, ARG, F, 1.84, 82, 10-12-87, Brest, Napoli
10, Lionel Messi, ARG, M, 1.69, 67, 24-06-87, Santa Fe, Barcelona
11, Sergio Agüero, ARG, F, 1.72, 74, 02-06-88, Capital Federal, Manchester C
12, Nahuel Guzmán, ARG, G, 1.91, 86, 10-02-86, Rosario, UANL Tigres
13, Milton Casco, ARG, D, 1.77, 75, 11-04-88, María Grande, Newell's Old Boys
14, Javier Mascherano, ARG, M, 1.78, 77, 08-06-84, Rosario, Barcelona
15, Martin Demichelis, ARG, D, 1.84, 78, 20-12-80, Justiniano Posse, Manchester C
16, Marcos Rojo, ARG, D, 1.87, 82, 20-03-90, La Plata, Manchester U
17, Nicolás Otamendi, ARG, D, 1.78, 75, 12-02-88, Pacheco, Valencia
18, Carlos Tévez, ARG, F, 1.73, 75, 05-02-84, Ciudadela, Juventus
19, Éver Banega, ARG, M, 1.74, 69, 29-06-88, Rosario, Sevilla
20, Erik Lamela, ARG, M, 1.83, 73, 25-03-92, Florida, Tottenham H
21, Javier Pastore, ARG, M, 1.87, 75, 20-06-89, Córdoba, Paris St-Germain
22, Ezequiel Lavezzi, ARG, F, 1.73, 75, 03-05-85, Villa Gobernador Gálvez, Paris St-Germain
23, Mariano Andújar, ARG, G, 1.94, 87, 30-07-83, Capital Federal, Napoli
