=  Portugal - European Championships 1984

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Manuel Bento, G, 5'08", 11 03, 25-06-48, Golegã, Benfica
2, Tamagnini Nené, F, , , 20-11-49, Leça da Palmeira, Benfica
3, Rui Jordão, F, , , 09-08-52, Benguela, Sporting CP
4, Fernando Chalana, M, , , 10-02-59, Barreiro, Benfica
5, Carlos Vermelhinho, M, , , 09-03-59, , Porto
6, Fernando Gomes, F, 5'09", 11 07, 22-11-56, Porto, Porto
7, Carlos Manuel, M, 5'09", 11 07, 15-01-58, Moita, Benfica
8, António Veloso, D, , , 31-01-57, São João da Madeira, Benfica
9, João Domingos Pinto, D, 5'08", 11 05, 21-11-61, Vila Nova de Gaia, Porto
10, António Lima Pereira, D, 6'02", 13 03, 01-02-52, , Porto
11, Eurico Gomes, D, , , 29-09-55, , Porto
12, Jorge Martins, G, , , 22-08-54, , Vitória Setubal
13, António Sousa, M, 5'09", 11 03, 28-04-57, , Porto
14, António Frasco, M, 5'06", 09 11, 16-01-55, , Porto
15, Jaime Pacheco, M, 5'07", 10 10, 22-07-58, Paredes, Porto
16, António Bastos Lopes, D, , , 19-12-53, , Benfica
17, Álvaro, D, 5'11", 11 07, 03-01-61, , Benfica
18, Eduardo Luís, D, , , 06-12-55, , Porto
19, Diamantino Miranda, M, 5'08", 10 03, 03-08-59, Moita, Benfica
20, Vítor Damas, G, 5'11", 11 03, 08-10-47, Lisbon, Portimonense
