=  Germany - European Championships 1996

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Andreas Köpke, G, 6'00", 12 13, 12-03-62, Kiel, Eintracht Frankfurt
2, Stefan Reuter, D, 5'11", 11 11, 16-10-66, Dinkelsbühl, Borussia Dortmund
3, Marco Bode, M, 6'02", 13 05, 23-07-69, Osterode am Harz, Werder Bremen
4, Steffen Freund, M, 5'11", 12 04, 19-01-70, Brandenburg, Borussia Dortmund
5, Thomas Helmer, D, 6'01", 12 00, 21-04-65, Herford, Bayern Munich
6, Matthias Sammer, M, 5'11", 11 11, 05-09-67, Dresden, Borussia Dortmund
7, Andreas Möller, M, 5'11", 12 00, 02-09-67, Frankfurt, Borussia Dortmund
8, Mehmet Scholl, M, 5'10", 11 00, 16-10-70, Karlsruhe, Bayern Munich
9, Fredi Bobić, F, 6'02", 12 13, 30-10-71, Maribor, Stuttgart
10, Thomas Häßler, M, 5'05", 10 08, 30-05-66, Berlin, Karlsruhe
11, Stefan Kuntz, F, 5'11", 13 03, 30-10-62, Neunkirchen, Beşiktaş
12, Oliver Kahn, G, 6'02", 14 02, 15-06-69, Karlsruhe, Bayern Munich
13, Mario Basler, M, 6'01", 11 07, 18-12-68, Neustadt / Weinstraße, Bayern Munich
14, Markus Babbel, D, 6'03", 12 11, 08-09-72, Munich, Bayern Munich
15, Jürgen Kohler, D, 6'01", 13 03, 06-10-65, Lambsheim, Borussia Dortmund
16, René Schneider, D, 6'02", 13 01, 01-02-73, Schwerin, Hansa Rostock
17, Christian Ziege, M, 6'01", 11 07, 01-02-72, Berlin, Bayern Munich
18, Jürgen Klinsmann, F, 5'11", 12 00, 30-07-64, Göppingen, Bayern Munich
19, Thomas Strunz, M, 6'00", 11 11, 25-04-68, Duisburg, Bayern Munich
20, Oliver Bierhoff, F, 6'03", 13 01, 01-05-68, Karlsruhe, Udinese
21, Dieter Eilts, M, 6'01", 11 09, 13-12-64, Upgant-Schott, Werder Bremen
22, Oliver Reck, G, 6'04", 14 13, 27-02-65, Frankfurt am Main, Werder Bremen
