=  Czech Republic - European Championships 2004

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Petr Čech, G, 6'05", 13 09, 20-05-82, Plzeň, Chelsea
2, Zdenek Grygera, D, 6'00", 12 06, 14-05-80, Prílepy u Holesova, Ajax
3, Pavel Mareš, D, 6'01", 12 01, 18-01-76, Prague, Zenit St Petersburg
4, Tomáš Galásek, D, 5'11", 12 01, 15-01-73, Frydek-Místek, Ajax
5, René Bolf, D, 6'02", 12 08, 25-02-74, Ostrava, Baník Ostrava
6, Marek Jankulovski, M, 6'00", 12 13, 09-05-77, Ostrava, Udinese
7, Vladimír šmicer, M, 5'10", 11 10, 24-05-73, Degin, Liverpool
8, Karel Poborský, M, 5'09", 11 05, 30-03-72, Jindinchuv-Hredec, Sparta Prague
9, Jan Koller, F, 6'07'', 15 10, 30-03-73, Lhota, Borussia Dortmund
10, Tomáš Rosický, M, 5'10'', 10 03, 04-10-80, Prague, Borussia Dortmund
11, Pavel Nedvěd, M, 5'10", 11 00, 30-08-72, Cheb, Juventus
12, Vratislav Lokvenc, F, 6'05'', 14 13, 27-09-73, Náchod, Kaiserslautern
13, Martin Jiránek, D, 6'00", 12 01, 25-07-79, Prague, Reggina
14, Stepan Vachousek, M, 6'00", 12 08, 26-07-79, Duchcov, Marseille
15, Milan Baroš, F, 6'00'', 13 02, 28-10-81, Valašské Meziříčí, Liverpool
16, Jaromír Blazek, G, 6'02", 13 12, 29-12-72, Brno, Sparta Prague
17, Tomáš Hübschmann, D, 5'11", 12 00, 04-09-81, Prague, Sparta Prague
18, Marek Heinz, F, 6'02", 12 00, 04-08-77, Olomouc, Banik Ostrava
19, Roman Týce, M, 5'10'', 11 00, 07-05-77, Roudnice nad Labem, 1860 Munich
20, Jaroslav Plašil, M, 5'11", 11 04, 05-01-82, Opocno, Monaco
21, Tomáš Ujfaluši, D, 6'01'', 12 00, 24-03-78, Rymarov, Hamburg
22, David Rozehnal, D, 6'04", 12 01, 05-07-80, Sternberk, Club Brugge
23, Antonín Kinský, G, 6'02", 12 13, 31-05-75, Prague, Saturn Ramenskoe
