=  Switzerland - European Championship 2016

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Yann Sommer, SUI, G, 1.83, 77, 17-12-88, Morges, B Mönchengladbach
2, Stephan Lichtsteiner, SUI, D, 1.81, 77, 16-01-84, Adligenswil, Juventus
3, François Moubandje, SUI, D, 1.82, 76, 21-06-90, Geneva, Toulouse
4, Nico Elvedi, SUI, D, 1.88, 74, 30-09-96, Zürich, B Mönchengladbach
5, Steve von Bergen, SUI, D, 1.81, 76, 10-06-83, Neuchâtel, Young Boys
6, Michael Lang, SUI, D, 1.85, 79, 08-02-91, Egnach, Basel
7, Breel Embolo, SUI, F, 1.84, 71, 14-02-97, Yaoundé, Basel
8, Fabian Frei, SUI, M, 1.81, 75, 08-01-89, Frauenfeld, Mainz
9, Haris Seferovic, SUI, F, 1.85, 83, 22-02-92, Sursee, Eintracht Frankfurt
10, Granit Xhaka, SUI, M, 1.83, 70, 27-09-92, Gnjilane, B Mönchengladbach
11, Valon Behrami, SUI, M, 1.85, 78, 19-04-85, Kosovska Mitrovica, Watford
12, Marwin Hitz, SUI, G, 1.92, 89, 18-09-87, St. Gallen, Augsburg
13, Ricardo Rodríguez, SUI, D, 1.80, 72, 25-08-92, Zürich, Wolfsburg
14, Denis Zakaria, SUI, M, 1.91, 76, 20-11-96, Kinshasa, Young Boys
15, Blerim Džemaili, SUI, M, 1.79, 73, 12-04-86, Tetovo, Genoa (On Loan)
16, Gelson Fernandes, SUI, M, 1.83, 70, 02-09-86, Praia, Rennes
17, Shani Tarashaj, SUI, F, 1.76, 76, 07-02-95, Tirana, Grasshoppers (On Loan)
18, Admir Mehmedi, SUI, F, 1.83, 77, 16-03-91, Gostivar, Bayer Leverkusen
19, Eren Derdiyok, SUI, F, 1.90, 83, 12-06-88, Basel, Kasımpaşa
20, Johan Djourou, SUI, D, 1.91, 83, 18-01-87, Abidjan, Hamburg
21, Roman Bürki, SUI, G, 1.85, 83, 14-11-90, Münsingen, Borussia Dortmund
22, Fabian Schär, SUI, D, 1.86, 85, 20-12-91, Wil, 1899 Hoffenheim
23, Xherdan Shaqiri, SUI, M, 1.68, 61, 10-10-91, Gnjilane, Stoke C
