=  Mexico - World Cup 1954

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Antonio Carbajal, G, 5'11", 11 09, 07-06-29, Mexico City, León
2, Narciso López, D, , , 18-08-28, , Oro de Jalisco
3, Jorge Romo, M, 5'09", 11 09, 20-04-24, , Marte
4, Saturnino Martinez, D, , , , , Atlante
5, Raúl Cárdenas, F, 6'00", 12 00, 30-10-28, , Zacatepec
6, Rafael Avalos, M, , , , , Atlante
7, Alfredo Torres, F, , , 31-05-31, , Atlas
8, José Naranjo, F, , , 19-03-26, , Atlas
9, José Lamadrid, F, 5'10", 11 07, , , Necaxa
10, Tomás Balcázar, F, 5'10", 11 07, 21-12-31, , Guadalajara
11, Raúl Arellano, F, , , 28-02-35, , Guadalajara
12, Salvador Mota, G, , , , , Atlante
13, Sergio Bravo, D, , , , , UANL Tigres
14, Juan Gómez, D, , , 26-06-24, , Atlas
15, Carlos Blanco, F, , , , , Necaxa
16, Pedro Nájera, M, 5'09", 11 07, 03-02-29, , América
17, Carlos Septién, F, , , 18-01-23, , Tampico
18, Carlos Carus, F, , , , , Toluca
19, Moise Jinich, F, , , , , Atlante
20, José Antonio Roca, D, , , 24-05-28, , Zacatepec
21, Mario Ochoa, D, , , , , Marte
22, Ranulfo Cortés, F, , , , , Oro de Jalisco
