=  Belgium - World Cup 1986

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Jean-Marie Pfaff, G, 5'11", 12 04, 04-12-53, Lebbeke, Bayern Munich
2, Eric Gerets, D, 5'10", 12 02, 18-05-54, Rekem, PSV
3, Franky Van Der Elst, M, 6'00", 12 00, 30-04-61, Opwijk, Club Brugge
4, Michel De Wolf, D, 5'07", 10 10, 19-01-58, Nivelles, KAA Gent
5, Michel Renquin, D, 5'11", 12 06, 03-11-55, Bastenaken, Standard Liège
6, Franky Vercauteren, M, 5'09", 11 07, 28-10-56, Brussels, Anderlecht
7, René Vandereycken, M, 5'09", 11 07, 22-07-53, Spalbeek, Anderlecht
8, Enzo Scifo, M, 5'09", 11 09, 19-02-66, Haine-Saint-Paul, Anderlecht
9, Erwin Vandenbergh, F, 6'00", 11 11, 26-01-59, Ramsel, Anderlecht
10, Philippe Desmet, M, , , 29-11-58, Waregem, Waregem
11, Jan Ceulemans, F, 6'01", 12 11, 28-02-57, Lier, Club Brugge
12, Jacky Munaron, G, 5'11", 11 11, 08-09-56, Namur, Anderlecht
13, Georges Grün, D, 6'01", 12 00, 25-01-62, Etterbeek, Anderlecht
14, Lei Clijsters, D, 5'10", 12 02, 06-11-56, Bree, Waterschei Thor
15, Leo Van Der Elst, D, 5'11", 11 11, 07-01-62, Opwijk, Club Brugge
16, Nico Claesen, F, 5'07", 11 00, 01-10-62, Leut, Standard Liège
17, Raymond Mommens, M, 5'10", 11 00, 27-12-58, Lebbeke, Lokeren
18, Daniel Veyt, F, 5'09", 11 03, 09-12-56, , Waregem
19, Hugo Broos, M, 5'11", 12 04, 10-04-52, Humbeek, Club Brugge
20, Gilbert Bodart, G, 6'00", 12 13, 02-09-62, Ougrée, Standard Liège
21, Stéphane Demol, M, 6'02", 12 11, 11-03-66, Boosvorde, Anderlecht
22, Patrick Vervoort, M, 5'10", 11 05, 17-01-65, Berle, Germinal Beerschot
