=  England - World Cup 1998

Number, Name, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, David Seaman, G, 6'04", 14 10, 19-09-63, Rotherham, Arsenal
2, Sol Campbell, D, 6'02", 14 04, 18-09-74, Newham, Tottenham H
3, Graeme Le Saux, D, 5'10", 11 11, 17-10-68, Jersey, Chelsea
4, Paul Ince, M, 5'10", 12 02, 21-10-67, Ilford, Liverpool
5, Tony Adams, D, 6'03", 13 11, 10-10-66, Romford, Arsenal
6, Gareth Southgate, D, 6'00", 12 06, 03-09-70, Watford, Aston Villa
7, David Beckham, M, 6'00", 11 09, 02-05-75, Leytonstone, Manchester U
8, David Batty, M, 5'08", 12 00, 02-12-68, Leeds, Newcastle U
9, Alan Shearer, F, 5'11", 12 06, 13-08-70, Gosforth, Newcastle U
10, Teddy Sheringham, F, 6'00", 12 04, 02-04-66, Highams Park, Manchester U
11, Steve McManaman, M, 6'00", 10 06, 11-02-72, Liverpool, Liverpool
12, Gary Neville, D, 5'11", 12 07, 18-02-75, Bury, Manchester U
13, Nigel Martyn, G, 6'02", 14 10, 11-08-66, St Austell, Leeds U
14, Darren Anderton, M, 6'01", 12 04, 03-03-72, Southampton, Tottenham H
15, Paul Merson, F, 6'00", 13 02, 20-03-68, Northolt, Middlesbrough
16, Paul Scholes, M, 5'07", 11 08, 16-11-74, Salford, Manchester U
17, Rob Lee, M, 5'10", 12 00, 01-02-66, West Ham, Newcastle U
18, Martin Keown, D, 6'01", 12 04, 24-07-66, Oxford, Arsenal
19, Les Ferdinand, F, 6'00", 12 11, 18-12-66, Paddington, Tottenham H
20, Michael Owen, F, 5'08", 11 00, 14-12-79, Chester, Liverpool
21, Rio Ferdinand, D, 6'02", 12 00, 07-11-78, Peckham, West Ham U
22, Tim Flowers, G, 6'03", 14 00, 03-02-67, Kenilworth, Blackburn R
