=  Belgium - FIFA World Cup 2018

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Thibaut Courtois, BEL, G, 1.99, 94, 11-05-92, Bree, Chelsea
2, Toby Alderweireld, BEL, D, 1.87, 91, 02-03-89, Wilrijk, Tottenham H
3, Thomas Vermaelen, BEL, D, 1.83, 80, 14-11-85, Kapellen, Barcelona
4, Vincent Kompany, BEL, D, 1.93, 85, 10-04-86, Ukkel, Manchester C
5, Jan Vertonghen, BEL, D, 1.89, 88, 24-04-87, Sint-Niklaas, Tottenham H
6, Axel Witsel, BEL, M, 1.86, 73, 12-01-89, Liège, Tianjin Quanjian
7, Kevin De Bruyne, BEL, M, 1.81, 68, 28-06-91, Drongen, Manchester C
8, Marouane Fellaini, BEL, M, 1.94, 85, 22-11-87, Etterbeek, Manchester U
9, Romelu Lukaku, BEL, F, 1.90, 94, 13-05-93, Antwerp, Manchester U
10, Eden Hazard, BEL, M, 1.73, 76, 07-01-91, La Louvière, Chelsea
11, Yannick Ferreira Carrasco, BEL, M, 1.81, 73, 04-09-93, Elsene, Dalian Yifang
12, Simon Mignolet, BEL, G, 1.93, 87, 06-03-88, Sint-Truiden, Liverpool
13, Koen Casteels, BEL, G, 1.96, 83, 25-06-92, Bonheiden, Wolfsburg
14, Dries Mertens, BEL, F, 1.69, 61, 06-05-87, Leuven, Napoli
15, Thomas Meunier, BEL, D, 1.91, 78, 12-09-91, Sainte-Ode, Paris St-Germain
16, Thorgan Hazard, BEL, F, 1.74, 69, 29-03-93, La Louvière, B Mönchengladbach
17, Youri Tielemans, BEL, M, 1.76, 72, 07-05-97, Sint-Pieters-Leeuw, Monaco
18, Adnan Januzaj, BEL, M, 1.86, 76, 05-02-95, Brussels, Real Sociedad
19, Mousa Dembélé, BEL, M, 1.85, 88, 17-07-87, Wilrijk, Tottenham H
20, Dedryck Boyata, BEL, D, 1.88, 84, 08-09-90, Uccle, Celtic
21, Michy Batshuayi, BEL, F, 1.85, 86, 02-10-93, Brussels, Borussia Dortmund (On Loan)
22, Nacer Chadli, BEL, M, 1.87, 80, 02-08-89, Liège, WBA
23, Leander Dendoncker, BEL, M, 1.88, 79, 15-04-95, Passendale, Anderlecht
