=  Morocco - FIFA World Cup 2022

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Current Club
1, Yassine Bounou, MAR, G, 1.92, 78, 05-04-91, Montreal, Sevilla
2, Achraf Hakimi, MAR, D, 1.80, 69, 04-11-98, Madrid, Paris St-Germain
3, Noussair Mazraoui, MAR, D, 1.78, 63, 14-11-97, Leiderdorp, Bayern Munich
4, Sofyan Amrabat, MAR, M, 1.83, 70, 21-08-96, Huizen, Fiorentina
5, Nayef Aguerd, MAR, D, 1.88, 76, 30-03-96, Kenitra, West Ham U
6, Romain Saïss, MAR, D, 1.90, 76, 26-03-90, Bourg-de-Péage, Beşiktaş
7, Hakim Ziyech, MAR, M, 1.80, 70, 19-03-93, Dronten, Chelsea
8, Azzedine Ounahi, MAR, M, 1.82, 72, 19-04-00, Casablanca, Angers
9, Abderrazak Hamdallah, MAR, F, 1.79, 75, 17-12-90, Safi, Al-Ittihad [KSA]
10, Anass Zaroury, MAR, F, 1.76, 72, 07-11-00, Mechelen, Burnley
11, Abdelhamid Sabiri, MAR, F, 1.86, 80, 28-11-96, Goulmima, Sampdoria
12, Munir, MAR, G, 1.90, 79, 10-05-89, Melilla, Al-Wehda
13, Ilias Chair, MAR, M, 1.58, 53, 30-10-97, Antwerp, QPR
14, Zakaria Aboukhlal, MAR, F, 1.78, 73, 18-02-00, Rotterdam, Toulouse
15, Selim Amallah, MAR, M, 1.80, 70, 15-11-96, Hautrage, Standard Liège
16, Abde Ezzalzouli, MAR, F, 1.77, 73, 17-12-01, Beni Mellal, Osasuna (On Loan)
17, Sofiane Boufal, MAR, M, 1.70, 60, 17-09-93, Paris, Angers
18, Jawad El Yamiq, MAR, D, 1.90, 83, 29-02-92, Khourigba, Valladolid
19, Yousseff En-Nesyri, MAR, F, 1.89, 73, 01-06-97, Fez, Sevilla
20, Achraf Dari, MAR, D, 1.88, 82, 06-05-99, Casablanca, Brest
21, Walid Cheddira, MAR, F, 1.87, 80, 22-01-98, Loreto, Bari
22, Ahmed Reda Tagnaouti, MAR, G, 1.82, 70, 05-04-96, Casablanca, Wydad Casablanca
23, Bilal El Khannouss, MAR, M, 1.80, 70, 10-05-04, Strombeek-Bever, KRC Genk
24, Badr Benoun, MAR, D, 1.93, 79, 30-09-93, Casablanca, Qatar SC
25, Yahia Attiyat Allah, MAR, D, 1.76, 70, 02-03-95, Safi, Wydad Casablanca
26, Yahya Jabrane, MAR, M, 1.87, 83, 18-06-91, Settat, Wydad Casablanca
