=  Excelsior - Dutch Eredivisie 2011/12

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Wesley de Ruiter, NED, G, 1.92, 87, 13-01-86, Leiden, FC Utrecht
2, Bart Schenkeveld, NED, D, 1.84, 80, 28-08-91, Den Hoorn, Feyenoord
3, Samuel Scheimann, NED, D, 1.80, 75, 03-11-87, Afula, FC Den Bosch
4, Leen van Steensel, NED, D, 1.86, 85, 20-04-84, Rotterdam, FC Utrecht
5, Norichio Nieveld, NED, D, 1.89, 80, 25-04-89, Den Bosch, Feyenoord
6, Kevin Wattamaleo, NED, M, 1.74, 73, 25-01-89, Rotterdam, Feyenoord
7, Tim Vincken, NED, F, 1.74, 65, 12-09-86, Rotterdam, Feyenoord
8, Niels Vorthoren, NED, M, 1.87, 81, 21-02-88, Werkendam, FC Den Bosch
9, Mitchell te Vrede, NED, F, 1.91, 84, 07-08-91, Amstelveen, AZ Alkmaar
10, Roland Alberg, NED, M, 1.80, 72, 06-08-90, Hoorn, AZ Alkmaar
11, Nayib Lagouireh, BEL, M, 1.70, 62, 06-06-91, Heusden, Feyenoord
12, Moussa Kalisse, NED, F, 1.78, 76, 18-05-83, Bodegraven, FCM Târgu Mureş
13, Erwin Nuytinck, NED, M, 1.77, 70, 17-01-94, Goes, RBC Roosendaal
14, Martijn de Vries, NED, D, 1.74, 64, 28-03-92, Rotterdam, Feyenoord
15, Jurgen Mattheij, NED, D, 1.91, 84, 01-04-93, Rotterdam, Feyenoord
16, Jordy Deckers, NED, G, 1.90, 84, 20-06-89, Amsterdam, Ajax
17, Darren Maatsen, NED, F, 1.85, 69, 30-01-91, Vlaardingen, Excelsior Maassluis
18, Andrea Fileccia, BEL, F, 1.80, 68, 06-12-91, Mons, Feyenoord
19, Marley Berkvens, NED, F, 1.78, 62, 08-10-92, Woerden, Feyenoord
20, Mick van Buren, NED, F, 1.84, 73, 24-08-92, Ridderkerk, Feyenoord
21, Kevin Jansen, NED, M, 1.83, 77, 08-04-92, Ridderkerk, Feyenoord
22, Daan Smith, NED, D, 1.93, 79, 18-03-92, Schiedam, Feyenoord
23, Tim Eekman, NED, D, 1.71, 62, 05-08-91, Ridderkerk, Feyenoord
24, Joost Broerse, NED, D, 1.84, 83, 08-05-79, De Blit, APOEL
25, Michael Termjin, NED, G, 1.85, 75, 11-12-92, Rotterdam, Feyenoord
26, Edwin de Graaf, NED, M, 1.86, 75, 30-04-80, Den Haag, Hibernian
27, Jason Oost, NED, F, 1.86, 79, 10-10-82, Den Haag, KVSK United
28, Rangelo Janga, NED, F, 1.68, 63, 16-04-92, Rotterdam, Willem II
29, Jordy van Deelen, NED, M, 1.73, 61, 29-06-93, Zwijndrecht, Feyenoord
30, Luigi Bruins, NED, M, 1.80, 75, 09-03-87, Rotterdam, Red Bull Salzburg

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
2, Daan Bovenberg, NED, D, 1.83, 74, 25-10-88, Utrecht, FC Utrecht
2, Rheda Djellal, BEL, D, , , 02-01-91, , Anderlecht
