=  FC Groningen - Dutch Eredivisie 2012/13

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Marco Bizot, NED, G, 1.84, 85, 10-03-91, Zwaag, Ajax
2, Johan Kappelhof, NED, D, 1.80, 70, 05-08-90, Amsterdam, Ajax
4, Virgil van Dijk, NED, D, 1.93, 92, 08-07-91, Breda, Willem II/RKC
5, Emil Johansson, SWE, D, 1.72, 67, 11-08-86, Karlskoga, Molde
6, Maikel Kieftenbeld, NED, M, 1.79, 75, 26-06-90, Dalfsen, Go Ahead Eagles
7, Leandro Bacuna, NED, F, 1.87, 77, 21-08-91, Groningen, None
8, Tim Sparv, FIN, M, 1.94, 86, 20-02-87, Vaasa, Halmstads BK
9, David Texeira, URU, F, 1.81, 82, 27-02-91, Salto, Defensor Sporting
10, Filip Kostić, SRB, M, 1.80, 68, 01-11-92, Kragujevac, Radnički 1923
14, Kees Kwakman, NED, D, 1.87, 78, 10-06-83, Purmerend, Augsburg
15, Oluwafemi Ajilore, NGA, M, 1.82, 73, 18-01-85, Lagos, FC Midtylland
17, Andraž Kirm, SVN, M, 1.83, 73, 06-09-84, Ljubljana, Wisła Kraków
18, Lorenzo Burnet, NED, D, 1.82, 80, 11-01-91, Amsterdam, Ajax
19, Mitchell Schet, NED, F, 1.86, 75, 28-01-88, Amsterdam, RKC Waalwijk
20, Paco van Moorsel, NED, M, 1.85, 74, 15-12-89, Boxtel, FC Den Bosch
21, Michael de Leeuw, NED, M, 1.78, 67, 07-10-86, Goirle, De Graafschap
23, Rasmus Lindgren, SWE, M, 1.80, 69, 29-11-84, Landskrona, Red Bull Salzburg
26, Luciano da Silva, BRA, G, 1.74, 74, 16-03-80, Rio Branco, Germinal Beerschot
27, Henk Bos, NED, M, 1.72, 71, 12-11-92, Stadskanaal, None
29, Stefano Magnasco, CHI, D, 1.75, 72, 28-09-92, Santiago, Universidad Católica
30, Richairo Živković, NED, F, 1.87, 73, 05-09-96, Assen, None
32, Timo Letschert, NED, D, 1.79, 70, 25-05-93, Purmerend, SC Heerenveen
33, Atilay Batbay, GER, M, 1.74, 69, 01-05-92, Emden, Kickers Emden
34, Nick Bakker, NED, D, 1.89, 76, 21-07-92, Groningen, None
35, Paulo Francisco, NED, F, , , 12-04-93, , None
36, Género Zeefuik, NED, F, 1.78, 82, 05-04-90, Amsterdam, PSV Eindhoven
37, Joey Potveer, NED, G, , , 01-04-93, Obdam, AZ Alkmaar
38, Stephan van der Lei, NED, G, 1.90, 80, 05-03-93, Groningen, None
39, Hilal Ben Moussa, NED, M, 1.76, 72, 22-05-92, Utrecht, Elinkwijk
41, Yoëll van Nieff, NED, M, 1.80, 78, 17-06-93, Groningen, None
42, Alexander Christovao, ANG, F, 1.86, 85, 14-03-93, Landana, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
22, Tim Keurntjes, NED, M, 1.76, 64, 13-03-91, Doetinchem, Cambuur Leeuwarden (On Loan)
40, Jesse Renken, NED, F, , , 08-04-93, , SC Veendam (On Loan)
43, Robby Holder, NED, F, , , 31-01-93, , SC Veendam (On Loan)
24, Tom Hiariej, NED, D, 1.71, 72, 25-07-88, Winschoten, FC Emmen (On Loan)
3, Jonas Ivens, BEL, D, 1.88, 87, 14-10-84, Beveren, Waasland-Beveren (On Loan)
12, Matías Jones, URU, F, 1.74, 68, 01-07-91, Montevideo, FC Emmen (On Loan)
11, Suk Hyun-Jun, KOR, F, 1.89, 81, 29-06-91, Chungju, Marítimo
