=  NEC Nijmegen - Dutch Eredivisie 2015/16

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
2, Marcel Appiah, GHA, D, 1.89, 74, 23-03-88, Schwelm, Arminia Bielefeld
3, Dario Dumić, DEN, D, 1.88, 85, 30-01-92, Sarajevo, Brøndby
4, Wojciech Golla, POL, D, 1.82, 80, 12-01-92, Złotów, Pogoń Szczecin
5, Bart Buysse, BEL, D, 1.78, 70, 16-10-86, Brugge, Cercle Brugge
6, Mikael Dyrestam, SWE, D, 1.85, 75, 10-12-91, Växjö, Aalesund
7, Sam Lundholm, SWE, M, 1.76, 72, 01-07-94, Stockholm, AIK
8, Gregor Breinburg, NED, M, 1.71, 70, 16-09-91, Arnhem, De Graafschap
9, Joey Sleegers, NED, M, 1.74, 65, 20-07-94, Helmond, Feyenoord
10, Anthony Limbombe Ekango, BEL, M, 1.75, 72, 15-07-94, Mechelen, KRC Genk
11, Christian Santos, VEN, F, 1.84, 70, 24-03-88, Puerto Orsaz, Waasland-Beveren
15, Lucas Woudenberg, NED, D, 1.79, 74, 25-04-94, Woerden, Feyenoord
16, Todd Kane, ENG, D, 1.80, 70, 17-09-93, Huntingdon, Chelsea
17, Mihai Roman, ROU, F, 1.85, 72, 31-05-92, Craiova, Pandurii Târgu Jiu
19, Janio Bikel, GNB, M, 1.74, 65, 28-06-95, Bissau, SC Heerenveen
20, Mohamed Rayhi, NED, F, 1.78, 76, 01-07-94, Eindhoven, PSV Eindhoven
22, Joshua Smits, NED, G, 1.87, 67, 06-11-92, Nijmegen, De Treffers
23, Cihat Çelik, NED, F, 1.84, 72, 02-01-96, Oss, None
24, Marcel Ritzmaier, AUT, M, 1.81, 79, 22-04-93, Knittelfeld, PSV Eindhoven
25, Navarone Foor, NED, M, 1.70, 61, 04-02-92, Opheusden, None
26, Marco van Duin, NED, G, 1.89, 76, 11-02-87, Warmenhuizen, Almere C
29, Guy Smit, NED, G, 1.86, 65, 19-01-96, , Vitesse
30, Brad Jones, AUS, G, 1.91, 76, 19-03-82, Armadale, Bradford C
31, Jay-Roy Grot, NED, F, 1.93, 93, 13-03-98, Arnhem, None
32, Nassim Amaarouk, NED, F, 1.86, 78, 01-04-96, Rotterdam, BVV Barendrecht
33, Rens van Eijden, NED, D, 1.88, 81, 03-03-88, Oss, PSV Eindhoven
37, Jeffrey Leiwakabessy, NED, D, 1.72, 65, 23-02-81, Arnhem, VVV Venlo
39, Abdul Bai Kamara, NED, D, 1.82, 72, 25-05-96, Freetown, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
9, Sjoerd Ars, NED, F, 1.83, 73, 15-04-84, Ter Borg, NAC Breda
6, Tom Daemen, NED, M, 1.81, 85, 17-06-85, Brunssum, Go Ahead Eagles
13, Benjamin Kirsten, GER, G, 1.82, 75, 02-06-87, Riesa, 
14, Kristján Emilsson, ISL, F, 1.86, 71, 26-04-93, Gothenburg, 
3, Rens van Eijden, NED, D, 1.88, 81, 03-03-88, Oss, Re-Registered (33)
1, Hannes Halldórsson, ISL, G, 1.82, 75, 27-04-84, Reykjavík, Bodø/Glimt (On Loan)
