=  Vålerenga - Norwegian Tippeligaen 2016

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Marcus Sandberg, SWE, G, 1.91, 79, 07-11-90, Rönnäng, IFK Göteborg
3, Enar Jääger, EST, D, 1.76, 73, 18-11-84, Valga, Flora Tallinn
4, Jonatan Tollås, NOR, D, 1.88, 80, 01-07-90, Ålesund, Aalesund
5, Robert Lundström, SWE, D, 1.82, 72, 01-11-89, Sundsvall, GIF Sundsvall
6, Simon Andreas Larsen, NOR, D, 1.93, 84, 01-06-88, Kristiansand, Vindbjart
7, Daniel Fredheim Holm, NOR, F, 1.80, 77, 30-07-85, Oslo, Rosenborg
8, Magnus Lekven, NOR, M, 1.77, 75, 13-01-88, Porsgrunn, Esbjerg
9, Rasmus Lindkvist, SWE, F, 1.82, 74, 16-05-90, Botkyrka, Östersunds FK
10, Ghayas Zahid, NOR, F, 1.77, 66, 08-09-94, Oslo, None
14, Herman Stengel, NOR, M, 1.77, 70, 26-08-95, Hokksund, Stabæk
15, Markus Nakkim, NOR, D, 1.87, 77, 21-07-96, Oslo, None
16, Vajebah Sakor, LBR, M, 1.83, 74, 24-04-96, Monrovia, Juventus
17, Niklas Castro, NOR, F, 1.73, 72, 08-01-96, Oslo, None
18, Rino Falk Larsen, NOR, M, 1.76, 72, 14-02-96, , None
19, Christian Grindheim, NOR, M, 1.79, 76, 17-07-83, Haugesund, FC København
20, Henrik Kjelsrud Johansen, NOR, F, 1.82, 84, 22-03-93, Gjøvik, Odd
21, Simen Juklerød, NOR, M, 1.86, 80, 18-05-94, Bærum, Bærum
23, Sander Berge, NOR, D, 1.90, 88, 18-02-98, Bærum, Asker
24, Kjetil Wæhler, NOR, D, 1.83, 78, 16-03-76, Oslo, IFK Göteborg
25, Mohammed Abdellaoue, NOR, F, 1.84, 81, 23-10-85, Oslo, Stuttgart
28, Thomas Elsebutangen, NOR, F, 1.91, 85, 29-03-98, , Pors
29, Magnus Grødem, NOR, M, 1.92, 78, 14-08-98, Bryne, Bryne
30, Aslak Falch, NOR, G, 1.85, 81, 25-05-92, Stavanger, Hødd
33, Anders Nedrebø, NOR, D, 1.79, 73, 19-08-88, Bærum, Bærum
34, Adrian Møller, NOR, G, 1.88, 82, 05-08-96, , None
38, Kristoffer Hay, NOR, D, 1.94, 85, 28-08-98, Tromsø, Hønefoss
39, Ernest Agyiri, GHA, M, 1.76, 69, 06-03-98, Accra, Manchester C
40, Mathusan Sandrakumar, NOR, D, 1.73, 69, 21-02-98, , None
41, Sander Pettersen, NOR, D, , , 22-11-97, , None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
26, Deshorn Brown, JAM, F, 1.88, 77, 22-12-90, Manchester [JAM], Shenzhen FC
8, Jesper Arvidsson, SWE, D, 1.81, 72, 01-01-85, Götene, IK Sirius
20, Mattias Totland, NOR, M, 1.78, 70, 14-07-97, , Fana
43, Henrik Udahl, NOR, F, 1.85, 78, 12-01-97, Eidsberg, Univ of Cincinnati
22, Elias Már Ómarsson, ISL, F, 1.83, 73, 18-01-95, Keflavík, IFK Göteborg (On Loan)
2, Niklas Gunnarsson, NOR, D, 1.88, 81, 27-04-91, Tønsberg, Djurgårdens IF
