=  Sandefjord - Norwegian Eliteserien 2018

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, Previous Club
1, Jacob Storevik, NOR, G, 1.86, 83, 29-07-96, Førde, Florø
2, Lars Grorud, NOR, D, 1.89, 87, 02-07-83, Tønsberg, Fram Larvik
3, Sander Moen Foss, NOR, D, 1.85, 80, 31-12-98, Barkåker, None
4, Christer Hansen, NOR, D, 1.86, 75, 29-03-93, Larvik, Hedrum
5, Enric Vallès, ESP, M, 1.89, 83, 01-03-90, Barcelona, Harrisburg City Islanders
6, Mohamed Ofkir, NOR, M, 1.78, 70, 04-08-96, Oslo, Lokeren
7, Emil Pálsson, ISL, M, 1.85, 81, 10-06-93, Ísafjörður, FH
8, Erik Mjelde, NOR, M, 1.80, 74, 06-03-84, Bergen, Lillestrøm
9, Håvard Storbæk, NOR, M, 1.79, 66, 25-05-86, Elverum, Odd
10, Pau Morer, ESP, M, 1.73, 71, 10-10-95, Blanes, Girona B
11, Fitim Azemi, NOR, F, 1.80, 80, 25-06-92, Oslo, Vålerenga
12, Eirik Johansen, NOR, G, 1.93, 89, 12-07-92, Tønsberg, New York C
13, Marius Høibråten, NOR, D, 1.84, 72, 23-01-95, Oslo, Strømsgodset
14, Rufo, ESP, F, 1.76, 73, 13-01-93, Barcelona, Mallorca
15, Pontus Engblom, SWE, F, 1.82, 70, 03-11-91, Sundsvall, Strømsgodset
16, El-Hadji Gana Kane, SEN, D, 1.90, 78, 11-04-95, Dakar, SJK Seinäjoki
17, Marc Vales, AND, D, 1.84, 79, 04-04-90, Escaldes-Engordany, SJK Seinäjoki
18, William Kurtović, SWE, M, 1.90, 85, 22-06-96, Karlskrona, None
19, Victor Demba Bindia, SEN, D, 1.68, 69, 06-08-89, Boutoupa, Casa Sports
21, Stian Ringstad, NOR, D, 1.82, 75, 29-08-91, Bodding, Strømsgodset
22, Mohammed Fellah, NOR, M, 1.67, 70, 24-05-89, Oslo, FC Nordsjælland
23, Ole Breistøl, NOR, M, 1.85, 73, 11-07-98, , None
37, Jesper Granlund, NOR, G, 1.92, 85, 07-02-99, , None
46, George Gibson, NOR, F, , , 29-08-00, , None
47, Sander Risan Mørk, NOR, M, 1.85, 78, 06-12-00, Tønsberg, None

== Past Players

Number, Name, Nat, Pos, Height, Weight, Date of Birth, Birth Place, New Club
21, Håkon Lorentzen, NOR, F, 1.85, 78, 02-08-97, Bergen, Åsane (On Loan)
24, Alf Aslesen, NOR, D, 1.78, 83, 18-02-98, , Fram Larvik (On Loan)
14, Crescendo van Berkel, NED, D, 1.83, 75, 06-04-92, Den Haag, Lee Man
13, Andrew Eleftheriou, ENG, D, 1.78, 75, 08-11-97, Islington, Watford
17, Joackim Olsen Solberg, NOR, D, 1.91, 83, 11-04-89, Krokstadelva, Mjøndalen
1, Ingvar Jónsson, ISL, G, 1.89, 83, 18-10-89, Keflavík, Viborg
11, Flamur Kastrati, KVX, F, 1.85, 78, 14-11-91, Oslo, Kristiansund
22, Andre Sødlund, NOR, M, 1.82, 72, 22-12-96, Växjö, Odd
25, Sabawon Shamohammad, NOR, M, 1.73, 60, 10-12-98, , Fram Larvik (On Loan)
34, Herman Solberg Nilsen, NOR, M, 1.79, 75, 30-04-99, Larvik, Fram Larvik (On Loan)
20, Abdoulaye Seck, SEN, D, 1.92, 85, 04-06-92, , Royal Antwerp
